Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Tfcp2,MC00518;2.28E-06,,,,
Zfp691,UP00095;5.33E-06,,,,
ZNF219,M01122;2.84E-05,,,,
Egr2,MC00430;3.55E-05,,,,
TFCP2L1,M01592;4.60E-05,,,,
NR1H4,M01268;5.21E-05,,,,
CEBPB,MC00272;6.73E-05,,,,
Tcfcp2l1,MA0145;6.99E-05,,,,
MSX1,MS00559;7.34E-05,MS00558;2.39E-01,,,
SP3,MS00223;8.93E-05,M00665;2.12E-03,,,
ZBTB7B,M01175;1.10E-04,MS00312;3.97E-03,,,
MYOG,M00712;1.31E-04,,,,
BACH2,M00490;1.35E-04,,,,
TFAP2B,MS00228;1.47E-04,MS00230;3.49E-04,MS00229;2.11E-02,,
AHR,M00139;1.57E-04,,,,
KLF16,MS00146;1.59E-04,,,,
Cebpa,MC00122;1.73E-04,,,,
TP73,MC00132;2.09E-04,,,,
MAZ,M00649;2.17E-04,,,,
NFIA,MS00820;2.23E-04,,,,
Trp53,MC00377;2.23E-04,,,,
Myb,MC00408;2.41E-04,,,,
Zfp281,UP00021;2.49E-04,,,,
Foxf1a,M00294;2.51E-04,,,,
UBP1,M00644;2.69E-04,,,,
E2f4,MC00158;2.69E-04,,,,
Rest,MC00125;3.00E-04,,,,
FOXB1,MS00348;3.00E-04,MS00343;7.78E-02,,,
ZIC3,MS00346;3.05E-04,,,,
NHLH1,MS00274;3.06E-04,,,,
BHLHE41,MS00251;3.57E-04,,,,
HIC1,UP00035;3.59E-04,,,,
VDR,M00961;3.89E-04,MC00412;6.16E-02,M00444;8.64E-02,,
TP63,MC00439;4.13E-04,,,,
Tcfap2a,MS00239;4.52E-04,MS00241;7.18E-04,MS00240;1.35E-02,,
EGR2,MC00319;4.53E-04,,,,
REST,MC00174;4.65E-04,,,,
ZNF435,MS00730;4.82E-04,,,,
EGR1,MC00320;4.92E-04,,,,
TBX21,MS00207;5.08E-04,MS00208;4.23E-01,,,
