,coefficients,cell_line,cell_type,tissue
40884,1.2078964524140219,,Fibroblast,Connective Tissue
44939,-0.8201023899735251,HA-sp,Astrocyte,Spinal Cord
44946,-0.7262204893334072,,Fibroblast,Heart
40968,0.5822590015599095,M059J,Glial Cell,Brain
45008,0.5543916282444598,,Epithelium,
45043,-0.5217434700156711,NHDF-Ad,Fibroblast,Skin
45010,0.34104930062670497,,Myoblast,Skeletal Muscle
45060,0.242988852410097,RPTEC,Cortex,Kidney
3161,0.2130177165204058,,Epithelium,Fetal Heart
41108,0.09506487374843464,,Cortex,Kidney
