Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
E2F1,67455;5.01E-55,67458;1.33E-54,67454;1.27E-49,67457;1.68E-48,67459;3.26E-47
E2F4,45752;6.69E-52,3225;1.82E-48,49480;3.82E-46,45617;6.12E-41,36807;7.59E-41
TFDP1,77534;8.88E-45,77535;2.76E-37,62550;9.23E-31,38731;8.60E-30,62551;5.94E-28
RBL2,1874;1.57E-40,1880;1.87E-34,1878;2.30E-29,1876;1.03E-24,38488;9.42E-14
PHF8,2684;1.28E-33,93;8.57E-30,1312;9.73E-28,1314;1.93E-24,8818;1.34E-22
NELFA,55465;4.69E-31,55466;4.23E-28,55468;8.13E-25,43451;1.83E-19,55467;4.42E-18
GTF2B,56961;1.03E-30,56978;1.63E-23,56982;5.65E-19,36362;2.46E-18,56958;1.44E-15
XRN2,36234;2.67E-30,58840;1.99E-22,58844;3.35E-22,36228;4.11E-21,58842;1.94E-17
RB1,49416;9.07E-30,49417;1.25E-24,1870;2.92E-23,1872;1.96E-19,49423;1.30E-11
POLR2B,9216;3.70E-29,36356;7.18E-23,,,
CHD8,51103;5.55E-29,49778;2.38E-23,53396;2.74E-14,51104;1.60E-08,53399;2.39E-02
CDK6,43305;1.35E-27,,,,
AFF1,73713;2.96E-27,72089;1.39E-16,73714;5.45E-14,73712;1.16E-08,34966;2.25E-04
TTF2,36230;3.76E-27,36238;1.44E-02,36232;3.54E-02,,
MYC,5968;4.06E-27,34318;1.21E-25,8112;8.64E-23,45857;8.64E-23,70964;4.89E-21
E2F6,45776;8.26E-27,46071;8.69E-20,45898;1.17E-17,1978;7.40E-17,46297;1.83E-16
WDR5,52436;2.33E-26,49877;8.63E-24,58506;5.11E-20,49852;1.78E-18,52432;3.48E-18
BRD4,43066;3.69E-26,71137;4.28E-24,33904;7.19E-24,69871;2.09E-21,56357;7.43E-21
TAF3,38585;9.61E-26,,,,
HDAC1,8658;1.99E-25,8657;2.95E-22,45428;2.10E-21,68822;2.00E-20,8775;2.92E-19
TAF1,46162;2.05E-25,46077;2.19E-25,46106;1.98E-21,46221;1.04E-20,46334;1.09E-20
TP53,52092;2.37E-25,52091;2.67E-24,41496;2.00E-09,75042;2.54E-08,52090;1.71E-07
KDM1A,75942;6.59E-25,53470;2.51E-10,53468;5.74E-09,55324;8.73E-08,53469;1.56E-06
RBP2,53076;1.11E-24,53077;6.35E-06,53078;8.83E-05,53075;1.62E-04,
ING2,41572;2.46E-24,,,,
MAX,32814;2.59E-24,45849;1.70E-20,33191;2.33E-19,45797;4.51E-18,45650;4.66E-18
AFF4,48999;3.08E-24,69872;3.18E-21,69873;1.42E-19,48996;2.22E-17,48994;2.40E-17
MBD2,48824;4.57E-24,48827;9.29E-20,48825;4.42E-19,63028;3.99E-18,64901;1.27E-13
RBPJ,43105;5.50E-24,394;3.80E-20,43102;7.04E-19,73408;3.66E-10,73407;5.00E-09
FOXP1,51750;5.53E-24,1012;3.01E-16,1013;2.33E-11,42760;3.57E-11,59447;4.88E-05
LEO1,73696;6.59E-24,55661;3.30E-03,,,
NOTCH1,43104;7.50E-24,392;1.46E-18,43101;6.06E-18,36765;3.89E-12,52638;1.50E-06
NEUROD1,74347;1.24E-23,74346;6.92E-23,74348;3.92E-18,74357;3.61E-15,74343;2.66E-14
SIN3A,46329;1.51E-23,46360;1.67E-20,63655;2.87E-20,45639;1.02E-19,63656;1.80E-17
CDK9,43081;1.69E-23,53347;5.29E-22,53346;9.36E-22,40226;1.40E-20,33888;4.92E-19
SPI1,50876;2.09E-23,50894;1.31E-20,50877;1.79E-20,50878;9.19E-20,50879;4.88E-19
MECP2,34392;2.50E-23,34396;3.55E-19,34399;6.00E-15,34394;6.67E-11,34400;1.54E-02
ETS1,46278;4.82E-23,49238;6.25E-19,72626;1.35E-18,1938;1.82E-17,63824;4.95E-17
CDK8,56353;5.60E-23,56379;5.90E-18,34078;3.62E-16,56351;5.37E-14,56375;1.34E-13
HDAC2,72913;8.43E-23,8660;3.33E-15,8810;1.19E-13,45222;1.19E-13,8659;8.43E-11
PARP1,72407;8.90E-23,72406;3.63E-21,72408;1.68E-20,72405;2.06E-20,43680;1.47E-02
NELFE,53324;9.30E-23,69820;5.78E-21,69818;7.52E-19,69807;1.49E-18,69813;4.63E-17
GMEB2,38724;1.00E-22,42762;4.17E-13,,,
KMT2D,68635;1.12E-22,68632;5.29E-22,55405;1.24E-19,68638;1.78E-18,56478;4.86E-16
FOXK1,70731;1.35E-22,42657;1.05E-02,9505;4.80E-02,9506;1.00E-01,
JMJD6,74838;2.73E-22,74836;6.31E-09,74844;4.58E-03,74843;1.42E-02,43089;6.07E-02
FOXM1,39460;3.22E-22,53256;5.86E-22,35011;3.63E-19,34997;4.30E-19,53260;5.11E-18
