,0,TF
UP00040|Irf5,7.257738011860206e-16,Irf5
MS00288|TFE3,7.573966993556955e-16,TFE3
MS00327|MAFG,9.16654407614256e-16,MAFG
UP00028|Tcfap2e,9.847215613328094e-16,Tcfap2e
MS00844|ELK3,1.6466675138837433e-15,ELK3
M00468|KLF12,1.9947717084321275e-15,KLF12
MS00024|GLIS1,2.3247995143162808e-15,GLIS1
MS00018|ETV4,2.924543510696452e-15,ETV4
MC00109|Klf4,3.045310567088146e-15,Klf4
M01592|TFCP2L1,3.2013170672356463e-15,TFCP2L1
UP00092|MYB,4.1080774349331606e-15,MYB
MS00727|ZBTB49,4.742723690234657e-15,ZBTB49
MC00532|Mycn,5.129295058131108e-15,Mycn
M01744|ZFP42,7.282281546286224e-15,ZFP42
MC00278|ETS1,9.846319058147364e-15,ETS1
MC00168|ERG,1.2256897225999995e-14,ERG
UP00088|PLAGL1,1.2687833834731754e-14,PLAGL1
MS00023|Elk3,1.3067317893864216e-14,Elk3
MC00373|Mxi1,1.430460902300541e-14,Mxi1
MS00124|KLF13,1.7520988701631686e-14,KLF13
MC00367|GABPA,2.7334660909202207e-14,GABPA
MS00333|Mafb,3.2541130208476315e-14,Mafb
MC00430|Egr2,4.292404941536994e-14,Egr2
MC00110|Klf1,4.450453771747467e-14,Klf1
MS00846|ERF,7.097376205380953e-14,ERF
UP00413|Elf4,1.2070619645587835e-13,Elf4
MC00224|EPAS1,1.4164402939397427e-13,EPAS1
MS00102|MYBL2,2.0526036917500676e-13,MYBL2
MS00308|CREB3,2.4524101495294186e-13,CREB3
MS00211|TBX2,2.6803853095458373e-13,TBX2
MS00025|FEV,2.925399960738696e-13,FEV
MS00188|MGA,3.0555381115525123e-13,MGA
MS00304|CREB3L1,4.120813030648444e-13,CREB3L1
MC00394|MYC,4.680466099810159e-13,MYC
MS00048|GCM1,5.129405348644108e-13,GCM1
UP00056|RFX4,5.379120342067747e-13,RFX4
MC00183|Snai1,8.152298844948019e-13,Snai1
M00491|PATZ1,8.955048962277583e-13,PATZ1
MS00256|HES7,1.0767927187548757e-12,HES7
MC00475|Nfic,1.1014872300104557e-12,Nfic
MS00021|ETV6,1.2451923060552157e-12,ETV6
MS00739|E2F8,1.4154572366271733e-12,E2F8
M01714|KLF15,1.447125945266788e-12,KLF15
MS00323|ZBTB7C,1.5424844977221167e-12,ZBTB7C
MS00255|HES5,1.551416260841521e-12,HES5
M00792|SMAD1,1.8554088602356216e-12,SMAD1
MC00473|ATF3,1.9262015073029806e-12,ATF3
MS00251|BHLHE41,1.97704492798214e-12,BHLHE41
MC00457|ELF1,2.0192842731432735e-12,ELF1
MC00124|MAX,2.513971004695252e-12,MAX
M01109|ZNF589,3.1415072726797895e-12,ZNF589
UP00086|IRF3,3.5437592175535963e-12,IRF3
MC00372|Yy1,4.0230994157640334e-12,Yy1
M01241|GTF2IRD1,4.124925716845897e-12,GTF2IRD1
M01175|ZBTB7B,4.268632637615124e-12,ZBTB7B
M00085|ZBTB6,4.388708477893591e-12,ZBTB6
MS00146|KLF16,4.962802839860071e-12,KLF16
UP00020|ATF1,5.6005619266394744e-12,ATF1
MS00694|RXRG,7.1699479840641904e-12,RXRG
MS00207|TBX21,9.089844128095873e-12,TBX21
MS00331|MAFK,1.0019750826508046e-11,MAFK
UP00027|Osr1,1.9524967251950147e-11,Osr1
MS00290|ZBED1,2.2377197004699968e-11,ZBED1
MS00834|ELF4,2.556180442600436e-11,ELF4
M01334|Nkx1-1,3.2420429931943016e-11,Nkx1-1
MS00046|GLIS3,3.348838249540662e-11,GLIS3
M00649|MAZ,3.679695157277834e-11,MAZ
MS00067|IRF5,4.150342847399903e-11,IRF5
UP00052|Osr2,4.165077136319188e-11,Osr2
MC00191|Nfya,4.6499790472696273e-11,Nfya
MC00319|EGR2,4.793113818919379e-11,EGR2
M00733|SMAD4,5.1680158129018246e-11,SMAD4
MC00374|TFAP2C,5.713644264716851e-11,TFAP2C
UP00000|SMAD3,5.772314956834428e-11,SMAD3
MC00140|Stat3,6.03421500839903e-11,Stat3
M00644|UBP1,6.553386823943477e-11,UBP1
MC00408|Myb,6.58833735336523e-11,Myb
MC00128|CTCF,7.857069285771824e-11,CTCF
MC00439|TP63,8.111124053766658e-11,TP63
MC00362|Arntl,9.130037940014707e-11,Arntl
MS00274|NHLH1,1.195619417055718e-10,NHLH1
MA0163|PLAG1,1.3282512328247495e-10,PLAG1
MC00377|Trp53,1.7479075254524142e-10,Trp53
MS00248|BHLHB3,1.758046093414148e-10,BHLHB3
MS00125|PAX6,1.794083815665612e-10,PAX6
MS00247|BHLHB2,1.8570339346045461e-10,BHLHB2
MS00160|PROX1,2.1022790313150894e-10,PROX1
MC00223|SMAD2/3,2.3281664992216527e-10,SMAD2/3
MS00267|MNT,2.780899667981155e-10,MNT
MC00142|PPARG,2.96251194492298e-10,PPARG
MC00187|Ctcf,3.905548552124178e-10,Ctcf
MS00022|Elf5,4.0160181898257517e-10,Elf5
M00500|STAT6,4.508006932962457e-10,STAT6
MS00756|E2F7,4.717195517187234e-10,E2F7
M01122|ZNF219,5.496912147241028e-10,ZNF219
MC00342|YY1,5.520279859415227e-10,YY1
MC00518|Tfcp2,6.113428550257207e-10,Tfcp2
M00647|NR1H3,6.23362754992712e-10,NR1H3
MS00285|TCF4,1.254796229539828e-09,TCF4
MS00101|Hic1,1.300431070795769e-09,Hic1
MS00157|Klf12,1.44181241931543e-09,Klf12
MS00533|LBX2,1.448182731075361e-09,LBX2
MS00252|Bhlhb2,1.8480041604818639e-09,Bhlhb2
UP00035|HIC1,2.2087171738502104e-09,HIC1
M01104|Ovol2,3.1977806964583037e-09,Ovol2
MS00110|NFKB1,3.438376849837719e-09,NFKB1
MC00335|ESR1,3.484014405650854e-09,ESR1
MC00477|ZNF711,4.013838677029899e-09,ZNF711
MS00311|Creb3l2,5.669197620354176e-09,Creb3l2
UP00095|Zfp691,6.037784904940995e-09,Zfp691
MA0051|IRF2,6.037948120342418e-09,IRF2
UP00024|Glis2,7.0483505352101725e-09,Glis2
M00694|E4F1,7.26938954060996e-09,E4F1
MS00171|Rfx2,9.997345816488217e-09,Rfx2
MC00407|Myc,1.0154706679125801e-08,Myc
MS00214|TBX4,1.212290269593629e-08,TBX4
MS00414|BARHL2,1.2170207819498054e-08,BARHL2
MS00062|HSFY2,1.2505959387641478e-08,HSFY2
MS00401|ZNF306,1.4449890982737432e-08,ZNF306
MC00174|REST,1.4601227660322231e-08,REST
M00456|BPTF,1.8047169231294228e-08,BPTF
UP00114|Homez,2.6053748037982356e-08,Homez
