,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
77150|ZNF273,0.1292758140435592,Homo sapiens,ZNF273,tf,293T,None,None,1,ZNF273
69998|SMARCA5,0.12975004706328666,Homo sapiens,SMARCA5,cr,LNCaP,Epithelium,Prostate,1,SMARCA5
74642|TSC22D4,0.13052062254635832,Homo sapiens,TSC22D4,,HepG2,Epithelium,Liver,1,TSC22D4
68963|CBFA2T2,0.1311714978459117,Homo sapiens,CBFA2T2,tf,NCCIT,Embryonal carcinoma cell,None,1,CBFA2T2
5983|SUPT20H,0.13256037528892278,Homo sapiens,SUPT20H,other,GM12878,B Lymphocyte,Blood,1,SUPT20H
65135|SCRT1,0.13361992298076847,Homo sapiens,SCRT1,,HEK293,Epithelium,Embryonic Kidney,0,SCRT1
64875|IRF9,0.13439072637929422,Homo sapiens,IRF9,tf,K562,Erythroblast,Bone Marrow,1,IRF9
38791|HOXA10,0.13448206526893713,Homo sapiens,HOXA10,tf,LoVo,None,Colon,0,HOXA10
37190|IRF5,0.13452489540513424,Homo sapiens,IRF5,tf,None,Monocyte,Blood,0,IRF5
77108|ZNF485,0.13479897264274976,Homo sapiens,ZNF485,other,293T,None,None,1,ZNF485
77032|ZNF793,0.1375987240739701,Homo sapiens,ZNF793,other,293T,None,None,1,ZNF793
56127|APOBEC3B,0.13960150008971106,Homo sapiens,APOBEC3B,other,MCF-7,Epithelium,Breast,1,APOBEC3B
58995|EWSR1,0.1402083576338014,Homo sapiens,EWSR1,tf,HEK293,Epithelium,Embryonic Kidney,0,EWSR1
73755|FOXD3,0.1402083576338014,Homo sapiens,FOXD3,tf,A549,Epithelium,Lung,0,FOXD3
52110|CGGBP1,0.1404462489202627,Homo sapiens,CGGBP1,tf,1064Sk,Epidermal cell,Foreskin,0,CGGBP1
63904|ZNF438,0.1406049678776417,Homo sapiens,ZNF438,,HEK293,Epithelium,Embryonic Kidney,1,ZNF438
42820|DDIT3,0.14092285322302678,Homo sapiens,DDIT3,tf,LoVo,None,Colon,0,DDIT3
77151|ZNF26,0.14426447026162725,Homo sapiens,ZNF26,tf,293T,None,None,1,ZNF26
77053|ZNF730,0.1444719929190968,Homo sapiens,ZNF730,other,293T,None,None,1,ZNF730
39915|ELL,0.14707053579251744,Homo sapiens,ELL,predicted chromatin regulator,HCT-116,None,Colon,0,ELL
64879|ZBTB1,0.14841941814260834,Homo sapiens,ZBTB1,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB1
76837|GCSAM,0.14843805702275548,Homo sapiens,GCSAM,other,HeLa,Epithelium,Cervix,1,GCSAM
38678|HOXA13,0.1522849722104172,Homo sapiens,HOXA13,tf,LoVo,None,Colon,1,HOXA13
76971|LRWD1,0.15517095072484846,Homo sapiens,LRWD1,cr,U2OS,Osteosarcoma cell,None,1,LRWD1
32850|TERC,0.16115188976489098,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1,TERC
71278|KAT2A,0.16159041636991733,Homo sapiens,KAT2A,cr,BGC823,human gastric cancer cells,None,1,KAT2A
62680|CREB3,0.1632491900969434,Homo sapiens,CREB3,tf,K562,Erythroblast,Bone Marrow,1,CREB3
64496|ZNF781,0.16360782323519968,Homo sapiens,ZNF781,,HEK293,Epithelium,Embryonic Kidney,1,ZNF781
68798|SATB1,0.16493202298535575,Homo sapiens,SATB1,tf,SH-SY5Y,Neuron,None,1,SATB1
77063|ZNF681,0.16731092146009208,Homo sapiens,ZNF681,tf,293T,None,None,1,ZNF681
77085|ZNF567,0.16905268258882414,Homo sapiens,ZNF567,tf,293T,None,None,1,ZNF567
64424|KLF16,0.1691082408982975,Homo sapiens,KLF16,,K562,Erythroblast,Bone Marrow,1,KLF16
38800|RORA,0.169908352004916,Homo sapiens,RORA,tf,LoVo,None,Colon,0,RORA
38689|CREB3L2,0.17002376336103894,Homo sapiens,CREB3L2,tf,LoVo,None,Colon,0,CREB3L2
63608|ZNF558,0.17160617112285398,Homo sapiens,ZNF558,,HEK293,Epithelium,Embryonic Kidney,1,ZNF558
77113|ZNF468,0.17281382511191035,Homo sapiens,ZNF468,other,293T,None,None,1,ZNF468
73953|ZNF354A,0.17543649847575682,Homo sapiens,ZNF354A,,293T,None,None,1,ZNF354A
38575|HSF2,0.17605585020977374,Homo sapiens,HSF2,tf,K562,Erythroblast,Bone Marrow,0,HSF2
63011|ZNF697,0.18152033769495807,Homo sapiens,ZNF697,,HEK293,Epithelium,Embryonic Kidney,1,ZNF697
77131|ZNF383,0.1823511972417034,Homo sapiens,ZNF383,tf,293T,None,None,1,ZNF383
65185|ZNF816,0.18364082304873453,Homo sapiens,ZNF816,,HEK293,Epithelium,Embryonic Kidney,1,ZNF816
73849|MEN1,0.184525337006036,Homo sapiens,MEN1,tf,MCF-7,None,Breast,1,MEN1
77088|ZNF564,0.1847882849178916,Homo sapiens,ZNF564,tf,293T,None,None,1,ZNF564
77177|ZNF124,0.18842555248821474,Homo sapiens,ZNF124,tf,293T,None,None,1,ZNF124
42801|STAT6,0.1890062991639284,Homo sapiens,STAT6,tf,LoVo,None,Colon,0,STAT6
77021|ZNF880,0.189741975015448,Homo sapiens,ZNF880,other,293T,None,None,0,ZNF880
42767|ID2,0.19200653806167395,Homo sapiens,ID2,tf,LoVo,None,Colon,0,ID2
42808|ADNP2,0.192672477516622,Homo sapiens,ADNP2,tf,LoVo,None,Colon,1,ADNP2
47711|SOX11,0.19418177069331027,Homo sapiens,SOX11,tf,GRANTA-519,B Lymphocyte,None,1,SOX11
62587|MCM7,0.1955427058841921,Homo sapiens,MCM7,,K562,Erythroblast,Bone Marrow,1,MCM7
65217|ZNF502,0.1981167230291762,Homo sapiens,ZNF502,,HEK293,Epithelium,Embryonic Kidney,0,ZNF502
36358|SNAPC2,0.20083313975638656,Homo sapiens,SNAPC2,not sure,IMR90,Fibroblast,Lung,0,SNAPC2
77074|ZNF616,0.20261220218829465,Homo sapiens,ZNF616,tf,293T,None,None,1,ZNF616
77099|ZNF530,0.2050410893140513,Homo sapiens,ZNF530,tf,293T,None,None,1,ZNF530
57666|PCGF2,0.20716659944955806,Homo sapiens,PCGF2,cr,K562,Erythroblast,Bone Marrow,0,PCGF2
77079|ZNF605,0.20745162222430916,Homo sapiens,ZNF605,other,293T,None,None,1,ZNF605
65065|ZNF595,0.2088284780582908,Homo sapiens,ZNF595,,HEK293,Epithelium,Embryonic Kidney,1,ZNF595
77134|ZNF33B,0.209028635408442,Homo sapiens,ZNF33B,tf,293T,None,None,0,ZNF33B
62802|PTRF,0.21096681653056928,Homo sapiens,PTRF,,K562,Erythroblast,Bone Marrow,1,PTRF
55294|WWTR1,0.2111569391749441,Homo sapiens,WWTR1,other,MDA-MB-231,Epithelium,Breast,1,WWTR1
42849|FOXO4,0.21704698302740105,Homo sapiens,FOXO4,tf,LoVo,None,Colon,0,FOXO4
74650|DRAP1,0.2214545347173668,Homo sapiens,DRAP1,tf,GM12878,B Lymphocyte,Blood,1,DRAP1
72398|BRD9,0.22272796650254476,Homo sapiens,BRD9,other,NOMO-1,Acute myeloid leukemia,None,1,BRD9
2638|EBNA1BP2,0.2227960178691049,Homo sapiens,EBNA1BP2,not sure,Raji,B Lymphocyte,Blood,1,EBNA1BP2
77144|ZNF287,0.2243793710982835,Homo sapiens,ZNF287,tf,293T,None,None,1,ZNF287
65073|ZNF280A,0.2266234126936401,Homo sapiens,ZNF280A,,HEK293,Epithelium,Embryonic Kidney,1,ZNF280A
65069|ZNF490,0.22723566929147626,Homo sapiens,ZNF490,,HEK293,Epithelium,Embryonic Kidney,1,ZNF490
73954|ZNF33A,0.2281216615587963,Homo sapiens,ZNF33A,,293T,None,None,1,ZNF33A
65137|ZBTB18,0.2281845708044271,Homo sapiens,ZBTB18,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB18
64359|ZNF788,0.2285038699358897,Homo sapiens,ZNF788,,HEK293,Epithelium,Embryonic Kidney,1,ZNF788
32849|HOTAIR,0.2304314079043784,Homo sapiens,HOTAIR,other,MDA-231,Epithelium,Mammary Gland,1,HOTAIR
33467|ELF5,0.2323819534106532,Homo sapiens,ELF5,tf,T47D,Epithelium,Mammary Gland,1,ELF5
