,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
67458|E2F1,2.1803108475295904e-33,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
44332|E2F1,4.62456934959266e-29,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
44340|E2F1,1.3990820329447102e-28,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
3225|E2F4,1.8857843605843045e-28,Homo sapiens,E2F4,tf,None,Adipocyte,Adipose,1
45752|E2F4,2.148401617992455e-28,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1
67455|E2F1,8.770969707082896e-28,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
67457|E2F1,1.5591138059217548e-27,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
67454|E2F1,1.2882299815585549e-26,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
67456|E2F1,4.6428818159312156e-26,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
36807|E2F4,4.8683866793785156e-26,Homo sapiens,E2F4,tf,MCF-7,Epithelium,Breast,1
77534|TFDP1,6.862114584355021e-26,Homo sapiens,TFDP1,tf,U266B1,None,None,1
45617|E2F4,2.6804417537666864e-25,Homo sapiens,E2F4,tf,GM12878,B Lymphocyte,Blood,1
44321|E2F1,4.742261620016163e-25,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
44333|E2F1,6.7150155097722225e-25,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
44325|E2F1,1.2595978851631717e-24,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
44328|E2F1,3.451057107184021e-24,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
44339|E2F1,4.333620707917239e-24,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
44324|E2F1,6.411264542754801e-24,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
77535|TFDP1,7.684386777361596e-24,Homo sapiens,TFDP1,tf,MM1.S,B Lymphocyte,Blood,1
1874|RBL2,1.1028734302260217e-23,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1
44336|E2F1,1.4777919430743545e-23,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
44317|E2F1,1.6815459517022917e-23,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
45754|E2F1,1.934644121426978e-23,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
44337|E2F1,3.290204646300217e-23,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
2684|PHF8,5.162934890247664e-23,Homo sapiens,PHF8,cr,SH-SY5Y,None,Bone Marrow,1
44320|E2F1,7.864785745313606e-23,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
70962|E2F1,9.179821950229841e-23,Homo sapiens,E2F1,tf,Raji,B Lymphocyte,Blood,1
2282|E2F1,1.47370769636807e-22,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
67459|E2F1,2.936325944470301e-22,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
49480|E2F4,3.310241294070212e-22,Homo sapiens,E2F4,tf,None,Retinal pigment cell,None,1
44313|E2F1,3.514494516048233e-22,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
56252|E2F1,8.497105119276814e-22,Homo sapiens,E2F1,tf,None,Epithelium,Mammary Gland,1
38585|TAF3,9.016045973208631e-22,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1
45991|E2F1,9.016045973208631e-22,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
44329|E2F1,2.4297301328939816e-21,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
1314|PHF8,3.962303022330403e-21,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,1
75924|E2F1,9.972428110311246e-21,Homo sapiens,E2F1,tf,MM1.S,Multiple myeloma cell,None,1
41481|E2F1,1.0237483599575003e-20,Homo sapiens,E2F1,tf,OCI-Ly1,B cell lymphoma,Bone Marrow,1
56961|GTF2B,1.1917966301462795e-20,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1
44312|E2F1,1.2492939644709907e-20,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
65204|YY1,1.7003460730414272e-20,Homo sapiens,YY1,tf,HEK293,Epithelium,Embryonic Kidney,1
58506|WDR5,1.7543862665612094e-20,Homo sapiens,WDR5,cr,BE2-C,Neuroblast,Brain,1
49416|RB1,2.083396573644745e-20,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1
45239|PHF8,2.7154791610482785e-20,Homo sapiens,PHF8,cr,H1,Embryonic Stem Cell,Embryo,1
8818|PHF8,2.7154791610482785e-20,Homo sapiens,PHF8,cr,H1,Embryonic Stem Cell,Embryo,1
70953|E2F1,2.729602044209984e-20,Homo sapiens,E2F1,tf,Raji,B Lymphocyte,Blood,1
45750|E2F1,3.107256182272393e-20,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
93|PHF8,3.272386371140105e-20,Homo sapiens,PHF8,cr,HEK293T,Epithelium,Embryonic Kidney,1
44316|E2F1,4.6737046382790906e-20,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
1312|PHF8,5.80191461271791e-20,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0
2280|E2F1,6.202840025111204e-20,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
40216|MED1,8.65656061632536e-20,Homo sapiens,MED1,predicted transcription factor,None,B Lymphocyte,Blood,1
76682|ASXL1,1.2503306846995895e-19,Homo sapiens,ASXL1,tf,HEK293,None,None,1
64761|POLR2AphosphoS5,1.6372713234019363e-19,Homo sapiens,POLR2AphosphoS5,,None,Neuron,None,1
70095|TET2,1.793919617214321e-19,Homo sapiens,TET2,cr,293T,None,None,1
9216|POLR2B,2.0056001247059998e-19,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1
2278|E2F1,2.2193479768293265e-19,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
55466|NELFA,2.311014882586613e-19,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,0
36230|TTF2,2.346345828796935e-19,Homo sapiens,TTF2,tf,HEK293,Epithelium,Embryonic Kidney,1
1880|RBL2,2.648882208493221e-19,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1
53347|CDK9,2.8001250683495937e-19,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1
2279|E2F1,3.5842633332715045e-19,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
34392|MECP2,3.6205076615641185e-19,Homo sapiens,MECP2,cr,IMR90,Fibroblast,Lung,1
52436|WDR5,3.73142677808484e-19,Homo sapiens,WDR5,cr,HEK293,Epithelium,Embryonic Kidney,1
2283|E2F1,5.408917434368132e-19,Homo sapiens,E2F1,tf,MCF-7,Epithelium,Breast,1
62551|TFDP1,5.463335048877951e-19,Homo sapiens,TFDP1,tf,K562,Erythroblast,Bone Marrow,1
62550|TFDP1,5.801381507670104e-19,Homo sapiens,TFDP1,tf,K562,Erythroblast,Bone Marrow,1
