,coefficients,cell_line,cell_type,tissue
63923,0.3018692404708968,SK-N-SH,Neuron,
43073,0.2309673901422901,HEK293T,Epithelium,Embryonic Kidney
1820,-0.1402548309658379,IMR90,Fibroblast,Lung
35423,0.12438226828712273,NHLF,Fibroblast,Lung
55551,0.11775941199568292,,B Lymphocyte,
43750,0.10345493163827595,KOPT-K1,T Lymphocyte,Blood
43743,-0.05566562574976319,KOPT-K1,T Lymphocyte,Blood
49880,0.05006800262917971,A673,,
56797,0.04272541524409792,,Neural crest cell,Cranial
42335,-0.01561114280196567,GM12892,Lymphoblastoid,Blood
