Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
E2F1::TFDP1,M00736;5.43E-20,,,,
E2F1,MS00815;9.67E-19,MC00182;1.11E-17,,,
Gm5454,UP00423;9.14E-18,,,,
E2f4,MC00158;9.83E-18,,,,
E2F3,UP00003;3.00E-17,MS00734;5.40E-09,,,
ETV1,MC00427;4.70E-17,,,,
Zfp128,UP00094;1.16E-16,,,,
Pax5,MC00257;2.84E-16,,,,
HINFP1,MS00090;2.91E-16,MS00079;2.11E-15,,,
E2F2,UP00001;3.57E-16,MS00712;6.95E-03,,,
Gmeb1,UP00084;3.72E-16,,,,
DEAF1,M01002;8.21E-16,,,,
NR2C2,MC00509;1.77E-15,MS00651;7.22E-03,,,
PAX8,M00717;2.00E-15,,,,
HMGN1,MC00502;2.07E-15,,,,
PAX4,M00373;2.15E-15,M00378;5.72E-07,MS00121;4.67E-02,,
Etv5,UP00412;2.21E-15,,,,
Rara,MC00252;2.75E-15,MS00698;9.92E-01,,,
E2F4,MC00523;3.11E-15,,,,
CENPB,MS00534;3.39E-15,,,,
Zfp161,UP00065;3.83E-15,,,,
SP1,MS00212;5.66E-15,MC00113;1.11E-06,,,
HEY1,MS00258;7.66E-15,,,,
E2F1::TFDP2,M00737;7.77E-15,,,,
XBP1,UP00330;1.13E-14,MS00342;6.06E-13,,,
E2F6,MC00254;1.22E-14,M01252;1.53E-06,,,
Zscan10,M01742;1.47E-14,,,,
SREBF2,M01177;1.65E-14,MS00281;1.85E-04,,,
TEAD2,M00695;2.05E-14,,,,
TFAP2B,MS00228;2.08E-14,MS00229;2.71E-10,MS00230;4.61E-10,,
BCL6,MC00386;2.80E-14,M01171;5.11E-01,,,
AHR,M00139;2.84E-14,,,,
RUNX2,MS00173;2.87E-14,MS00174;1.09E-13,MC00215;3.20E-01,,
E2f3,MC00510;3.21E-14,,,,
GABPB1,M00341;4.06E-14,,,,
Rest,MC00125;5.02E-14,,,,
Rfx1,MC00144;9.77E-14,,,,
PAX5,MC00332;1.02E-13,MA0014;3.86E-13,M00143;3.96E-13,,
SP4,MS00235;1.04E-13,,,,
HINFP,MA0131;1.88E-13,,,,
Tcfap2b,UP00010;1.92E-13,,,,
PAX3,M00327;1.93E-13,MS00119;2.75E-02,,,
Zfx,MC00328;1.98E-13,,,,
ETV3,MC00160;2.01E-13,,,,
PAX1,MS00117;2.13E-13,M00326;2.54E-08,M00808;3.79E-01,,
Spdef,UP00038;2.64E-13,,,,
ELK4,MC00207;3.56E-13,,,,
VDR,M00961;4.23E-13,M00444;5.64E-07,MC00412;1.67E-06,,
PAX2,MS00118;4.85E-13,MA0067;2.17E-10,M00486;4.22E-06,,
SP3,MS00223;6.03E-13,M00665;1.69E-08,,,
ZBTB33,MC00418;7.05E-13,M01119;1.95E-01,,,
YY2,MS00268;7.08E-13,,,,
GMEB2,MS00183;7.34E-13,MS00182;5.51E-09,MS00721;1.39E-07,,
Tcfap2a,MS00239;7.62E-13,MS00240;6.37E-12,MS00241;2.89E-11,,
EGR4,MS00678;7.71E-13,,,,
HEY2,MS00260;8.97E-13,,,,
