,coefficients,cell_line,cell_type,tissue
38266,0.6171809701251968,,Mesenchymal Stem Cell,Bone Marrow
38236,-0.5280824961794959,,Mesenchymal Stem Cell,Bone Marrow
38270,0.39960398881825016,,Mesenchymal Stem Cell,Bone Marrow
38278,-0.39689968167295664,,Mesenchymal Stem Cell,Bone Marrow
47250,0.2103283149540969,,Cortex,Brain
38020,0.20967040498989248,,Mesenchymal Stem Cell,Bone Marrow
53033,0.18753342767073625,FT246,Epithelium,Fallopian tube secretory
38242,0.05677029699426792,,Mesenchymal Stem Cell,Bone Marrow
53038,0.010104979809341146,FT33,Epithelium,Fallopian tube secretory
53032,0.0006816147031507128,FT246,Epithelium,Fallopian tube secretory
