,0,TF
MS00455|EVX2,0.06250973135580813,EVX2
MS00436|DPRX,0.06309136311058314,DPRX
UP00250|IRX5,0.06492226792030334,IRX5
MS00597|PROP1,0.0665456247389097,PROP1
MS00557|MNX1,0.06735949659765125,MNX1
MS00624|VENTX,0.06819311165749173,VENTX
MS00541|LHX9,0.06829599953428794,LHX9
MS00613|SHOX2,0.06969136751888612,SHOX2
MS00155|POU6F2,0.07206727113925493,POU6F2
UP00014|Sox17,0.07315841618910864,Sox17
UP00244|TLX2,0.07316592793832749,TLX2
MS00202|TBX20,0.07316775925445229,TBX20
MC00321|JUN,0.07421056794061186,JUN
UP00064|Sox18,0.07423415038473939,Sox18
MC00276|EOMES,0.07980454547911753,EOMES
MC00452|STAT5B,0.08013696042698683,STAT5B
M00454|ARID5B,0.08206374208643127,ARID5B
MS00405|ARX,0.08455082889507617,ARX
UP00261|LHX4,0.0855523183767562,LHX4
MS00249|BHLHE22,0.0861231234185108,BHLHE22
MS00407|Alx1,0.08780580751097168,Alx1
MS00521|Hoxd3,0.08804703564923076,Hoxd3
MS00291|Tcf21,0.08872791035890387,Tcf21
UP00259|HOXB6,0.09036362107243745,HOXB6
M00999|AIRE,0.0907639600168979,AIRE
UP00155|Hmx2,0.09115458516840323,Hmx2
MS00402|ALX3,0.09368299114467991,ALX3
MC00157|Tead4,0.09404027575418948,Tead4
MS00408|Alx4,0.09457306499099881,Alx4
MS00634|CUX2,0.09726560001073693,CUX2
MS00577|NKX6-2,0.09742974378976962,NKX6-2
UP00182|HOXA6,0.09752676203290055,HOXA6
MS00585|OTX2,0.09772652670902238,OTX2
UP00137|Hoxb3,0.09831090789912061,Hoxb3
MS00517|Hoxc10,0.10027735713462627,Hoxc10
MA0152|NFATC2,0.1009956946641924,NFATC2
MS00201|SNAI2,0.10119616939288018,SNAI2
MS00060|HSF4,0.10516213866997376,HSF4
MS00589|PDX1,0.10915767454357958,PDX1
MS00805|Sox3,0.11627205228835794,Sox3
MS00191|TBR1,0.119024040238854,TBR1
MS00075|MEF2B,0.1192672356268986,MEF2B
MS00795|Sox11,0.11936255100027192,Sox11
UP00161|Hmbox1,0.11959632919741987,Hmbox1
MS00224|TEAD4,0.12029228715288019,TEAD4
UP00033|Zfp410,0.12130065852850946,Zfp410
UP00189|HOXA5,0.12354431185651182,HOXA5
UP00045|MAFB,0.12383824122999748,MAFB
MS00454|EVX1,0.12453762364389875,EVX1
MC00511|Rxrg,0.12566755893894657,Rxrg
MS00218|T,0.12774713950759017,T
UP00004|Sox14,0.1277987052534658,Sox14
MC00351|FOSL1,0.1286860905135066,FOSL1
MA0365|RFX1,0.134074484357065,RFX1
M01108|HOXA7,0.1343374931069333,HOXA7
UP00105|POU3F4,0.13488937071963944,POU3F4
MS00811|RARB,0.13612623764483428,RARB
MS00606|RAX,0.1365003267724425,RAX
MS00425|CDX1,0.14011839915029603,CDX1
MS00627|VSX2,0.1426434847356209,VSX2
MS00428|DLX2,0.14428899017962535,DLX2
MC00136|Hoxb4,0.14454262416389957,Hoxb4
MS00504|HOXC13,0.14738130401328509,HOXC13
MS00143|POU3F3,0.15215198977009664,POU3F3
MS00253|CLOCK,0.1529477754505883,CLOCK
MS00245|BHLHA15,0.1545260341758731,BHLHA15
M01453|ALX1,0.16347593146152342,ALX1
MS00404|ALX4,0.1634851708353505,ALX4
M00526|NR6A1,0.16400271754842952,NR6A1
MC00355|SRF,0.1669710399205034,SRF
UP00231|NKX2-2,0.16733255476039946,NKX2-2
M00465|POU6F1,0.16880332103458698,POU6F1
MC00371|JUNB,0.16933053317780206,JUNB
UP00241|HOXD3,0.16987231178031387,HOXD3
MC00458|TAL1,0.17022818980152288,TAL1
MA0017|NR2F1,0.174031802650203,NR2F1
MS00510|HOXD13,0.18019253197612764,HOXD13
UP00082|Zfp187,0.18116203692840527,Zfp187
MS00449|EN1,0.1843152841540373,EN1
UP00071|Sox21,0.19448922467296006,Sox21
MC00402|Hoxc9,0.1952179525006353,Hoxc9
M01069|GZF1,0.2012842375189895,GZF1
UP00012|Bbx,0.20189920071066278,Bbx
MS00726|PRDM4,0.20350101978389576,PRDM4
UP00139|Nkx1-2,0.20546301025502686,Nkx1-2
UP00151|BARX2,0.2071719347492538,BARX2
MC00211|NFATC1,0.21320614969575977,NFATC1
M01709|MAFA,0.2155059809109946,MAFA
M00478|CDC5L,0.21574419015330318,CDC5L
MS00250|BHLHE23,0.21664287184164205,BHLHE23
MC00248|USF1,0.22217068554527736,USF1
MC00341|Olig2,0.2252507211573267,Olig2
MS00431|DLX5,0.2293956103469015,DLX5
MS00582|OTX1,0.22978590273871097,OTX1
UP00069|Sox1,0.2307928939566531,Sox1
MS00473|HMX1,0.23087643768398067,HMX1
MS00088|Meis3,0.23130782850433546,Meis3
MC00303|Sox2,0.23182484880790136,Sox2
MS00168|PRDM1,0.23940156857276593,PRDM1
MS00476|HNF1A,0.24012448662618358,HNF1A
MS00536|LHX2,0.24210373781782582,LHX2
M01306|ZNF217,0.24241339953993749,ZNF217
MC00111|Bcl6,0.2433990459807545,Bcl6
MS00440|Dlx2,0.2447427305557008,Dlx2
MS00041|Spic,0.24894341703086956,Spic
MS00366|FOXJ2,0.24984627297205225,FOXJ2
M00294|Foxf1a,0.25286119864422,Foxf1a
MS00106|NFAT5,0.25445155974605216,NFAT5
M00964|NR1I2,0.254470880011123,NR1I2
MS00149|POU4F2,0.2590531721752891,POU4F2
MS00543|LMX1A,0.26105698495996094,LMX1A
UP00140|Hoxd1,0.26168307417352066,Hoxd1
MS00493|HOXB5,0.2654949050138845,HOXB5
MA0164|NR2E3,0.2713786222903592,NR2E3
M01149|Dmrta1,0.272495940961953,Dmrta1
UP00186|MEIS1,0.2790532009275178,MEIS1
MC00233|Pou5f1,0.28007581995182335,Pou5f1
MS00491|HOXB2,0.280259036057237,HOXB2
UP00260|Hoxc6,0.28176586130494524,Hoxc6
MC00195|Myf5,0.2856683064534198,Myf5
M01147|DMRT2,0.28931629308397216,DMRT2
MS00277|OLIG2,0.29162890086561827,OLIG2
MS00438|DUXA,0.2925989910854882,DUXA
MS00757|SOX21,0.2947489950650573,SOX21
M01230|ZNF333,0.2962967651375731,ZNF333
UP00197|HOXC9,0.2972179706780728,HOXC9
MC00226|Nanog,0.2991089521389051,Nanog
M00678|ETV7,0.3019760156985967,ETV7
MS00076|MEF2D,0.3068338857316352,MEF2D
MC00146|Smad2/3,0.30850471384731926,Smad2/3
UP00128|POU3F2,0.3130454776555022,POU3F2
MS00148|POU4F1,0.3132409591505473,POU4F1
MS00586|Otx1,0.3157074258307599,Otx1
UP00138|Bsx,0.31883346326220924,Bsx
MS00563|Meox2,0.3190195469213365,Meox2
MS00295|Atf4,0.32776895623637564,Atf4
MC00231|MEF2C,0.3295322216730276,MEF2C
MA0130|ZNF354C,0.3299492296756148,ZNF354C
MS00261|ID4,0.33095964496748953,ID4
MS00581|Nkx6-1,0.3311992051233741,Nkx6-1
MS00528|ISL2,0.33220141484006965,ISL2
MC00524|Nr1d1,0.33887223731252986,Nr1d1
MS00269|MYF6,0.34054639017277416,MYF6
MS00460|GBX2,0.34744372277155844,GBX2
UP00121|Hoxd10,0.3476984945078426,Hoxd10
M01132|SF1,0.35077780378989026,SF1
UP00051|Sox8,0.3548933106105866,Sox8
MS00169|RFX5,0.3586021584861569,RFX5
MC00265|Tcf3,0.3601900251719231,Tcf3
MS00458|En2,0.36509746326979936,En2
MC00269|SOX2,0.37027848173910294,SOX2
MS00547|Lhx4,0.3743370564952346,Lhx4
UP00218|Dbx2,0.37953804678322817,Dbx2
MC00330|FOS,0.3798674787045666,FOS
M01112|RBPJ,0.3836915319750616,RBPJ
M01300|HMGA2,0.39344734280709287,HMGA2
MS00390|ZNF238,0.3949460665191719,ZNF238
MS00469|Gbx2,0.3959906356766681,Gbx2
UP00113|HOXC4,0.3964929203192149,HOXC4
M00640|HOXA4,0.4015821666624937,HOXA4
MS00467|Gbx1,0.4108710369350911,Gbx1
MS00641|Esrra,0.4224704603926911,Esrra
UP00254|POU2F1,0.42264808550561905,POU2F1
UP00242|HOXC8,0.4256667153066809,HOXC8
UP00023|Sox30,0.42924397060402064,Sox30
UP00091|SOX5,0.43163735286485083,SOX5
MS00492|HOXB3,0.4327511750210843,HOXB3
MC00204|Stat5b,0.43449607734780327,Stat5b
MS00829|ESRRA,0.4356295093542957,ESRRA
MS00766|SOX4,0.4398279359241385,SOX4
MS00197|TBX1,0.4409330556764205,TBX1
MS00679|ONECUT2,0.44725806416396774,ONECUT2
MC00135|Rela,0.45124516607936116,Rela
MS00452|ESX1,0.4586761997287525,ESX1
MS00665|NR4A2,0.4595893530252976,NR4A2
MS00551|MEOX1,0.4628062933177134,MEOX1
MS00137|POU2F3,0.4672987379136371,POU2F3
MS00770|SOX7,0.4714670557757734,SOX7
MS00192|TBX15,0.47377866249741296,TBX15
MS00820|NFIA,0.4791215972126157,NFIA
MS00513|HOXD8,0.485653803144263,HOXD8
MS00750|SOX15,0.49068650441250505,SOX15
MS00450|EN2,0.49339687118120124,EN2
MC00309|TCF7L2,0.49488747867214467,TCF7L2
UP00075|Sox15,0.4995975564221582,Sox15
MS00087|Meis2,0.520471346646141,Meis2
MS00459|GBX1,0.5210192460147245,GBX1
MS00555|MIXL1,0.5233425718808945,MIXL1
MS00575|NKX6-1,0.5258206218615984,NKX6-1
MS00276|OLIG1,0.527791883373942,OLIG1
MC00260|Pax3,0.5430955845922198,Pax3
MS00501|Zfp652,0.5497565249238427,Zfp652
MA0081|SPIB,0.5546551222460695,SPIB
UP00159|SIX2,0.5554798743789167,SIX2
MS00153|POU5F1P1,0.5567432709345049,POU5F1P1
MC00165|Pdx1,0.5603886874238633,Pdx1
UP00037|Zfp105,0.5623456403823099,Zfp105
MS00516|Hoxa2,0.564023706986298,Hoxa2
M01262|TBX18,0.5686026972796285,TBX18
MS00486|HOXA1,0.5690253895671964,HOXA1
MS00487|HOXA2,0.5805883452115158,HOXA2
MS00794|Sox10,0.609584725815983,Sox10
MA0125|Nobox,0.6116095958882419,Nobox
UP00192|SIX1,0.6191504490196494,SIX1
UP00211|Pou3f3,0.6261777607309782,Pou3f3
MS00280|OLIG3,0.636783673059792,OLIG3
MS00807|MSC,0.6417469035445139,MSC
UP00195|SIX3,0.6430539370919035,SIX3
M01195|TBX22,0.6465069589369308,TBX22
MS00667|ONECUT1,0.6536586083902183,ONECUT1
MC00378|POU5F1,0.6619039400880973,POU5F1
MC00370|Npas4,0.6682580362791147,Npas4
MC00388|Tal1,0.668762412390434,Tal1
M01723|SATB1,0.6696282944428602,SATB1
MC00512|Esrrb,0.6811149140955872,Esrrb
UP00147|Nkx2-6,0.69067858924682,Nkx2-6
MC00347|STAT4,0.6938147386594109,STAT4
MS00427|DLX1,0.6972396301967886,DLX1
MS00151|POU4F3,0.7006488104777249,POU4F3
MC00280|NR4A1,0.7087595432548146,NR4A1
M01081|ZNF628,0.711437896599002,ZNF628
UP00044|Mafk,0.7219438148909219,Mafk
MA0442|SOX10,0.7223484762953941,SOX10
MS00126|PAX7,0.7227637206411062,PAX7
MC00329|Srf,0.7275494093351309,Srf
MC00151|SPI1,0.7301081790770607,SPI1
MS00096|TGIF2,0.7373592999471021,TGIF2
MS00287|TFAP4,0.7399362003960379,TFAP4
MS00336|NFE2,0.7424751308964896,NFE2
MS00490|ZSCAN4,0.7429566318565102,ZSCAN4
M00712|MYOG,0.7467379525899567,MYOG
MS00468|ZNF75A,0.7542045120676201,ZNF75A
MS00244|Atoh1,0.76531400526796,Atoh1
MS00085|MEIS3,0.769695716950163,MEIS3
M01268|NR1H4,0.7745038390937925,NR1H4
MS00094|TGIF1,0.7818390136865782,TGIF1
UP00185|PBX1,0.7876520895453536,PBX1
MC00358|Ebf1,0.7946851925945528,Ebf1
UP00215|Vax1,0.7953359766812444,Vax1
MS00054|Tcf7,0.8060682158760943,Tcf7
MS00669|Nr2f6,0.8092808149904438,Nr2f6
MC00178|Nkx2-5,0.8173795883889229,Nkx2-5
UP00080|Gata5,0.8217694809923788,Gata5
M01295|ATF5,0.8288336633476314,ATF5
M01312|NKX2-1,0.8310964380456689,NKX2-1
MC00471|Rxra,0.8340321536652995,Rxra
MS00011|BCL6B,0.8422654920427305,BCL6B
UP00101|Sox12,0.8468664034699984,Sox12
MC00186|Nr1d2,0.8495295212881206,Nr1d2
UP00055|HBP1,0.8539295693190391,HBP1
M01694|Yy2,0.8556180957874552,Yy2
MS00095|TGIF2LX,0.8580604384636956,TGIF2LX
MC00506|Spi1,0.8600276266950371,Spi1
MS00728|ZNF232,0.860103668808276,ZNF232
MC00505|POLR2B,0.8699621580461794,POLR2B
MC00513|SFPI1,0.8822903529318527,SFPI1
MC00117|GATA6,0.8838717341678091,GATA6
MC00504|Scx,0.8857989775004086,Scx
MS00093|Pknox2,0.8869508760004768,Pknox2
MC00120|GATA1,0.8885105435497587,GATA1
MS00690|ONECUT3,0.8938795657231954,ONECUT3
UP00388|SIX6,0.8943563354226743,SIX6
MS00033|SPDEF,0.9023061601344571,SPDEF
MC00119|GATA3,0.9122957742892084,GATA3
UP00034|Sox7,0.9126497483632796,Sox7
MC00324|Gata4,0.9261638895767716,Gata4
MC00118|GATA2,0.9266513120280417,GATA2
MS00051|LEF1,0.9282079360806845,LEF1
M01151|Dmrtc2,0.9366909913915777,Dmrtc2
MS00091|PKNOX1,0.9439933886586506,PKNOX1
MS00748|SOX14,0.9440938686218436,SOX14
MS00272|NEUROG2,0.9516482718711224,NEUROG2
MS00753|SOX18,0.9554904954064228,SOX18
MS00083|MEIS2,0.9617641991487397,MEIS2
MA0103|ZEB1,0.9625014405798868,ZEB1
UP00096|SOX13,0.963000552423618,SOX13
MS00254|FIGLA,0.9637358263756097,FIGLA
M01722|RORB,0.9642877930425405,RORB
MS00059|HSF2,0.9665890805283549,HSF2
MS00412|ZNF410,0.9674637516367858,ZNF410
MC00514|Cbfa2t2,0.9715028438522787,Cbfa2t2
MC00326|Gata3,0.9733067698728978,Gata3
MC00354|Neurod1,0.9751691845527586,Neurod1
MS00474|HMX2,0.9777324536463334,HMX2
M01282|PPARA,0.9789448484458365,PPARA
MC00327|Gata1,0.981283709984164,Gata1
MS00053|TCF7L1,0.9814998140494503,TCF7L1
MC00325|Gata2,0.9844783074489464,Gata2
MC00352|Nr5a2,0.9860189632925397,Nr5a2
M00495|BACH1,0.9875986259886532,BACH1
MC00507|Meis1,0.9898172700241572,Meis1
M01127|ISL1,0.9908079636050421,ISL1
MS00092|PKNOX2,0.9918653389692912,PKNOX2
UP00107|Nkx2-4,0.9946506328662976,Nkx2-4
MC00162|LMO2,0.9952839771208261,LMO2
M01146|DMRT1,0.9999652412554901,DMRT1
