,0,TF
M00491|PATZ1,1.664432993438969e-09,PATZ1
MC00364|NFYA,1.7810691835640384e-09,NFYA
MC00374|TFAP2C,1.879024459489447e-09,TFAP2C
MC00344|Hnf4a,2.1270793360217994e-09,Hnf4a
MC00448|Nr1h2,2.496455291323243e-09,Nr1h2
MS00157|Klf12,2.6063907983391673e-09,Klf12
MC00532|Mycn,2.759072109656796e-09,Mycn
MC00160|ETV3,2.9899313923312477e-09,ETV3
MS00027|FLI1,3.5207469202960006e-09,FLI1
M01592|TFCP2L1,3.81561909140788e-09,TFCP2L1
MC00170|PGR,3.862810921575876e-09,PGR
M00737|E2F1::TFDP2,3.912444165140159e-09,E2F1::TFDP2
M01109|ZNF589,4.159026989535843e-09,ZNF589
MS00327|MAFG,4.184914077218919e-09,MAFG
MS00117|PAX1,4.217288260043281e-09,PAX1
MC00335|ESR1,4.428267707507064e-09,ESR1
MS00423|ZNF524,5.065598240531394e-09,ZNF524
M01241|GTF2IRD1,5.544891640719488e-09,GTF2IRD1
M00792|SMAD1,5.756560041463719e-09,SMAD1
MC00394|MYC,5.793288252391266e-09,MYC
MC00252|Rara,6.308967304735576e-09,Rara
M01744|ZFP42,7.710018426952041e-09,ZFP42
M00072|TFCP2,8.109946132280082e-09,TFCP2
MS00024|GLIS1,8.563559051770869e-09,GLIS1
MC00125|Rest,9.824794439076667e-09,Rest
MS00834|ELF4,1.0005197144691767e-08,ELF4
UP00018|Irf4,1.0264264087886724e-08,Irf4
MC00174|REST,1.0579319703064842e-08,REST
MC00339|NFE2L2,1.0664782904164863e-08,NFE2L2
MC00367|GABPA,1.1189091190324264e-08,GABPA
MC00295|Esr1,1.2767488658067124e-08,Esr1
MS00022|Elf5,1.498450617457352e-08,Elf5
UP00418|Etv6,1.626250944425233e-08,Etv6
MS00255|HES5,1.7721576781089737e-08,HES5
MS00268|YY2,1.9182633183492945e-08,YY2
UP00404|ELF2,1.9802415586193096e-08,ELF2
M00500|STAT6,2.0628765968891524e-08,STAT6
MS00146|KLF16,2.0813024978894077e-08,KLF16
MS00128|PAX9,2.1836509480296647e-08,PAX9
MC00140|Stat3,2.581066838447365e-08,Stat3
M00649|MAZ,2.60007158927361e-08,MAZ
MC00130|Pparg,2.664947598438045e-08,Pparg
UP00011|IRF6,2.904007885760558e-08,IRF6
MS00386|FOXO6,3.1260467415319236e-08,FOXO6
MS00248|BHLHB3,3.1735989412634e-08,BHLHB3
M00179|ATF2,3.5546645451952994e-08,ATF2
MA0163|PLAG1,3.620348253945271e-08,PLAG1
MC00477|ZNF711,3.652392806744625e-08,ZNF711
UP00031|Zbtb3,3.717008259206965e-08,Zbtb3
MC00128|CTCF,4.107783375207748e-08,CTCF
MS00256|HES7,4.126918743751822e-08,HES7
MS00684|RARG,4.2632410089867416e-08,RARG
MS00638|ESRRG,4.578383117572821e-08,ESRRG
MS00778|EHF,4.5907325183949976e-08,EHF
MS00338|NRL,4.824285902569201e-08,NRL
MS00019|ETV5,4.998041840724803e-08,ETV5
UP00038|Spdef,6.835324414092883e-08,Spdef
MS00046|GLIS3,7.172253821575937e-08,GLIS3
MS00207|TBX21,7.59490188555395e-08,TBX21
MS00021|ETV6,1.0061176577287902e-07,ETV6
MC00278|ETS1,1.0861002746129211e-07,ETS1
MC00207|ELK4,1.1366519517896836e-07,ELK4
M00115|CNTN2::CREB1,1.1489537283221017e-07,CNTN2::CREB1
MA0073|RREB1,1.1683374856923845e-07,RREB1
UP00000|SMAD3,1.2140278078357455e-07,SMAD3
MC00373|Mxi1,1.5600548132521102e-07,Mxi1
MS00331|MAFK,1.7015358796718683e-07,MAFK
MS00311|Creb3l2,1.7309713330643435e-07,Creb3l2
MS00533|LBX2,1.7416991430925597e-07,LBX2
MS00274|NHLH1,2.1454887427350947e-07,NHLH1
MS00048|GCM1,2.166376535183447e-07,GCM1
UP00094|Zfp128,2.753408929743855e-07,Zfp128
UP00112|Gsc,3.6621474402359664e-07,Gsc
UP00412|Etv5,3.8981656251537873e-07,Etv5
MC00457|ELF1,4.772154216630407e-07,ELF1
M01248|NR0B1,5.225534505201558e-07,NR0B1
MS00125|PAX6,6.210074027669747e-07,PAX6
UP00190|NKX2-3,7.445346403047624e-07,NKX2-3
M01067|GFI1,7.563888190878722e-07,GFI1
MC00407|Myc,7.95321991854671e-07,Myc
MC00262|ARNT,8.257981150504759e-07,ARNT
MS00383|FOXO4,9.191447118165003e-07,FOXO4
MA0051|IRF2,9.234295290166896e-07,IRF2
MC00473|ATF3,1.0328570256668455e-06,ATF3
MS00111|NFKB2,1.0596497476478323e-06,NFKB2
MC00439|TP63,1.1762628373909534e-06,TP63
M00085|ZBTB6,1.230833574822074e-06,ZBTB6
UP00040|Irf5,1.2758391008786818e-06,Irf5
MC00475|Nfic,1.3771861376787973e-06,Nfic
MC00467|RXRA,1.478781756186709e-06,RXRA
UP00086|IRF3,1.5310206710753183e-06,IRF3
MS00838|ELF5,1.9571124642508473e-06,ELF5
MS00115|NFIX,2.078177093098508e-06,NFIX
UP00066|HNF4A,2.659188669052854e-06,HNF4A
UP00041|Foxj1,3.0257255521452903e-06,Foxj1
MC00124|MAX,3.200178602559988e-06,MAX
MS00247|BHLHB2,3.3730301375196607e-06,BHLHB2
M01733|MZF1,3.5266862243301286e-06,MZF1
UP00027|Osr1,3.6659051852683515e-06,Osr1
UP00423|Gm5454,3.6921919882389113e-06,Gm5454
MC00281|PBX3,3.913508463845132e-06,PBX3
MC00110|Klf1,4.36390939105207e-06,Klf1
MS00371|FOXK1,4.4453193253634e-06,FOXK1
MS00512|Zfp740,6.075832699358413e-06,Zfp740
MS00445|ZNF740,6.459655570199625e-06,ZNF740
UP00019|ZBTB12,6.983790611647401e-06,ZBTB12
MS00844|ELK3,6.994740458216665e-06,ELK3
MC00465|NR3C1,7.613718822508266e-06,NR3C1
MC00192|ZNF263,9.122423898476501e-06,ZNF263
UP00119|Nkx2-9,9.398294447917233e-06,Nkx2-9
UP00114|Homez,9.88952568053957e-06,Homez
MC00359|TP53,1.1637101856256454e-05,TP53
MC00109|Klf4,1.2352866588607058e-05,Klf4
UP00184|Lhx8,1.4416539669949517e-05,Lhx8
MS00267|MNT,1.5426838245412587e-05,MNT
MS00373|FOXL1,2.080189777646054e-05,FOXL1
MC00316|HIF1A,2.0877169953809754e-05,HIF1A
MA0155|INSM1,2.1605360728221654e-05,INSM1
MS00177|RUNX3,2.361665853511644e-05,RUNX3
MS00018|ETV4,2.4502883875710446e-05,ETV4
MS00710|THRB,2.8223243869651107e-05,THRB
MS00356|FOXD2,2.9461942637554433e-05,FOXD2
M01596|GLI3,3.0128193499849512e-05,GLI3
MC00134|Ppara,3.036759652015893e-05,Ppara
MS00190|SCRT2,3.131846278953482e-05,SCRT2
M00483|ATF6,3.2074800372883514e-05,ATF6
MS00065|IRF4,3.651045611399071e-05,IRF4
MS00171|Rfx2,3.89949224082893e-05,Rfx2
MS00289|TFEB,3.9500910282350695e-05,TFEB
UP00052|Osr2,4.1080579134541064e-05,Osr2
MS00216|TBX5,4.371332475949211e-05,TBX5
M00222|TCF3,4.406291198066546e-05,TCF3
MC00163|Creb1,5.061930652912339e-05,Creb1
MS00110|NFKB1,5.4362384869874515e-05,NFKB1
UP00056|RFX4,5.948446964141301e-05,RFX4
MC00362|Arntl,6.431216054497725e-05,Arntl
MC00132|TP73,6.64817352862847e-05,TP73
M01288|NEUROD1,6.948964582617013e-05,NEUROD1
MC00501|FOXP1,7.236683518261293e-05,FOXP1
MS00073|IRF9,7.327696814809738e-05,IRF9
MS00556|GRHL1,8.011294447005884e-05,GRHL1
MS00101|Hic1,8.82602783104479e-05,Hic1
MS00354|FOXC2,8.894743397145972e-05,FOXC2
MS00337|NFIL3,9.032595462050087e-05,NFIL3
MS00062|HSFY2,9.122354592855997e-05,HSFY2
MS00662|NR3C2,9.186325333215973e-05,NR3C2
MS00653|NR2E1,9.765054483085598e-05,NR2E1
MS00387|FOXP3,9.958427452768963e-05,FOXP3
MS00023|Elk3,0.00010206455916291865,Elk3
UP00148|Hdx,0.00010647942905818496,Hdx
MS00114|NFIB,0.00010734278424028975,NFIB
M01075|ZBTB16,0.00010789742103936647,ZBTB16
MS00072|IRF8,0.00011274838332380918,IRF8
MS00285|TCF4,0.00011548754745088794,TCF4
MS00264|MESP1,0.00011959076538308785,MESP1
MS00812|ELF3,0.00012104174756958342,ELF3
MA0116|Zfp423,0.00012583683600959694,Zfp423
M01037|GLI1,0.000140066419507087,GLI1
MC00293|Gfi1b,0.00014453685819539616,Gfi1b
MA0030|FOXF2,0.00014699283783519096,FOXF2
UP00035|HIC1,0.0001475783329863791,HIC1
MC00396|Nr3c1,0.00015341971203246542,Nr3c1
MC00408|Myb,0.00015713331602398983,Myb
MC00169|Usf2,0.00016034608383386011,Usf2
MC00372|Yy1,0.00016176536623432902,Yy1
MS00700|Rarb,0.00016686469219817822,Rarb
