,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
54126|CEBPB,0.00000000000000024426414062949366845917894503761293701058024601081154187801799930249680036395697053813461583194292827401457133036457633820215889412183793624132705613831064551955757473554802656262434077010238275205617,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1,CEBPB
52092|TP53,2.070565940925917e-14,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
73970|ZNF202,7.011058400507864e-14,Homo sapiens,ZNF202,,293T,None,None,1,ZNF202
62934|BCL3,1.2856382625159313e-13,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
45754|E2F1,1.3589129821411916e-13,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1,E2F1
36356|POLR2B,1.4405143744511406e-13,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1,POLR2B
53593|MED1,1.7352785874891197e-13,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1,MED1
53347|CDK9,4.85722573273506e-13,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
71136|BRD4,6.191713808334498e-13,Homo sapiens,BRD4,cr,MCF-10A,Epithelium,None,1,BRD4
46052|NR3C1,7.018274850167927e-13,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,0,NR3C1
55393|SPI1,7.538414337204813e-13,Homo sapiens,SPI1,predicted transcription factor,786-O,Epithelium,Kidney,0,SPI1
73696|LEO1,8.290590436388356e-13,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1,LEO1
48085|AR,1.158129148137732e-12,Homo sapiens,AR,tf,HEK293,Epithelium,Embryonic Kidney,1,AR
65146|ZBTB14,1.3442580382161395e-12,Homo sapiens,ZBTB14,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB14
46221|TAF1,1.6922574452848949e-12,Homo sapiens,TAF1,tf,HeLa-S3,Epithelium,Cervix,1,TAF1
69365|FOXA1,2.6035840150484546e-12,Homo sapiens,FOXA1,tf,LNCaP,Epithelium,Prostate,1,FOXA1
37584|TBP,5.892952792407868e-12,Homo sapiens,TBP,tf,ME-1,Leukemia Cell,None,1,TBP
37579|FLI1,6.683209541336055e-12,Homo sapiens,FLI1,tf,ME-1,Leukemia Cell,None,0,FLI1
70810|MYC,7.033484905605292e-12,Homo sapiens,MYC,tf,HCT-116,Colon cancer cell,Colon,1,MYC
33571|PR,7.871314711138666e-12,Homo sapiens,PR,predicted transcription factor,AB32,Epithelium,Mammary Gland,1,PR
49036|ERCC6,1.4770074052705695e-11,Homo sapiens,ERCC6,predicted chromatin regulator,None,Fibroblast,Skin,1,ERCC6
41831|ZBTB17,2.475003535451492e-11,Homo sapiens,ZBTB17,tf,MDA-MD-231,Epithelium,Mammary Gland,1,ZBTB17
74838|JMJD6,2.703787194135998e-11,Homo sapiens,JMJD6,cr,None,3565 cells,None,1,JMJD6
37596|TAL1,5.6423754557499706e-11,Homo sapiens,TAL1,tf,ME-1,Leukemia Cell,None,1,TAL1
