Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
ESR2,MC00333;1.20E-11,,,,
HINFP1,MS00079;2.64E-11,MS00090;4.94E-09,,,
XBP1,UP00330;2.96E-11,MS00342;1.06E-03,,,
Gmeb1,UP00084;5.20E-11,,,,
E2F1::TFDP1,M00736;8.63E-11,,,,
DEAF1,M01002;8.79E-11,,,,
BRCA1,MC00299;1.36E-10,,,,
PAX4,M00373;1.39E-10,M00378;1.80E-05,MS00121;1.96E-01,,
ZBTB33,MC00418;1.74E-10,M01119;1.06E-03,,,
KLF15,M01714;2.46E-10,,,,
Zscan10,M01742;3.82E-10,,,,
Zic3,UP00006;4.27E-10,MS00523;4.59E-07,,,
PAX3,M00327;4.58E-10,MS00119;2.15E-01,,,
SP3,M00665;5.00E-10,MS00223;4.29E-07,,,
ZIC1,UP00102;5.37E-10,MS00334;5.59E-09,M00448;1.31E-08,,
ZIC2,UP00057;5.93E-10,M00449;2.18E-08,,,
ZIC4,MS00357;6.07E-10,,,,
TEAD2,M00695;6.54E-10,,,,
E2f4,MC00158;8.12E-10,,,,
PAX5,M00143;8.79E-10,MC00332;6.26E-09,MA0014;1.14E-08,,
WT1,M01118;1.36E-09,,,,
E2F4,MC00523;1.37E-09,,,,
Nfya,MC00191;1.50E-09,,,,
E2F6,MC00254;1.55E-09,M01252;2.04E-01,,,
RUNX2,MS00173;1.57E-09,MS00174;4.68E-08,MC00215;3.10E-01,,
AHR,M00139;1.69E-09,,,,
MTF1,M01243;1.86E-09,MS00725;8.69E-07,,,
Snai1,MC00183;2.01E-09,,,,
TFAP2B,MS00228;2.37E-09,MS00229;9.59E-09,MS00230;1.85E-06,,
ATF4,M00514;3.11E-09,MS00293;2.21E-01,,,
E2F1,MS00815;3.37E-09,MC00182;4.45E-09,,,
CENPB,MS00534;3.84E-09,,,,
ZBTB7B,MS00312;4.72E-09,M01175;7.75E-07,,,
Zfp161,UP00065;6.29E-09,,,,
Tcfcp2l1,MA0145;6.48E-09,,,,
ZBTB7C,MS00323;7.01E-09,,,,
VDR,M00961;7.09E-09,MC00412;8.52E-06,M00444;1.29E-05,,
GMEB2,MS00183;7.09E-09,MS00182;3.53E-04,MS00721;1.57E-03,,
Tbx3,MC00221;7.47E-09,,,,
ZBTB7A,MS00301;7.94E-09,MC00376;1.48E-07,M01100;5.80E-06,,
EGR4,MS00678;8.19E-09,,,,
E2f3,MC00510;8.68E-09,,,,
Pax5,MC00257;8.75E-09,,,,
EGR1,MC00320;1.00E-08,,,,
E2F2,UP00001;1.04E-08,MS00712;3.32E-01,,,
Tcfap2a,MS00240;1.11E-08,MS00239;1.82E-08,MS00241;1.30E-07,,
SP1,MC00113;1.14E-08,MS00212;1.64E-07,,,
ETV1,MC00427;1.68E-08,,,,
PAX8,M00717;1.70E-08,,,,
SP4,MS00235;1.86E-08,,,,
EGR3,MS00567;2.68E-08,,,,
EGR2,MC00319;2.93E-08,,,,
FOXN1,M00332;3.18E-08,,,,
ZNF350,M01105;3.65E-08,,,,
PLAGL1,UP00088;3.76E-08,,,,
GABPB1,M00341;3.84E-08,,,,
Tcfap2e,UP00028;3.90E-08,,,,
ZBTB49,MS00727;3.90E-08,,,,
E2F3,UP00003;4.03E-08,MS00734;1.06E-01,,,
ZNF143,MC00391;4.63E-08,,,,
KLF14,MS00135;4.78E-08,,,,
ZIC3,MS00346;4.78E-08,,,,
Tcfap2c,UP00087;4.78E-08,,,,
Egr2,MC00430;5.10E-08,,,,
Egr3,MS00789;5.82E-08,,,,
Klf7,UP00093;7.91E-08,,,,
PAX2,MS00118;8.34E-08,MA0067;3.07E-06,M00486;1.60E-05,,
HMGN1,MC00502;8.90E-08,,,,
NR2C2,MC00509;1.02E-07,MS00651;5.18E-03,,,
MYBL1,MS00100;1.10E-07,MS00097;1.06E-06,,,
ZNF219,M01122;1.12E-07,,,,
GLI2,MS00843;1.12E-07,,,,
TFAP2A,MS00227;1.20E-07,MC00530;8.49E-07,,,
GLIS2,MS00035;1.29E-07,,,,
Ctcf,MC00187;1.48E-07,,,,
Tfcp2,MC00518;1.87E-07,,,,
UBP1,M00644;2.11E-07,,,,
SP2,M01783;2.37E-07,,,,
PPARG::RXRA,M00518;2.38E-07,M00515;5.02E-01,,,
BCL6,MC00386;2.45E-07,M01171;1.77E-02,,,
HES1,M01009;2.50E-07,,,,
SREBF2,M01177;3.09E-07,MS00281;8.55E-03,,,
RFX3,MC00203;3.60E-07,,,,
TBX2,MS00211;3.85E-07,MS00213;1.58E-01,,,
KLF12,M00468;3.98E-07,,,,
HEY1,MS00258;4.55E-07,,,,
Trp53,MC00377;4.81E-07,,,,
ZNF306,MS00401;5.18E-07,,,,
Tcfap2b,UP00010;5.47E-07,,,,
Rfx1,MC00144;6.59E-07,,,,
MGA,MS00188;7.23E-07,MS00186;1.78E-02,,,
TFAP2C,MC00374;8.11E-07,,,,
SP8,MS00246;8.15E-07,,,,
NR1H3,M00647;9.08E-07,,,,
Zfp281,UP00021;9.52E-07,,,,
SMAD4,M00733;9.67E-07,MC00392;6.89E-03,,,
Zfx,MC00328;9.77E-07,,,,
Glis2,UP00024;1.07E-06,,,,
Ovol2,M01104;1.22E-06,,,,
AR,MC00468;1.23E-06,,,,
HEY2,MS00260;1.53E-06,,,,
KLF13,MS00124;1.54E-06,,,,
GCM2,MS00050;1.59E-06,,,,
HINFP,MA0131;1.67E-06,,,,
Max,MC00461;1.86E-06,,,,
Elf4,UP00413;1.92E-06,,,,
ESR1,MC00335;1.96E-06,,,,
NFYA,MC00364;2.00E-06,,,,
ETV3,MC00160;2.04E-06,,,,
ATF1,UP00020;2.15E-06,,,,
CREB3,MS00308;2.35E-06,,,,
GABPA,MC00367;2.35E-06,,,,
Rest,MC00125;2.40E-06,,,,
TFCP2L1,M01592;2.66E-06,,,,
TFE3,MS00288;2.66E-06,,,,
CREB3L1,MS00304;2.80E-06,,,,
Mafb,MS00333;3.11E-06,MS00335;5.35E-06,,,
MYC,MC00394;3.15E-06,,,,
ZNF589,M01109;3.22E-06,,,,
PAX1,MS00117;3.37E-06,M00326;2.36E-04,M00808;4.98E-01,,
Esr1,MC00295;3.44E-06,,,,
IRF5,MS00067;3.54E-06,,,,
MYB,UP00092;3.58E-06,,,,
PATZ1,M00491;3.79E-06,,,,
PPARG,MC00142;3.81E-06,MA0066;3.17E-02,,,
Klf12,MS00157;4.04E-06,,,,
MYBL2,MS00105;4.35E-06,MS00102;5.08E-05,MS00103;8.79E-03,,
CTCF,MC00128;4.49E-06,,,,
Elf5,MS00022;4.96E-06,,,,
Mycn,MC00532;5.02E-06,,,,
Etv6,UP00418;5.10E-06,,,,
ERG,MS00848;6.04E-06,MC00168;2.64E-05,,,
Rara,MC00252;6.08E-06,MS00698;9.50E-01,,,
Hnf4a,MC00344;6.23E-06,,,,
Mybl1,UP00081;6.66E-06,,,,
REST,MC00174;6.69E-06,,,,
E2F1::TFDP2,M00737;7.31E-06,,,,
MAZ,M00649;7.80E-06,,,,
PGR,MC00170;7.97E-06,,,,
SMAD1,M00792;8.28E-06,M01590;3.22E-01,,,
TFCP2,M00072;8.39E-06,MS00579;2.18E-03,,,
ELF4,MS00834;8.89E-06,,,,
PAX9,MS00128;8.95E-06,,,,
ZFP42,M01744;9.49E-06,,,,
GLIS1,MS00024;9.70E-06,,,,
Nr1h2,MC00448;9.84E-06,,,,
ETV5,MS00019;9.85E-06,,,,
ZNF711,MC00477;9.87E-06,,,,
MAFG,MS00327;1.02E-05,,,,
ZNF524,MS00423;1.07E-05,,,,
Zbtb3,UP00031;1.13E-05,,,,
YY2,MS00268;1.17E-05,,,,
FLI1,MS00027;1.18E-05,MC00398;5.12E-01,,,
BHLHB3,MS00248;1.22E-05,,,,
IRF6,UP00011;1.25E-05,,,,
HES5,MS00255;1.33E-05,,,,
ELK4,MC00207;1.33E-05,,,,
HES7,MS00256;1.34E-05,,,,
KLF16,MS00146;1.35E-05,,,,
GTF2IRD1,M01241;1.38E-05,M01229;3.76E-01,,,
Spdef,UP00038;1.43E-05,,,,
EHF,MS00778;1.48E-05,,,,
GLIS3,MS00046;1.66E-05,,,,
ELF2,UP00404;1.80E-05,,,,
NFE2L2,MC00339;1.84E-05,,,,
ETV6,MS00021;1.84E-05,,,,
Irf4,UP00018;1.93E-05,MC00190;3.29E-02,,,
STAT6,M00500;1.99E-05,,,,
PLAG1,MA0163;2.23E-05,,,,
ATF2,M00179;2.47E-05,,,,
NHLH1,MS00274;2.65E-05,,,,
SMAD3,UP00000;2.88E-05,MC00503;4.53E-03,MS00080;9.04E-02,,
ETS1,MC00278;2.97E-05,MS00851;6.87E-04,,,
Creb3l2,MS00311;2.99E-05,,,,
ESRRG,MS00638;3.19E-05,,,,
Pparg,MC00130;3.33E-05,,,,
Stat3,MC00140;3.39E-05,,,,
FOXO6,MS00386;3.52E-05,MS00384;4.70E-01,,,
TBX21,MS00207;3.62E-05,MS00208;2.52E-01,,,
RARG,MS00684;4.13E-05,MS00680;9.57E-02,MS00682;4.89E-01,,
Zfp128,UP00094;4.21E-05,,,,
Mxi1,MC00373;4.31E-05,,,,
NRL,MS00338;4.35E-05,,,,
GCM1,MS00048;4.38E-05,MS00047;6.98E-04,,,
CNTN2::CREB1,M00115;4.78E-05,,,,
ELF1,MC00457;4.91E-05,,,,
RREB1,MA0073;5.53E-05,,,,
Etv5,UP00412;5.93E-05,,,,
NR0B1,M01248;5.93E-05,,,,
ZBTB6,M00085;6.95E-05,,,,
LBX2,MS00533;7.53E-05,MS00535;4.61E-01,,,
NFKB2,MS00111;7.64E-05,,,,
MAFK,MS00331;8.04E-05,MS00330;6.97E-01,,,
Irf5,UP00040;8.36E-05,,,,
Myc,MC00407;8.73E-05,,,,
ATF3,MC00473;1.26E-04,,,,
ELK3,MS00844;1.29E-04,,,,
Gsc,UP00112;1.34E-04,,,,
ARNT,MC00262;1.37E-04,,,,
Nfic,MC00475;1.55E-04,,,,
NFIX,MS00115;1.60E-04,MS00822;1.96E-01,,,
IRF3,UP00086;1.65E-04,,,,
FOXO4,MS00383;1.71E-04,MS00381;4.78E-01,,,
PAX6,MS00125;1.79E-04,UP00224;1.74E-02,M00979;2.84E-02,,
Gm5454,UP00423;1.83E-04,,,,
GFI1,M01067;1.85E-04,,,,
ELF5,MS00838;1.91E-04,,,,
IRF2,MA0051;1.98E-04,,,,
NKX2-3,UP00190;2.03E-04,MS00566;2.82E-01,,,
MAX,MC00124;2.04E-04,,,,
TP63,MC00439;2.05E-04,,,,
HNF4A,UP00066;2.48E-04,MC00432;5.99E-03,,,
Homez,UP00114;2.50E-04,,,,
Klf1,MC00110;2.70E-04,,,,
RXRA,MC00467;2.76E-04,,,,
ZNF263,MC00192;3.00E-04,,,,
BHLHB2,MS00247;3.33E-04,,,,
Nkx2-9,UP00119;3.50E-04,,,,
Osr1,UP00027;3.74E-04,,,,
Foxj1,UP00041;3.95E-04,,,,
PBX3,MC00281;4.43E-04,,,,
MZF1,M01733;4.64E-04,,,,
ETV4,MS00018;4.90E-04,,,,
FOXK1,MS00371;5.23E-04,,,,
ZNF740,MS00445;5.25E-04,,,,
NFKB1,MS00110;5.37E-04,,,,
MNT,MS00267;5.61E-04,,,,
Zfp740,MS00512;5.62E-04,,,,
ZBTB12,UP00019;6.03E-04,,,,
Klf4,MC00109;6.65E-04,,,,
NR3C1,MC00465;6.83E-04,,,,
RFX4,UP00056;7.28E-04,,,,
TP53,MC00359;7.29E-04,,,,
INSM1,MA0155;8.44E-04,,,,
TFEB,MS00289;9.08E-04,,,,
SCRT2,MS00190;9.59E-04,,,,
Lhx8,UP00184;9.84E-04,MS00549;6.86E-02,MS00550;4.21E-01,MS00548;4.38E-01,
MESP1,MS00264;1.02E-03,,,,
HIF1A,MC00316;1.03E-03,,,,
FOXL1,MS00373;1.09E-03,MS00372;2.58E-02,,,
ATF6,M00483;1.10E-03,,,,
NFIL3,MS00337;1.14E-03,,,,
FOXD2,MS00356;1.16E-03,MS00355;5.38E-01,,,
Arntl,MC00362;1.16E-03,,,,
Ppara,MC00134;1.19E-03,,,,
RUNX3,MS00177;1.21E-03,,,,
Elk3,MS00023;1.21E-03,,,,
GLI3,M01596;1.35E-03,,,,
IRF4,MS00065;1.40E-03,MC00227;4.31E-03,,,
TCF4,MS00285;1.40E-03,MC00219;6.96E-01,,,
TBX5,MS00216;1.40E-03,MS00217;5.12E-01,,,
THRB,MS00710;1.41E-03,MS00711;7.46E-03,MS00713;2.24E-02,,
Rfx2,MS00171;1.50E-03,MS00170;2.86E-01,,,
Hdx,UP00148;1.66E-03,,,,
Trp63,M01656;1.66E-03,,,,
TCF3,M00222;1.72E-03,UP00058;2.62E-01,,,
Osr2,UP00052;1.72E-03,,,,
Hic1,MS00101;1.73E-03,,,,
ELK1,MC00206;1.90E-03,,,,
Zfp423,MA0116;1.90E-03,,,,
Obox2,M01364;1.91E-03,,,,
Creb1,MC00163;1.93E-03,,,,
IRF9,MS00073;1.98E-03,,,,
FOXP1,MC00501;2.02E-03,M00987;3.36E-01,,,
MLXIPL,MS00265;2.04E-03,,,,
Usf2,MC00169;2.07E-03,,,,
FEV,MS00025;2.21E-03,,,,
TP73,MC00132;2.22E-03,,,,
NEUROD1,M01288;2.26E-03,,,,
ELF3,MS00812;2.28E-03,,,,
NR2E1,MS00653;2.43E-03,MS00652;2.18E-01,,,
GRHL1,MS00556;2.47E-03,,,,
IRF8,MS00072;2.52E-03,,,,
FOXC2,MS00354;2.63E-03,MS00352;3.87E-01,,,
ZBTB16,M01075;2.65E-03,,,,
NR3C2,MS00662;2.65E-03,,,,
HSFY2,MS00062;2.66E-03,MS00061;1.07E-02,,,
NFIB,MS00114;2.68E-03,,,,
FOXF2,MA0030;2.71E-03,,,,
