,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
55393|SPI1,2.5441564646204164e-12,Homo sapiens,SPI1,predicted transcription factor,786-O,Epithelium,Kidney,0
33571|PR,1.735894324563487e-11,Homo sapiens,PR,predicted transcription factor,AB32,Epithelium,Mammary Gland,1
73970|ZNF202,8.882926099435652e-11,Homo sapiens,ZNF202,,293T,None,None,1
37635|ERG,9.232620105378392e-11,Homo sapiens,ERG,other,K562,Erythroblast,Bone Marrow,0
70810|MYC,1.1355417175640707e-10,Homo sapiens,MYC,tf,HCT-116,Colon cancer cell,Colon,1
37579|FLI1,2.800252926241132e-10,Homo sapiens,FLI1,tf,ME-1,Leukemia Cell,None,0
33569|PR,3.3308714716789603e-10,Homo sapiens,PR,predicted transcription factor,AB32,Epithelium,Mammary Gland,1
37596|TAL1,3.5562300029370447e-10,Homo sapiens,TAL1,tf,ME-1,Leukemia Cell,None,1
33459|ERG,3.67441975319871e-10,Homo sapiens,ERG,other,None,Hematopoietic Cell,None,1
45754|E2F1,5.329110130145708e-10,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
48089|AR,8.402594691210773e-10,Homo sapiens,AR,tf,HEK293,Epithelium,Embryonic Kidney,1
52092|TP53,1.0846024715400043e-09,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
37608|MYH11,1.1505389474039287e-09,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1
57090|TRIM28,2.9090140355551118e-09,Homo sapiens,TRIM28,cr,HCT-116,None,Colon,1
49036|ERCC6,3.840441296517163e-09,Homo sapiens,ERCC6,predicted chromatin regulator,None,Fibroblast,Skin,1
37587|GATA2,4.065929052477676e-09,Homo sapiens,GATA2,tf,ME-1,Leukemia Cell,None,0
45750|E2F1,5.193398104964443e-09,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1
6568|FOXA1,8.28694586019508e-09,Homo sapiens,FOXA1,tf,MCF-7,Epithelium,Breast,1
35046|ESR1,8.430612125987791e-09,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
65147|EGR2,8.914429154344278e-09,Homo sapiens,EGR2,tf,HEK293,Epithelium,Embryonic Kidney,1
49467|598-SKD,1.1969294651369318e-08,Homo sapiens,598-SKD,other,MCF-7,Epithelium,Breast,1
69365|FOXA1,1.5433235024017092e-08,Homo sapiens,FOXA1,tf,LNCaP,Epithelium,Prostate,1
33127|ESR1,1.6234348425766835e-08,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
68970|ESR1,1.7147733163913372e-08,Homo sapiens,ESR1,tf,T47D,None,Breast,1
33135|ESR1,1.7809072083192427e-08,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
73696|LEO1,1.8966652398076016e-08,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1
65125|PRDM6,1.9046366219859533e-08,Homo sapiens,PRDM6,,HEK293,Epithelium,Embryonic Kidney,1
65146|ZBTB14,2.357217870783146e-08,Homo sapiens,ZBTB14,,HEK293,Epithelium,Embryonic Kidney,1
71242|CEBPB,2.8300675528233984e-08,Homo sapiens,CEBPB,tf,None,Osteoblast,None,1
37588|SPI1,2.9375284085419075e-08,Homo sapiens,SPI1,predicted transcription factor,ME-1,Leukemia Cell,None,0
48085|AR,3.3387838258181766e-08,Homo sapiens,AR,tf,HEK293,Epithelium,Embryonic Kidney,1
70815|SP1,3.595622182919937e-08,Homo sapiens,SP1,predicted chromatin regulator,HCT-116,Colon cancer cell,Colon,1
41831|ZBTB17,3.70058640198218e-08,Homo sapiens,ZBTB17,tf,MDA-MD-231,Epithelium,Mammary Gland,1
37584|TBP,4.486244511991196e-08,Homo sapiens,TBP,tf,ME-1,Leukemia Cell,None,1
71166|AR,4.907334270022678e-08,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1
73186|FOXA1,6.895823363534013e-08,Homo sapiens,FOXA1,tf,MCF-7,asynchonous cells,Breast,1
53981|PR,8.130310008571203e-08,Homo sapiens,PR,predicted transcription factor,T47D,Epithelium,Mammary Gland,1
76964|CNOT3,9.202946364345645e-08,Homo sapiens,CNOT3,tf,HCT-116,Colorectal cancer cell line,None,1
71243|CEBPB,1.0453234259873737e-07,Homo sapiens,CEBPB,tf,None,Osteoblast,None,1
49464|552-SKD,1.330634244463601e-07,Homo sapiens,552-SKD,other,MCF-7,Epithelium,Breast,1
51591|SRF,1.3411597930059604e-07,Homo sapiens,SRF,tf,HUES64,Embryonic Stem Cell,Embryo,1
67516|GATA3,1.4797070134207465e-07,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1
75284|ZBTB48,1.7238248912774918e-07,Homo sapiens,ZBTB48,,HeLa,None,None,1
71136|BRD4,1.7578025037541772e-07,Homo sapiens,BRD4,cr,MCF-10A,Epithelium,None,1
75561|BRD4,1.9451694641892453e-07,Homo sapiens,BRD4,cr,None,None,Retina,1
6571|FOXA1,1.9756542050234292e-07,Homo sapiens,FOXA1,tf,MCF-7,Epithelium,Breast,1
74688|GRHL3,2.0065997056870445e-07,Homo sapiens,GRHL3,predicted transcription factor,NHEK,Keratinocyte,Skin,1
77103|ZNF519,2.29807756351141e-07,Homo sapiens,ZNF519,tf,293T,None,None,1
54126|CEBPB,2.388595766537015e-07,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1
52091|TP53,2.397834428949865e-07,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
63003|CEBPB,2.5602660445410893e-07,Homo sapiens,CEBPB,tf,A549,Epithelium,Lung,1
57091|LARP7,2.6812585219489333e-07,Homo sapiens,LARP7,predicted transcription factor,HCT-116,None,Colon,1
46052|NR3C1,2.743803957681035e-07,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,0
2401|TFAP2A,2.884181212544701e-07,Homo sapiens,TFAP2A,predicted transcription factor,MCF-7,Epithelium,Breast,1
63825|GLIS2,3.185994323168696e-07,Homo sapiens,GLIS2,tf,HEK293,Epithelium,Embryonic Kidney,1
48088|AR,3.3866183023152953e-07,Homo sapiens,AR,tf,HEK293,Epithelium,Embryonic Kidney,1
53984|PR,3.4914419808910024e-07,Homo sapiens,PR,predicted transcription factor,T47D,Epithelium,Mammary Gland,1
64946|BHLHE40,3.6824509978153325e-07,Homo sapiens,BHLHE40,predicted transcription factor,IMR90,Fibroblast,Lung,1
47327|FOXA1,3.987960171830084e-07,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1
65115|MAZ,4.3670233015720145e-07,Homo sapiens,MAZ,tf,HEK293,Epithelium,Embryonic Kidney,1
53983|PR,5.096209554244406e-07,Homo sapiens,PR,predicted transcription factor,T47D,Epithelium,Mammary Gland,1
63826|GLIS2,5.271285298113648e-07,Homo sapiens,GLIS2,tf,HEK293,Epithelium,Embryonic Kidney,1
53982|PR,5.47260227379878e-07,Homo sapiens,PR,predicted transcription factor,T47D,Epithelium,Mammary Gland,1
75560|BRD4,6.546451082269069e-07,Homo sapiens,BRD4,cr,None,None,Retina,1
71170|AR,6.595331479895069e-07,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1
71138|BRD4,7.051340107646386e-07,Homo sapiens,BRD4,cr,MCF-10A,Epithelium,None,1
77299|TRIM25,7.156716337177651e-07,Homo sapiens,TRIM25,,BT-549,None,Breast,1
53979|PR,7.20997068599677e-07,Homo sapiens,PR,predicted transcription factor,T47D,Epithelium,Mammary Gland,1
64101|BCL3,7.593564532385773e-07,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1
51450|FOXA1,7.879493738867523e-07,Homo sapiens,FOXA1,tf,HUES64,Embryonic Stem Cell,Embryo,1
33150|GATA3,7.967271797201938e-07,Homo sapiens,GATA3,tf,MCF-7,Epithelium,Breast,1
62535|BCL3,7.996739474323246e-07,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1
70805|MYC,8.026311904333709e-07,Homo sapiens,MYC,tf,HCT-116,Colon cancer cell,Colon,0
67748|GATA2,8.576940028488922e-07,Homo sapiens,GATA2,tf,LNCaP,Epithelium,Prostate,1
49977|BRD4,8.640315591375213e-07,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1
49466|598-SKD,8.672171900477059e-07,Homo sapiens,598-SKD,other,MCF-7,Epithelium,Breast,1
