Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
CEBPB,54126;2.44E-16,54127;2.17E-14,45861;2.21E-12,5458;3.82E-11,54125;1.48E-10
TP53,52092;2.07E-14,52091;5.14E-14,52090;3.21E-07,69456;2.04E-05,41496;1.18E-03
ZNF202,73970;7.01E-14,62487;7.87E-02,62488;2.14E-01,,
BCL3,62934;1.29E-13,62535;2.56E-12,63664;1.40E-11,64102;1.56E-11,63002;1.68E-11
E2F1,45754;1.36E-13,45750;3.97E-13,2280;8.98E-12,2278;7.23E-11,2279;1.01E-09
POLR2B,36356;1.44E-13,9216;1.14E-07,,,
MED1,53593;1.74E-13,53594;3.87E-12,49484;1.52E-11,53592;4.46E-08,33198;7.90E-08
CDK9,53347;4.86E-13,53346;6.96E-11,43081;1.52E-09,40227;1.34E-06,74304;1.79E-06
BRD4,71136;6.19E-13,71137;1.94E-11,71138;2.83E-10,68711;1.29E-09,75561;2.52E-09
NR3C1,46052;7.02E-13,41737;3.13E-08,68223;4.02E-07,46079;4.12E-07,74155;2.82E-05
SPI1,55393;7.54E-13,37588;2.07E-10,55392;5.94E-10,55397;4.06E-09,34929;4.27E-08
LEO1,73696;8.29E-13,55661;1.48E-01,,,
AR,48085;1.16E-12,48089;1.61E-12,48086;5.96E-11,48088;1.71E-10,71166;4.16E-09
ZBTB14,65146;1.34E-12,,,,
TAF1,46221;1.69E-12,46345;2.14E-08,46106;5.38E-07,46258;7.23E-07,46196;4.69E-06
FOXA1,69365;2.60E-12,71215;9.06E-12,71214;1.58E-11,33137;2.68E-11,47327;2.89E-11
TBP,37584;5.89E-12,45781;9.25E-08,45791;1.22E-06,45684;3.49E-05,45881;5.43E-05
FLI1,37579;6.68E-12,37057;2.58E-08,37056;3.44E-08,35309;1.08E-07,5443;1.55E-07
MYC,70810;7.03E-12,70805;1.08E-08,70808;1.23E-08,33174;3.03E-08,46008;3.10E-08
PR,33571;7.87E-12,33569;2.98E-10,53983;7.75E-08,53984;1.02E-07,53980;1.29E-07
ERCC6,49036;1.48E-11,49033;2.03E-02,44357;7.54E-02,49027;1.65E-01,49030;1.91E-01
ZBTB17,41831;2.48E-11,54514;3.78E-05,47489;6.10E-02,49279;6.54E-02,47490;8.77E-02
JMJD6,74838;2.70E-11,74836;8.53E-04,43063;2.47E-01,74843;2.68E-01,43089;4.39E-01
TAL1,37596;5.64E-11,44433;6.71E-09,44435;1.03E-08,72356;2.44E-07,50382;4.93E-06
FOXO1,54243;6.20E-11,75851;7.54E-03,75852;1.04E-01,58301;2.23E-01,75853;2.34E-01
EGR2,65147;7.15E-11,65179;2.18E-07,34567;3.65E-04,64860;2.33E-03,64861;2.75E-03
ERG,37635;7.82E-11,33459;1.43E-10,37639;4.83E-09,33458;1.72E-07,53296;1.22E-06
PRDM6,65125;1.06E-10,,,,
AFF1,73714;1.12E-10,73713;5.39E-08,73712;2.10E-06,72089;3.34E-05,73709;5.86E-03
GTF2B,56961;1.13E-10,56978;7.62E-09,56982;4.60E-06,36362;6.40E-05,56962;1.18E-04
GATA2,37587;1.37E-10,67748;3.48E-09,54397;3.71E-08,46032;1.44E-07,1743;2.22E-07
FOS,1740;1.99E-10,46004;3.92E-10,45999;6.95E-09,46005;1.54E-08,45853;2.27E-08
