,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
70568|MYC,3.861653247868606e-20,Homo sapiens,MYC,tf,U2OS,None,Bone,1
67456|E2F1,9.112516038761789e-20,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
45752|E2F4,1.0339474875819418e-18,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1
70962|E2F1,1.0707354320455331e-18,Homo sapiens,E2F1,tf,Raji,B Lymphocyte,Blood,1
71935|MYC,1.0552745742219133e-17,Homo sapiens,MYC,tf,U2OS,None,Bone,1
32791|MYC,5.310305336361931e-17,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
1312|PHF8,7.752433379735702e-17,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0
71936|MYC,1.0428601206781768e-16,Homo sapiens,MYC,tf,U2OS,None,Bone,1
70809|MYC,1.6044550012999407e-16,Homo sapiens,MYC,tf,HCT-116,Colon cancer cell,Colon,1
5969|MYC,2.1417478286658903e-16,Homo sapiens,MYC,tf,Ramos,B Lymphocyte,None,1
71934|MYC,3.5978739359201226e-16,Homo sapiens,MYC,tf,U2OS,None,Bone,1
67458|E2F1,4.266710647062627e-16,Homo sapiens,E2F1,tf,None,Mesenchymal Stem Cell,Umbilical Cord,1
8117|MYC,4.613733384513382e-16,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1
52359|MYC,5.938156505233903e-16,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
8105|MYC,5.938156505233903e-16,Homo sapiens,MYC,tf,HepG2,Epithelium,Liver,1
5966|MYC,6.477651710180617e-16,Homo sapiens,MYC,tf,CA46,B Lymphocyte,None,0
48779|MYC,9.89837880212117e-16,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
8107|MYC,1.1815087260872057e-15,Homo sapiens,MYC,tf,HepG2,Epithelium,Liver,1
70964|MYC,1.396936031136994e-15,Homo sapiens,MYC,tf,Raji,B Lymphocyte,Blood,1
43083|CDK9,1.515291115278859e-15,Homo sapiens,CDK9,tf,HEK293T,Epithelium,Embryonic Kidney,1
5967|MYC,1.8728879715069065e-15,Homo sapiens,MYC,tf,None,B Lymphocyte,Blood,0
