Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
E2F1,67456;4.98E-35,70962;8.55E-33,67458;1.48E-31,2282;4.32E-30,67454;1.43E-29
E2F4,45752;7.22E-31,3225;1.80E-27,45617;1.21E-22,36807;1.93E-22,45951;1.29E-20
RBL2,1874;5.84E-30,1878;1.44E-23,1880;1.11E-18,1879;8.54E-13,1876;5.59E-10
MYC,45628;1.43E-28,45857;1.71E-28,8112;1.71E-28,71934;3.36E-26,70568;8.07E-26
WDR5,49852;1.36E-27,49877;6.75E-25,52436;1.30E-20,58506;3.35E-17,52432;9.51E-17
TAF1,46077;1.44E-27,46221;1.85E-23,46345;1.06E-22,46106;5.12E-22,46162;1.73E-21
NELFA,55465;6.28E-27,55466;6.51E-22,55468;5.04E-19,55467;3.61E-17,43451;6.21E-17
NFATC1,38654;7.94E-27,38742;4.97E-19,46110;3.70E-03,38701;8.71E-03,
PHF8,1312;9.39E-27,2684;4.01E-25,1314;4.31E-25,93;2.27E-24,1628;2.33E-19
BRD4,43066;1.62E-26,67829;1.57E-24,49977;3.77E-22,56357;7.93E-22,74207;1.99E-21
TFDP1,77535;2.21E-26,62550;1.20E-20,62551;1.31E-18,77534;1.72E-18,38731;1.94E-17
GTF2B,56961;7.93E-26,56978;1.34E-23,36362;4.93E-21,56982;7.97E-21,56958;1.68E-17
CDK9,43081;1.75E-25,43083;9.51E-25,33888;1.16E-20,53346;5.11E-20,53347;1.02E-17
CDK6,43305;5.29E-24,,,,
BCL3,63885;1.55E-23,64802;1.85E-21,62933;1.05E-20,63884;1.22E-20,62533;2.66E-20
NELFE,69816;1.86E-23,69814;6.28E-23,69813;6.58E-22,69809;1.22E-21,69815;1.14E-20
AFF4,69872;1.96E-23,69873;1.41E-20,48994;3.43E-17,48999;5.00E-16,48995;3.44E-15
XRN2,36234;2.19E-23,58845;1.07E-21,36228;2.10E-20,58844;4.38E-20,58841;6.64E-19
TP53,52091;2.44E-23,52092;4.80E-22,52090;7.94E-13,75042;1.20E-11,69456;1.25E-11
XBP1,43400;2.85E-23,42895;1.05E-22,43401;7.54E-08,43398;2.62E-05,43399;1.43E-03
KDM1A,75942;3.55E-23,53469;4.81E-16,53468;8.96E-16,53467;6.05E-12,53470;1.84E-07
BRD2,74209;5.33E-23,74202;1.60E-22,43045;7.17E-18,43046;1.48E-16,35878;1.37E-14
PARP1,72405;1.16E-22,72406;1.40E-22,72407;3.25E-20,72408;2.78E-19,43680;7.75E-03
MXI1,45866;1.51E-22,45774;2.51E-17,45633;5.81E-17,45879;2.93E-14,45810;9.94E-14
DCP1A,36226;2.01E-22,36231;3.35E-16,,,
MAX,45849;2.63E-22,45797;5.70E-22,33191;3.01E-20,45553;3.62E-20,32814;1.03E-18
GABPA,46136;4.32E-22,46237;2.46E-20,46080;1.13E-16,47412;1.59E-16,46344;1.99E-16
TTF2,36230;5.03E-22,36238;7.56E-03,36232;2.31E-02,,
SPI1,50894;7.02E-22,50877;2.57E-21,50878;1.68E-20,50876;2.55E-20,50879;1.38E-16
CHD8,51103;1.54E-21,49778;1.23E-17,53396;7.24E-13,51104;9.60E-05,53397;1.13E-02
T,55895;1.76E-21,69884;7.02E-16,73453;1.15E-10,73454;1.19E-09,32815;4.05E-07
RELA,42744;2.07E-21,69874;1.52E-18,36321;1.15E-16,36320;6.05E-16,50892;1.16E-15
KMT2D,56478;2.51E-21,68632;3.82E-19,68635;7.86E-17,55405;8.28E-17,68638;1.01E-15
RPE,49481;3.23E-21,,,,
HDAC1,8658;3.76E-21,45428;1.87E-19,8657;4.67E-19,8775;6.87E-19,68822;1.05E-17
RB1,49416;6.34E-21,49417;1.29E-20,1870;3.66E-20,1872;2.71E-13,36028;8.43E-10
POLR2B,36356;7.39E-21,9216;1.15E-19,,,
NPAT,42775;1.06E-20,70855;5.77E-03,70858;7.78E-03,38645;8.63E-03,
RBBP5,45232;1.82E-20,8819;1.27E-19,45421;3.14E-17,8795;4.03E-16,8794;8.62E-14
STAT1,41290;1.88E-20,41291;2.85E-14,41288;4.40E-14,41286;5.98E-14,41287;1.49E-10
KDM4C,43684;2.01E-20,58138;6.64E-03,58137;6.65E-03,43685;7.34E-03,
MED1,69868;3.48E-20,53593;3.66E-19,69869;8.47E-18,43110;6.41E-17,58341;6.72E-17
SETD1A,59170;3.62E-20,76519;2.94E-18,,,
AFF1,73713;4.05E-20,73714;3.83E-08,72089;2.76E-07,73709;2.15E-04,34966;3.37E-04
PAF1,55666;4.12E-20,55665;4.33E-15,55664;1.31E-13,55669;1.68E-12,55667;5.05E-11
FOXP1,51750;4.12E-20,1012;8.55E-15,42760;2.45E-14,1013;8.58E-07,59439;1.06E-04
E2F6,46071;4.27E-20,45776;9.09E-19,45898;3.66E-15,1978;1.45E-14,46177;1.82E-10
