,coefficients,cell_line,cell_type,tissue
63927,-0.4629426493616051,A549,Epithelium,
63925,0.3751390173508742,A549,Epithelium,
41104,0.35690852402002887,,Fibroblast,Periodontal Ligament
64049,0.3381789212053064,HAP-1,,
44999,-0.28035847587401364,,Fibroblast,Periodontal Ligament
64337,0.2267245486323775,K562,Erythroblast,
44911,0.11081615551187725,CMK,Megakaryocyte,Blood
44976,0.07919237426729545,,Epithelium,Mammary Gland
63562,0.039764066168899596,RKO,Epithelium,
44971,0.018244558101327316,HL-60,Myeloblast,Blood
