Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
PAX3,M00327;3.99E-16,MS00119;8.40E-01,,,
Tbx3,MC00221;1.89E-15,,,,
E2F1,MC00182;2.78E-15,MS00815;3.83E-15,,,
E2f4,MC00158;3.66E-15,,,,
E2F2,UP00001;4.44E-15,MS00712;1.51E-04,,,
ETV1,MC00427;7.22E-15,,,,
E2F4,MC00523;7.49E-15,,,,
EGR4,MS00678;1.16E-14,,,,
E2F1::TFDP1,M00736;1.52E-14,,,,
E2F3,UP00003;2.17E-14,MS00734;2.72E-03,,,
SP4,MS00235;2.26E-14,,,,
PAX4,M00373;2.27E-14,M00378;1.24E-09,MS00121;8.94E-01,,
Mycn,MC00532;3.01E-14,,,,
E2F1::TFDP2,M00737;5.17E-14,,,,
ZBTB7A,MC00376;6.82E-14,MS00301;9.55E-14,M01100;9.33E-10,,
BRCA1,MC00299;7.63E-14,,,,
EGR3,MS00567;8.64E-14,,,,
Zfp161,UP00065;9.14E-14,,,,
Mxi1,MC00373;1.14E-13,,,,
PLAGL1,UP00088;1.29E-13,,,,
TFAP2A,MS00227;2.91E-13,MC00530;1.66E-08,,,
EGR2,MC00319;3.33E-13,,,,
MYC,MC00394;4.47E-13,,,,
E2f3,MC00510;5.67E-13,,,,
Gmeb1,UP00084;6.15E-13,,,,
FOXN1,M00332;6.33E-13,,,,
Egr3,MS00789;6.57E-13,,,,
Zscan10,M01742;6.62E-13,,,,
ZBTB33,MC00418;7.85E-13,M01119;1.76E-04,,,
TEAD2,M00695;8.52E-13,,,,
SREBF2,M01177;8.60E-13,MS00281;3.60E-02,,,
E2F6,MC00254;1.19E-12,M01252;1.80E-03,,,
XBP1,UP00330;1.21E-12,MS00342;2.84E-05,,,
WT1,M01118;1.25E-12,,,,
Tcfap2a,MS00240;1.26E-12,MS00241;1.43E-10,MS00239;1.29E-08,,
PAX5,MC00332;1.60E-12,MA0014;7.17E-12,M00143;8.18E-11,,
DEAF1,M01002;1.83E-12,,,,
CTCF,MC00128;2.50E-12,,,,
HINFP1,MS00090;2.71E-12,MS00079;3.68E-12,,,
ZIC3,MS00346;2.91E-12,,,,
SMAD1,M00792;2.99E-12,M01590;9.84E-01,,,
HES1,M01009;3.43E-12,,,,
Ctcf,MC00187;3.50E-12,,,,
ZIC2,UP00057;4.01E-12,M00449;1.75E-06,,,
KLF14,MS00135;6.91E-12,,,,
