,0,TF
MS00246|SP8,2.679202603100084e-14,SP8
MS00268|YY2,3.794826720810779e-14,YY2
M01243|MTF1,4.516982133353704e-14,MTF1
MC00224|EPAS1,4.812947187252432e-14,EPAS1
MS00024|GLIS1,6.137679414193594e-14,GLIS1
MS00727|ZBTB49,9.460749878286822e-14,ZBTB49
MS00844|ELK3,9.695900280533936e-14,ELK3
MS00102|MYBL2,1.0222302623407631e-13,MYBL2
MC00278|ETS1,1.0246993333557553e-13,ETS1
M01592|TFCP2L1,1.0872466600548096e-13,TFCP2L1
MS00048|GCM1,1.2314778349717832e-13,GCM1
M00665|SP3,1.353080551465134e-13,SP3
MS00534|CENPB,1.458204517302225e-13,CENPB
MC00502|HMGN1,1.8879015090661336e-13,HMGN1
MC00174|REST,2.1134798626224544e-13,REST
UP00038|Spdef,2.2460885653758747e-13,Spdef
MS00157|Klf12,2.9204283039688685e-13,Klf12
MS00423|ZNF524,3.634660438035676e-13,ZNF524
MC00386|BCL6,3.6804122465419207e-13,BCL6
MS00253|CLOCK,3.949466135580853e-13,CLOCK
MS00290|ZBED1,4.4844100780795286e-13,ZBED1
MC00203|RFX3,4.524143482047701e-13,RFX3
MS00018|ETV4,4.5417257736155874e-13,ETV4
M00647|NR1H3,4.698048988193862e-13,NR1H3
MC00439|TP63,4.818208857403435e-13,TP63
MS00252|Bhlhb2,4.933433165353076e-13,Bhlhb2
UP00081|Mybl1,5.551908427555431e-13,Mybl1
MS00124|KLF13,6.052968656763553e-13,KLF13
MC00140|Stat3,6.565993692826534e-13,Stat3
UP00021|Zfp281,1.0770794676104664e-12,Zfp281
UP00093|Klf7,1.0930153515035042e-12,Klf7
UP00413|Elf4,1.1842293407525232e-12,Elf4
MS00019|ETV5,1.2272490039493957e-12,ETV5
MS00256|HES7,1.4630188515284586e-12,HES7
MS00255|HES5,1.674525340659537e-12,HES5
MC00457|ELF1,2.0084541508743892e-12,ELF1
MS00023|Elk3,2.152505882609551e-12,Elk3
UP00031|Zbtb3,2.3806994286187805e-12,Zbtb3
MA0145|Tcfcp2l1,2.5895652631196345e-12,Tcfcp2l1
MS00834|ELF4,2.6438616735301216e-12,ELF4
UP00418|Etv6,2.8494922113511215e-12,Etv6
UP00066|HNF4A,4.845016701684924e-12,HNF4A
MC00252|Rara,6.053331985470522e-12,Rara
MC00113|SP1,7.48611353312644e-12,SP1
MS00117|PAX1,7.660785375339541e-12,PAX1
MC00372|Yy1,1.464200482305639e-11,Yy1
MS00401|ZNF306,1.6195048935533826e-11,ZNF306
MC00109|Klf4,2.4025038528251674e-11,Klf4
M00518|PPARG::RXRA,2.4696362799293555e-11,PPARG::RXRA
MS00512|Zfp740,2.5228206324903838e-11,Zfp740
UP00000|SMAD3,2.843586611607091e-11,SMAD3
UP00052|Osr2,2.95028016929765e-11,Osr2
MS00021|ETV6,3.421359354240833e-11,ETV6
MC00132|TP73,3.5361385656651525e-11,TP73
UP00011|IRF6,4.175522805980946e-11,IRF6
M00644|UBP1,4.1960464504719424e-11,UBP1
UP00040|Irf5,5.615144677363711e-11,Irf5
M00085|ZBTB6,5.811959730170666e-11,ZBTB6
MS00171|Rfx2,6.030244028344148e-11,Rfx2
MS00304|CREB3L1,7.475104757324104e-11,CREB3L1
M01207|ETS2,8.278469017747789e-11,ETS2
UP00018|Irf4,8.923362635893428e-11,Irf4
MC00183|Snai1,9.544313506221502e-11,Snai1
MS00146|KLF16,1.0150733191485679e-10,KLF16
MC00475|Nfic,1.0159673689612084e-10,Nfic
MS00383|FOXO4,1.23034917634819e-10,FOXO4
M00694|E4F1,1.2861636374747092e-10,E4F1
UP00092|MYB,1.3670498207162497e-10,MYB
MC00385|Ets1,1.5216552651853338e-10,Ets1
MC00334|SIX5,1.8312000177504257e-10,SIX5
MS00025|FEV,2.3280833359866174e-10,FEV
UP00056|RFX4,2.6723035247905334e-10,RFX4
MC00142|PPARG,3.1646363895672765e-10,PPARG
MS00274|NHLH1,4.0524618935994016e-10,NHLH1
MA0155|INSM1,5.541494128356049e-10,INSM1
MS00533|LBX2,6.067114048757339e-10,LBX2
MS00265|MLXIPL,6.843540653570383e-10,MLXIPL
M00733|SMAD4,6.937174057936701e-10,SMAD4
MS00100|MYBL1,7.576105106351178e-10,MYBL1
MS00067|IRF5,8.145547342518459e-10,IRF5
M01109|ZNF589,8.326486415892672e-10,ZNF589
UP00086|IRF3,1.0881540015184842e-09,IRF3
MC00364|NFYA,1.3333701107327947e-09,NFYA
MA0073|RREB1,1.4453804585317832e-09,RREB1
MS00111|NFKB2,2.1508094613453456e-09,NFKB2
MC00110|Klf1,2.710384522371355e-09,Klf1
MS00022|Elf5,3.5548533034531165e-09,Elf5
MS00050|GCM2,4.607438600242696e-09,GCM2
UP00095|Zfp691,6.957524763172779e-09,Zfp691
