,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
49730|ASCL1,0.00024552892839889087,Homo sapiens,ASCL1,tf,HCC4018,Epithelium,Lung,1
63171|FOSL2,0.0002471447040229693,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
65060|ZNF329,0.0002476854955054336,Homo sapiens,ZNF329,,HEK293,Epithelium,Embryonic Kidney,1
51868|SUMO2,0.0002476854955054336,Homo sapiens,SUMO2,other,VCaP,Epithelium,Prostate,1
48453|ESR1,0.000248227390224451,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,0
64671|CEBPB,0.00024877039024479285,Homo sapiens,CEBPB,tf,A549,Epithelium,Lung,1
58068|KDM2B,0.00025095348475581984,Homo sapiens,KDM2B,cr,None,Myeloid Cell,None,0
37108|HSF1,0.000251502042375413,Homo sapiens,HSF1,tf,MCF-10A,Epithelium,Breast,1
63354|CEBPZ,0.000251502042375413,Homo sapiens,CEBPZ,tf,GM12878,B Lymphocyte,Blood,1
63387|CHD1,0.00025205171775766384,Homo sapiens,CHD1,predicted chromatin regulator,MCF-7,Epithelium,Breast,1
65177|ZNF22,0.00025205171775766384,Homo sapiens,ZNF22,,HEK293,Epithelium,Embryonic Kidney,1
55300|JUN,0.00025315443016983905,Homo sapiens,JUN,tf,MDA-MB-231,Epithelium,Breast,1
50403|CREBBP,0.000254816934347834,Homo sapiens,CREBBP,cr,hMADS-3,Adipocyte,Adipose,0
64977|WT1,0.0002553733602984116,Homo sapiens,WT1,tf,HEK293,Epithelium,Embryonic Kidney,1
65124|MYNN,0.0002570494413647362,Homo sapiens,MYNN,tf,HEK293,Epithelium,Embryonic Kidney,1
54126|CEBPB,0.0002570494413647362,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1
48250|WDR5,0.0002576104098487142,Homo sapiens,WDR5,cr,LNCaP,Epithelium,Prostate,1
45917|NR2C2,0.0002576104098487142,Homo sapiens,NR2C2,tf,K562,Erythroblast,Bone Marrow,1
65133|PRDM1,0.0002581725192676199,Homo sapiens,PRDM1,tf,HEK293,Epithelium,Embryonic Kidney,1
56951|NR3C1,0.0002615692548140713,Homo sapiens,NR3C1,tf,RS4,B Lymphocyte,None,1
64351|SP1,0.0002621394105518595,Homo sapiens,SP1,predicted chromatin regulator,MCF-7,Epithelium,Breast,1
45635|KAT2B,0.0002621394105518595,Homo sapiens,KAT2B,predicted chromatin regulator,GM12878,B Lymphocyte,Blood,1
33611|FAIRE,0.0002621394105518595,Homo sapiens,FAIRE,other,None,Endothelial Cell,Umbilical Vein,1
1195|TRIM28,0.00026271072434567294,Homo sapiens,TRIM28,cr,HEK293,Epithelium,Embryonic Kidney,1
64332|NR3C1,0.00026271072434567294,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,1
74148|GATA3,0.00026385683472971154,Homo sapiens,GATA3,tf,MCF-7,None,Breast,1
71037|EHMT2,0.0002650076032587241,Homo sapiens,EHMT2,cr,None,Cancer stem cell,Colon,1
38589|E2F7,0.00026558473974723143,Homo sapiens,E2F7,tf,IMR90,Fibroblast,Lung,1
50979|GATA6,0.00026558473974723143,Homo sapiens,GATA6,tf,PaTu8988S,None,Pancreatic ductal,0
68781|TOP1,0.0002661630472827467,Homo sapiens,TOP1,not sure,HCT-116,Colon cancer cell,Colon,1
39652|SRC,0.0002661630472827467,Homo sapiens,SRC,not sure,LS180,Epithelium,Colon,1
36348|CHD1,0.000266742528043036,Homo sapiens,CHD1,predicted chromatin regulator,A549,Epithelium,Lung,1
50365|SPI1,0.00026732318420947886,Homo sapiens,SPI1,predicted transcription factor,None,Monocyte,None,1
47738|LANA,0.0002679050179670736,Homo sapiens,LANA,other,TIVE-LTC,T Lymphocyte,Blood,1
65208|ZNF680,0.0002708319273512685,Homo sapiens,ZNF680,,HEK293,Epithelium,Embryonic Kidney,1
74641|SMAD4,0.0002708319273512685,Homo sapiens,SMAD4,predicted transcription factor,HepG2,Epithelium,Liver,1
48334|SNAI2,0.0002720110111247682,Homo sapiens,SNAI2,tf,None,Keratinocyte,None,0
65185|ZNF816,0.0002726023447075152,Homo sapiens,ZNF816,,HEK293,Epithelium,Embryonic Kidney,1
8796|REST,0.0002731948757101062,Homo sapiens,REST,tf,K562,Erythroblast,Bone Marrow,1
45385|REST,0.0002731948757101062,Homo sapiens,REST,tf,K562,Erythroblast,Bone Marrow,1
62771|CDC5L,0.00027378860635401264,Homo sapiens,CDC5L,not sure,K562,Erythroblast,Bone Marrow,1
64790|FOSL2,0.00027378860635401264,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
