,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
49480|E2F4,2.8400061199700273e-19,Homo sapiens,E2F4,tf,None,Retinal pigment cell,None,1,E2F4
44332|E2F1,3.359904812002487e-16,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1,E2F1
62550|TFDP1,2.3875440619132537e-15,Homo sapiens,TFDP1,tf,K562,Erythroblast,Bone Marrow,1,TFDP1
1874|RBL2,3.591656929043248e-15,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
43684|KDM4C,5.234450930838675e-14,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
8657|HDAC1,1.017316140784024e-13,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1,HDAC1
45234|SAP30,1.442108031960337e-13,Homo sapiens,SAP30,not sure,H1,Embryonic Stem Cell,Embryo,1,SAP30
71069|MBD3,3.191499291421194e-13,Homo sapiens,MBD3,cr,HeLa,Epithelium,Cervix,1,MBD3
73719|BRD4,5.041740584309644e-12,Homo sapiens,BRD4,cr,SEM,B Lymphocyte,None,1,BRD4
70093|TET2,5.580353397605767e-12,Homo sapiens,TET2,cr,293T,None,None,1,TET2
73696|LEO1,6.326971064180227e-12,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1,LEO1
73716|KMT2A,6.668425610486684e-12,Homo sapiens,KMT2A,not sure,SEM,B Lymphocyte,None,1,KMT2A
73714|AFF1,7.027909117288877e-12,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
72913|HDAC2,1.4745467146589644e-11,Homo sapiens,HDAC2,cr,None,Cardiomyocyte,None,1,HDAC2
41574|BRD1,1.571297359298732e-11,Homo sapiens,BRD1,cr,RKO,Epithelium,Colon,1,BRD1
8482|KAT7,3.5066142043211363e-11,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1,KAT7
41572|ING2,4.568265119168628e-11,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
8458|GATA1,1.266500685315331e-10,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1,GATA1
75282|ZBTB48,1.7921644699504392e-10,Homo sapiens,ZBTB48,,HeLa,None,None,1,ZBTB48
35517|BCL6,3.830991088388742e-10,Homo sapiens,BCL6,predicted transcription factor,OCI-Ly1,B cell lymphoma,Bone Marrow,1,BCL6
2684|PHF8,5.612880388385129e-10,Homo sapiens,PHF8,cr,SH-SY5Y,None,Bone Marrow,1,PHF8
62610|H2AFZ,8.465154315887123e-10,Homo sapiens,H2AFZ,,MCF-7,Epithelium,Breast,1,H2AFZ
49417|RB1,1.3901144025639607e-09,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1,RB1
70755|MYC,1.6730351952398733e-09,Homo sapiens,MYC,tf,LNCaP,None,LNCaP cells,1,MYC
51103|CHD8,6.455957595429052e-09,Homo sapiens,CHD8,cr,None,Neural Stem Cell,None,1,CHD8
53347|CDK9,1.8247604070195048e-08,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
1345|SMARCB1,2.590192976230383e-08,Homo sapiens,SMARCB1,cr,HeLa,Epithelium,Cervix,1,SMARCB1
58506|WDR5,2.8209682562586238e-08,Homo sapiens,WDR5,cr,BE2-C,Neuroblast,Brain,1,WDR5
48576|KDM6B,4.46385706725187e-08,Homo sapiens,KDM6B,cr,CUTLL1,T Lymphocyte,Blood,1,KDM6B
8816|KDM4A,5.0296376047018895e-08,Homo sapiens,KDM4A,cr,H1,Embryonic Stem Cell,Embryo,1,KDM4A
51750|FOXP1,5.1442192443864356e-08,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
8807|CHD1,6.356375170150836e-08,Homo sapiens,CHD1,predicted chromatin regulator,H1,Embryonic Stem Cell,Embryo,1,CHD1
76496|BRPF3,8.48938347348814e-08,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1,BRPF3
59170|SETD1A,9.15840910452689e-08,Homo sapiens,SETD1A,predicted chromatin regulator,SEM,Pre-B Lymphocyte,None,1,SETD1A
40166|TCF7L1,9.571917945697352e-08,Homo sapiens,TCF7L1,tf,Kasumi-1,Myeloblast,Blood,1,TCF7L1
46295|ZBTB7A,1.123637423045682e-07,Homo sapiens,ZBTB7A,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZBTB7A
46335|SIN3A,1.710507442329438e-07,Homo sapiens,SIN3A,tf,PFSK-1,Neuron,Brain,1,SIN3A
44876|5HMC,1.7425093365685074e-07,Homo sapiens,5HMC,other,None,Erythroid Cell,None,1,5HMC
