Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
RUNX2,MS00174;6.59E-17,MS00173;1.11E-12,MC00215;9.29E-01,,
Zfp161,UP00065;1.80E-15,,,,
E2F1,MS00815;2.11E-15,MC00182;1.43E-13,,,
PAX5,MA0014;3.28E-15,MC00332;2.67E-11,M00143;1.57E-10,,
E2f4,MC00158;4.11E-15,,,,
E2F1::TFDP1,M00736;5.38E-15,,,,
E2F2,UP00001;2.39E-14,MS00712;7.84E-03,,,
GABPB1,M00341;4.58E-14,,,,
HINFP1,MS00090;5.85E-14,MS00079;1.17E-09,,,
PAX2,MS00118;7.82E-14,M00486;4.91E-07,MA0067;1.28E-06,,
E2F1::TFDP2,M00737;1.09E-13,,,,
PAX3,M00327;1.39E-13,MS00119;5.27E-01,,,
ZBTB33,MC00418;1.94E-13,M01119;8.54E-03,,,
E2f3,MC00510;3.55E-13,,,,
E2F3,UP00003;3.68E-13,MS00734;4.81E-06,,,
Pax5,MC00257;3.86E-13,,,,
PAX4,M00373;5.88E-13,M00378;2.76E-10,MS00121;7.05E-01,,
SREBF2,M01177;8.18E-13,MS00281;3.07E-01,,,
Gmeb1,UP00084;9.74E-13,,,,
EGR4,MS00678;1.06E-12,,,,
PAX6,MS00125;1.18E-12,M00979;6.22E-02,UP00224;5.85E-01,,
TEAD2,M00695;1.31E-12,,,,
BRCA1,MC00299;1.37E-12,,,,
EGR3,MS00567;1.45E-12,,,,
Tbx3,MC00221;1.60E-12,,,,
PAX1,MS00117;1.61E-12,M00326;2.70E-05,M00808;2.24E-01,,
ETV1,MC00427;1.78E-12,,,,
IRF6,UP00011;2.14E-12,,,,
Rfx1,MC00144;2.30E-12,,,,
VDR,M00961;2.31E-12,MC00412;5.45E-07,M00444;1.92E-05,,
Egr3,MS00789;2.32E-12,,,,
MYBL1,MS00100;2.55E-12,MS00097;2.12E-09,,,
PAX8,M00717;3.58E-12,,,,
Klf7,UP00093;3.89E-12,,,,
E2F6,MC00254;5.26E-12,M01252;1.35E-03,,,
Irf5,UP00040;6.76E-12,,,,
Zscan10,M01742;8.06E-12,,,,
XBP1,UP00330;8.78E-12,MS00342;4.08E-05,,,
DEAF1,M01002;1.02E-11,,,,
HMGN1,MC00502;1.24E-11,,,,
KLF14,MS00135;1.43E-11,,,,
GCM2,MS00050;1.50E-11,,,,
Zic3,MS00523;1.51E-11,UP00006;2.13E-09,,,
E2F8,MS00739;1.79E-11,,,,
Zfp128,UP00094;2.17E-11,,,,
NR2C2,MC00509;2.27E-11,MS00651;8.81E-01,,,
Etv6,UP00418;3.03E-11,,,,
SP2,M01783;3.51E-11,,,,
Snai1,MC00183;3.71E-11,,,,
E2F4,MC00523;4.05E-11,,,,
ZBTB7A,MS00301;4.21E-11,MC00376;1.28E-09,M01100;9.46E-08,,
Zfx,MC00328;5.19E-11,,,,
WT1,M01118;6.26E-11,,,,
Gm5454,UP00423;9.87E-11,,,,
SP4,MS00235;1.69E-10,,,,
ZIC3,MS00346;1.72E-10,,,,
CENPB,MS00534;2.05E-10,,,,
MYB,UP00092;2.42E-10,,,,
ZIC1,MS00334;2.50E-10,UP00102;4.60E-09,M00448;9.34E-07,,
Klf12,MS00157;2.78E-10,,,,
BCL6,MC00386;3.62E-10,M01171;5.72E-01,,,
Irf4,UP00018;3.64E-10,MC00190;5.73E-01,,,
CTCF,MC00128;4.42E-10,,,,
Mybl1,UP00081;4.61E-10,,,,
AHR,M00139;5.70E-10,,,,
HEY2,MS00260;8.28E-10,,,,
PAX9,MS00128;8.68E-10,,,,
Egr2,MC00430;9.18E-10,,,,
MTF1,M01243;9.73E-10,MS00725;5.72E-06,,,
GMEB2,MS00183;1.06E-09,MS00182;3.15E-08,MS00721;2.53E-04,,
ETV3,MC00160;1.14E-09,,,,
Tcfap2e,UP00028;1.22E-09,,,,
HEY1,MS00258;1.24E-09,,,,
ZIC4,MS00357;1.29E-09,,,,
HINFP,MA0131;1.72E-09,,,,
HES1,M01009;1.79E-09,,,,
ESR2,MC00333;1.91E-09,,,,
Etv5,UP00412;2.06E-09,,,,
PLAGL1,UP00088;2.32E-09,,,,
Stat3,MC00140;2.38E-09,,,,
Mycn,MC00532;2.60E-09,,,,
EGR2,MC00319;2.89E-09,,,,
Max,MC00461;2.91E-09,,,,
FOXN1,M00332;3.02E-09,,,,
NR1H3,M00647;3.43E-09,,,,
Tcfap2a,MS00240;3.45E-09,MS00239;7.78E-09,MS00241;5.93E-08,,
ZBTB7C,MS00323;3.68E-09,,,,
EGR1,MC00320;3.95E-09,,,,
Rara,MC00252;4.26E-09,MS00698;1.00E+00,,,
MGA,MS00188;5.86E-09,MS00186;4.74E-02,,,
ELK4,MC00207;6.22E-09,,,,
GCM1,MS00048;6.49E-09,MS00047;6.81E-04,,,
TBX2,MS00211;6.53E-09,MS00213;4.89E-01,,,
GLIS2,MS00035;7.56E-09,,,,
ZIC2,UP00057;1.32E-08,M00449;1.24E-06,,,
KLF15,M01714;1.34E-08,,,,
ZBTB7B,MS00312;1.38E-08,M01175;7.30E-08,,,
ETS1,MC00278;1.50E-08,MS00851;2.24E-05,,,
KLF12,M00468;1.64E-08,,,,
YY2,MS00268;1.73E-08,,,,
ARNT,MC00262;1.83E-08,,,,
MYC,MC00394;1.90E-08,,,,
ETV6,MS00021;1.97E-08,,,,
Mafb,MS00333;1.98E-08,MS00335;1.64E-05,,,
SP1,MS00212;2.44E-08,MC00113;2.93E-08,,,
IRF5,MS00067;2.76E-08,,,,
Zbtb3,UP00031;2.91E-08,,,,
TFAP2A,MS00227;2.95E-08,MC00530;8.09E-06,,,
ELF2,UP00404;3.13E-08,,,,
TFAP2B,MS00228;3.18E-08,MS00230;3.36E-08,MS00229;4.44E-07,,
Ctcf,MC00187;3.40E-08,,,,
KLF16,MS00146;3.82E-08,,,,
ELF1,MC00457;4.88E-08,,,,
Tcfap2b,UP00010;5.10E-08,,,,
ZBED1,MS00290;5.53E-08,,,,
ZNF589,M01109;6.06E-08,,,,
Klf4,MC00109;6.10E-08,,,,
SMAD1,M00792;6.73E-08,M01590;9.82E-01,,,
GLI2,MS00843;8.70E-08,,,,
SP3,MS00223;8.87E-08,M00665;2.18E-05,,,
ELK1,MC00206;9.13E-08,,,,
SP8,MS00246;1.06E-07,,,,
Tcfap2c,UP00087;1.09E-07,,,,
NFYA,MC00364;1.20E-07,,,,
Mxi1,MC00373;1.44E-07,,,,
Klf1,MC00110;1.51E-07,,,,
GLIS1,MS00024;1.51E-07,,,,
ZFP42,M01744;1.69E-07,,,,
Ovol2,M01104;2.33E-07,,,,
MYBL2,MS00102;2.66E-07,MS00105;2.08E-06,MS00103;5.18E-05,,
PATZ1,M00491;2.66E-07,,,,
REST,MC00174;2.68E-07,,,,
MAZ,M00649;3.42E-07,,,,
GABPA,MC00367;3.52E-07,,,,
ATF4,M00514;3.74E-07,MS00293;3.49E-01,,,
IRF3,UP00086;3.78E-07,,,,
NR0B1,M01248;3.91E-07,,,,
TFE3,MS00288;4.65E-07,,,,
PGR,MC00170;5.43E-07,,,,
Nfya,MC00191;6.38E-07,,,,
ZBTB49,MS00727;7.93E-07,,,,
ATF1,UP00020;8.49E-07,,,,
Elf5,MS00022;9.65E-07,,,,
ATF2,M00179;9.92E-07,,,,
NHLH1,MS00274;1.09E-06,,,,
TFCP2L1,M01592;1.20E-06,,,,
ZNF711,MC00477;1.56E-06,,,,
ZNF143,MC00391;1.60E-06,,,,
Tcfcp2l1,MA0145;1.60E-06,,,,
STAT6,M00500;1.83E-06,,,,
Spdef,UP00038;1.89E-06,,,,
Myb,MC00408;2.03E-06,,,,
HIF1A,MC00316;2.70E-06,,,,
HSFY2,MS00062;3.07E-06,MS00061;1.43E-02,,,
ELF4,MS00834;4.08E-06,,,,
Rest,MC00125;4.63E-06,,,,
ETS2,M01207;4.72E-06,,,,
ETV4,MS00018;4.72E-06,,,,
ZNF350,M01105;4.92E-06,,,,
GFI1,M01067;5.53E-06,,,,
