Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
E2F4,542;3.78E-104,49480;9.78E-98,36812;1.61E-92,63739;4.51E-70,3225;5.85E-65
E2F1,67455;2.81E-76,67454;1.22E-72,67457;5.76E-72,67459;3.75E-71,70857;4.14E-64
RBL2,1874;1.62E-59,1880;4.60E-59,1876;5.90E-55,1878;5.75E-49,1879;5.23E-32
TFDP1,77534;4.49E-59,62550;4.52E-47,77535;7.67E-45,62551;2.46E-41,38731;1.92E-39
RB1,49417;3.31E-45,49416;1.29E-33,1870;1.65E-33,1873;8.30E-27,1872;5.47E-22
HDAC2,72935;1.90E-35,72913;1.51E-30,8660;1.24E-23,8659;7.26E-22,45222;1.79E-16
HDAC1,8657;1.39E-34,8658;8.55E-34,68822;1.69E-25,8774;1.24E-24,45428;6.69E-24
RNF2,43572;1.17E-32,43561;9.58E-18,62639;6.16E-15,62638;1.44E-13,8549;1.21E-12
PHF8,2684;8.04E-31,93;1.03E-30,1312;6.27E-26,1314;1.53E-22,45239;6.16E-21
ING2,41572;1.20E-30,,,,
GTF2B,56961;5.80E-30,36362;7.99E-25,56978;1.09E-22,45932;2.05E-18,56958;3.75E-16
CHD8,51103;1.17E-28,49778;1.31E-18,51104;2.01E-07,53396;1.11E-06,53397;5.31E-05
FOXM1,39460;1.71E-28,34999;1.16E-27,46350;4.77E-25,34997;8.87E-23,35011;1.41E-22
TAF1,46162;4.40E-28,46077;3.28E-26,46221;4.70E-25,46154;5.35E-23,46108;1.27E-22
LEO1,73696;4.93E-28,55661;5.91E-05,,,
HBP1,64039;6.30E-28,64038;3.49E-21,38726;2.80E-05,,
KMT2D,68635;1.56E-27,68632;4.95E-25,55405;2.87E-21,68627;5.31E-18,68638;7.16E-13
SIN3A,45639;2.05E-27,63655;3.38E-24,46329;3.47E-23,46360;1.48E-20,63656;7.70E-20
BRD4,73719;3.11E-27,43066;1.78E-26,43763;4.51E-25,69870;6.54E-25,43756;6.49E-24
