,0,TF
MS00174|RUNX2,3.387989300856462e-22,RUNX2
MS00815|E2F1,1.200636187997841e-20,E2F1
MC00158|E2f4,3.235432103239028e-19,E2f4
MA0014|PAX5,4.416315922081776e-19,PAX5
UP00065|Zfp161,1.2492694148119526e-18,Zfp161
M00736|E2F1::TFDP1,1.74635094725813e-18,E2F1::TFDP1
UP00001|E2F2,1.537443783129477e-17,E2F2
MS00090|HINFP1,3.680691738539799e-17,HINFP1
UP00040|Irf5,4.333112042154334e-17,Irf5
M00327|PAX3,5.3188915847994953e-17,PAX3
M00695|TEAD2,1.0569270367829662e-16,TEAD2
MC00144|Rfx1,1.922121012846435e-16,Rfx1
M00737|E2F1::TFDP2,2.8848690206468535e-16,E2F1::TFDP2
UP00011|IRF6,3.6228814515413983e-16,IRF6
MC00418|ZBTB33,7.037277265234907e-16,ZBTB33
MS00100|MYBL1,8.864338293006654e-16,MYBL1
M00341|GABPB1,9.143701151587118e-16,GABPB1
M00373|PAX4,1.3904828679524807e-15,PAX4
MS00125|PAX6,1.3914770889632834e-15,PAX6
MC00221|Tbx3,1.4646198937383335e-15,Tbx3
UP00003|E2F3,1.618664122997198e-15,E2F3
MC00510|E2f3,1.7081016227817555e-15,E2f3
MC00257|Pax5,2.5375045445076233e-15,Pax5
MS00118|PAX2,3.744696211209095e-15,PAX2
M00961|VDR,3.857860386531638e-15,VDR
MC00427|ETV1,6.719481628573828e-15,ETV1
UP00330|XBP1,6.7386222904187126e-15,XBP1
MC00299|BRCA1,7.467186467766842e-15,BRCA1
UP00093|Klf7,1.1556473444872566e-14,Klf7
UP00084|Gmeb1,1.5986560270919123e-14,Gmeb1
M01177|SREBF2,1.7525304476627886e-14,SREBF2
MC00523|E2F4,1.9445544168962967e-14,E2F4
MS00678|EGR4,2.1393819814986967e-14,EGR4
UP00081|Mybl1,2.814374436127249e-14,Mybl1
M00717|PAX8,3.008206855841466e-14,PAX8
MC00502|HMGN1,3.0999004004020354e-14,HMGN1
UP00092|MYB,3.6786808767067355e-14,MYB
MS00789|Egr3,3.830111580239855e-14,Egr3
MS00567|EGR3,4.8659013260462344e-14,EGR3
M01783|SP2,4.929245433814903e-14,SP2
MS00117|PAX1,5.001639013812336e-14,PAX1
MS00135|KLF14,6.38599070099364e-14,KLF14
MS00050|GCM2,9.492002111155125e-14,GCM2
M01742|Zscan10,1.1286788743466968e-13,Zscan10
UP00018|Irf4,1.1542944646735523e-13,Irf4
UP00418|Etv6,1.5051672006670912e-13,Etv6
MC00254|E2F6,1.7915581115956671e-13,E2F6
MC00509|NR2C2,2.30179140447234e-13,NR2C2
M01002|DEAF1,2.349844268542791e-13,DEAF1
