,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
51750|FOXP1,3.5245368892352484e-27,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
52091|TP53,4.3317097312280324e-27,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
53347|CDK9,6.987170973732157e-26,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
45754|E2F1,3.3090372582378597e-25,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1,E2F1
55666|PAF1,4.0002550021928054e-25,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
70964|MYC,6.193586339267954e-25,Homo sapiens,MYC,tf,Raji,B Lymphocyte,Blood,1,MYC
33904|BRD4,1.4285460059005084e-24,Homo sapiens,BRD4,cr,None,Plasma Cell,None,1,BRD4
55465|NELFA,4.423358754731945e-24,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
58640|MED1,8.289745389435821e-24,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1,MED1
74838|JMJD6,3.383188261019325e-23,Homo sapiens,JMJD6,cr,None,3565 cells,None,1,JMJD6
74202|BRD2,5.205894174800079e-23,Homo sapiens,BRD2,predicted chromatin regulator,None,None,Pontine,1,BRD2
38585|TAF3,1.0081677781639108e-22,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
36362|GTF2B,1.7813140540315703e-22,Homo sapiens,GTF2B,tf,IMR90,Fibroblast,Lung,1,GTF2B
45752|E2F4,1.838770650744657e-22,Homo sapiens,E2F4,tf,HeLa-S3,Epithelium,Cervix,1,E2F4
33162|MAX,2.3883508519943567e-22,Homo sapiens,MAX,tf,P493-6,B cell lymphoma,None,1,MAX
56353|CDK8,2.54439173718515e-22,Homo sapiens,CDK8,tf,MOLM-14,Myeloid Cell,None,1,CDK8
55895|T,1.0371571854491098e-21,Homo sapiens,T,tf,None,Fibroblast,None,1,T
7060|YY1,1.1931910435419412e-21,Homo sapiens,YY1,tf,GM12878,B Lymphocyte,Blood,1,YY1
69809|NELFE,1.2997516938273312e-21,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,NELFE
58805|MYB,2.424890451801545e-21,Homo sapiens,MYB,tf,None,Th1,None,1,MYB
63885|BCL3,3.0209069038759485e-21,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
49949|KLF9,4.4877220124521676e-21,Homo sapiens,KLF9,tf,GBM1A,Glioblastoma Stem Cell,None,1,KLF9
46195|TAF7,5.4767100899034235e-21,Homo sapiens,TAF7,predicted transcription factor,H1,Embryonic Stem Cell,Embryo,1,TAF7
46221|TAF1,5.646892562048492e-21,Homo sapiens,TAF1,tf,HeLa-S3,Epithelium,Cervix,1,TAF1
45421|RBBP5,5.844604274643747e-21,Homo sapiens,RBBP5,cr,K562,Erythroblast,Bone Marrow,1,RBBP5
39460|FOXM1,6.142328958623149e-21,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1,FOXM1
45714|TCF7L2,6.861601177720378e-21,Homo sapiens,TCF7L2,tf,HCT-116,None,Colon,1,TCF7L2
2684|PHF8,7.490752497026308e-21,Homo sapiens,PHF8,cr,SH-SY5Y,None,Bone Marrow,1,PHF8
43305|CDK6,7.519364196647128e-21,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
43684|KDM4C,8.657476234152322e-21,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
37056|FLI1,9.66716686456464e-21,Homo sapiens,FLI1,tf,U937,None,Pleura,1,FLI1
75942|KDM1A,1.6126359786714817e-20,Homo sapiens,KDM1A,cr,PC-3M-luc,None,Prostate,1,KDM1A
76519|SETD1A,1.8969352532750508e-20,Homo sapiens,SETD1A,predicted chromatin regulator,None,Erythroid Cell,None,1,SETD1A
74348|NEUROD1,1.904104869330665e-20,Homo sapiens,NEUROD1,tf,D-341,None,None,1,NEUROD1
50877|SPI1,2.7536385375810727e-20,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1,SPI1
48998|AFF4,4.4478142615366015e-20,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
