Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
HINFP,MA0131;1.25E-22,,,,
E2F2,UP00001;4.42E-21,MS00712;1.07E-03,,,
E2F3,UP00003;3.26E-20,MS00734;3.73E-13,,,
E2F1,MS00815;7.33E-20,MC00182;7.30E-17,,,
E2F1::TFDP1,M00736;9.24E-20,,,,
EGR4,MS00678;3.12E-19,,,,
RUNX2,MS00173;3.45E-19,MS00174;2.39E-15,MC00215;5.64E-02,,
Egr3,MS00789;8.01E-19,,,,
GMEB2,MS00183;1.07E-18,MS00182;2.22E-13,MS00721;6.95E-09,,
Etv6,UP00418;1.50E-18,,,,
XBP1,UP00330;1.51E-18,MS00342;8.13E-09,,,
ELK4,MC00207;2.47E-18,,,,
Gmeb1,UP00084;3.72E-18,,,,
BRCA1,MC00299;6.24E-18,,,,
CENPB,MS00534;6.35E-18,,,,
MYBL1,MS00100;1.03E-17,MS00097;1.17E-11,,,
BHLHB2,MS00247;1.41E-17,,,,
Zfp161,UP00065;1.80E-17,,,,
PAX4,M00373;1.93E-17,M00378;1.19E-12,MS00121;1.49E-01,,
Zscan10,M01742;2.07E-17,,,,
HES1,M01009;2.46E-17,,,,
HEY1,MS00258;2.48E-17,,,,
E2F4,MC00523;2.50E-17,,,,
EGR3,MS00567;2.57E-17,,,,
E2f3,MC00510;2.89E-17,,,,
E2F1::TFDP2,M00737;3.02E-17,,,,
E2f4,MC00158;3.23E-17,,,,
HEY2,MS00260;3.46E-17,,,,
GABPA,MC00367;3.53E-17,,,,
Tbx3,MC00221;6.04E-17,,,,
Max,MC00461;7.24E-17,,,,
Gm5454,UP00423;8.47E-17,,,,
BHLHB3,MS00248;9.27E-17,,,,
HINFP1,MS00079;9.46E-17,MS00090;1.16E-15,,,
PAX3,M00327;1.02E-16,MS00119;9.10E-01,,,
HMGN1,MC00502;1.07E-16,,,,
AHR,M00139;1.21E-16,,,,
DEAF1,M01002;1.41E-16,,,,
PAX5,MC00332;1.45E-16,MA0014;6.99E-15,M00143;6.47E-12,,
PLAGL1,UP00088;1.47E-16,,,,
YY2,MS00268;1.70E-16,,,,
Zfp128,UP00094;1.71E-16,,,,
NR1H3,M00647;1.87E-16,,,,
NR2C2,MC00509;1.89E-16,MS00651;2.53E-04,,,
ETV3,MC00160;1.97E-16,,,,
ETV5,MS00019;3.02E-16,,,,
Etv5,UP00412;3.62E-16,,,,
KLF15,M01714;3.80E-16,,,,
ETV1,MC00427;4.19E-16,,,,
Bhlhb2,MS00252;5.00E-16,,,,
ZBTB33,MC00418;5.28E-16,M01119;4.73E-02,,,
MYC,MC00394;6.76E-16,,,,
MTF1,M01243;6.89E-16,MS00725;1.38E-10,,,
GLIS2,MS00035;7.81E-16,,,,
MYB,UP00092;8.13E-16,,,,
TEAD2,M00695;9.98E-16,,,,
MNT,MS00267;1.04E-15,,,,
Mybl1,UP00081;1.05E-15,,,,
MAX,MC00124;1.11E-15,,,,
E2F6,MC00254;1.12E-15,M01252;1.66E-07,,,
ETV4,MS00018;1.14E-15,,,,
Egr2,MC00430;1.15E-15,,,,
FOXN1,M00332;1.26E-15,,,,
ATF3,MC00473;1.78E-15,,,,
ESR2,MC00333;1.89E-15,,,,
GLI2,MS00843;2.11E-15,,,,
ATF4,M00514;2.28E-15,MS00293;1.44E-01,,,
SP4,MS00235;2.78E-15,,,,
GABPB1,M00341;2.83E-15,,,,
ZBTB7A,MS00301;2.89E-15,MC00376;6.00E-15,M01100;1.17E-11,,
SP1,MC00113;2.94E-15,MS00212;1.94E-09,,,
ZIC3,MS00346;3.11E-15,,,,
Pax5,MC00257;4.11E-15,,,,
ELF1,MC00457;4.33E-15,,,,
ZFP42,M01744;4.66E-15,,,,
FEV,MS00025;7.49E-15,,,,
Irf5,UP00040;7.66E-15,,,,
EGR2,MC00319;8.22E-15,,,,
ELK1,MC00206;9.99E-15,,,,
Mycn,MC00532;1.01E-14,,,,
ZBTB7C,MS00323;1.23E-14,,,,
TFE3,MS00288;1.63E-14,,,,
Mxi1,MC00373;2.27E-14,,,,
GCM2,MS00050;2.43E-14,,,,
Tcfap2a,MS00239;2.93E-14,MS00240;1.65E-13,MS00241;1.99E-12,,
ELF2,UP00404;3.50E-14,,,,
ZIC4,MS00357;3.75E-14,,,,
KLF14,MS00135;3.82E-14,,,,
ETS1,MC00278;3.92E-14,MS00851;1.72E-12,,,
FLI1,MS00027;4.19E-14,MC00398;1.00E-04,,,
Myc,MC00407;4.66E-14,,,,
ZIC1,MS00334;4.96E-14,UP00102;2.34E-12,M00448;2.98E-12,,
Rara,MC00252;5.05E-14,MS00698;6.12E-01,,,
EGR1,MC00320;5.85E-14,,,,
WT1,M01118;6.18E-14,,,,
PAX8,M00717;6.29E-14,,,,
LBX2,MS00533;7.28E-14,MS00535;3.46E-01,,,
Zfx,MC00328;7.29E-14,,,,
ERG,MC00168;7.79E-14,MS00848;6.41E-11,,,
HES5,MS00255;7.89E-14,,,,
ETV6,MS00021;8.44E-14,,,,
ARNT,MC00262;9.18E-14,,,,
Zic3,MS00523;1.04E-13,UP00006;1.67E-13,,,
YY1,MC00342;1.10E-13,,,,
ZNF143,MC00391;1.11E-13,,,,
REST,MC00174;1.12E-13,,,,
Snai1,MC00183;1.15E-13,,,,
PAX2,MA0067;1.77E-13,M00486;2.62E-13,MS00118;4.11E-12,,
ZIC2,UP00057;1.89E-13,M00449;7.28E-10,,,
HES7,MS00256;1.92E-13,,,,
MYBL2,MS00102;1.95E-13,MS00105;1.53E-12,MS00103;2.56E-12,,
