,coefficients,cell_line,cell_type,tissue
61913,0.2724838917010446,MDA-MB-231,Epithelium,Mammary Gland
53033,0.1814141913575163,FT246,Epithelium,Fallopian tube secretory
3341,0.16872758767238796,,Stromal Cell,Adipose
49880,0.1589102838188247,A673,,
61907,-0.13266234533498514,,,
61906,0.1107792371651608,MV4;11,Leukemia Cell,Blood
57450,0.08864588516828997,K562,Erythroblast,Bone Marrow
35455,0.082115012145921,NHEK,Keratinocyte,Skin
1820,-0.0220293283498324,IMR90,Fibroblast,Lung
35423,-0.011276251866063562,NHLF,Fibroblast,Lung
