,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
58640|MED1,0.0000000000000000000000000000000000000000000014455211129179898323842492103567902808100546011730176919348672364805029163358413487577531790304796358815366936476923153664002390758927289785352537260151716565117510169500585661870849407002455380657098,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1,MED1
39460|FOXM1,0.00000000000000000000000000000000000000000000593144025574181573972545219253740007299245226137860014451677539383383193327315795181838330777864251458924536929105293141033962572913965234242409956109695099835442370211359599375957993505737035961973,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1,FOXM1
77535|TFDP1,0.0000000000000000000000000000000000000000000085211688309439253879126242884844869257306555491673975003323629413993172368798401679397462557166415237037721826859904859422145822185856304604834595602016066350620557483385309987404720920161039992361584,Homo sapiens,TFDP1,tf,MM1.S,B Lymphocyte,Blood,1,TFDP1
70731|FOXK1,0.000000000000000000000000000000000000000000018760074275401890475265876729160043609122931587922709700068868468921581288666575322108922279535395270259574456190538234913752347705605468781992413514079379937273582370059932998136068887630472101938194,Homo sapiens,FOXK1,tf,HEK293,HEK 293 Cell Line,None,1,FOXK1
49493|CDK7,0.000000000000000000000000000000000000000000024495766249906016133443824743369658718998391229683135159991771542747070637797625256371675339997139446494283243768517354393397720650329058302112640204079355387070277513925745225123702701876995769857883,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1,CDK7
36228|XRN2,0.000000000000000000000000000000000000000000027057637324173118558575808042095029092962251377997856957836177290281279189210098103435827533444650591901705474950222883779304717412094461817605451191114693857401648516590263298209248905795706007788176,Homo sapiens,XRN2,not sure,HEK293,Epithelium,Embryonic Kidney,1,XRN2
48824|MBD2,0.000000000000000000000000000000000000000000029436368623617365038383432081656240152864667300793191618256840642116022958272538332656554135494735027591160898334580054309437766621259493145325747648653299067725618382331910527636044460174364660456301,Homo sapiens,MBD2,cr,MCF-7,Epithelium,Breast,1,MBD2
72408|PARP1,0.00000000000000000000000000000000000000000013949901121228020701979146402030612480938158493214407688414594983255569362951381559662104613752463876055011146821464539482497473282263025417629319509007166258722429068421975239531454161548611740924175,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
69874|RELA,0.00000000000000000000000000000000000000000014322401628865734450002602984841793136253619436392101642863549421029448753005283453195879192042947381153478212622873794681546896214795604118747133164494164063442011842388326620880209045106851031367356,Homo sapiens,RELA,tf,None,Th1,None,1,RELA
74209|BRD2,0.00000000000000000000000000000000000000000035659776037803719069958460343897634227596085510091879018912353175917889963595057886700938902659441336120528996584179038689190981442467978642210967331551761963375336309720905529941020281005644339174479,Homo sapiens,BRD2,predicted chromatin regulator,SF8628,None,Pontine,1,BRD2
