Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
FOXP1,51750;8.93E-59,1012;3.91E-26,42760;8.01E-18,1013;1.28E-13,54155;1.76E-06
BRD4,49977;4.71E-58,71137;1.33E-44,73719;4.94E-44,69870;2.24E-42,56357;6.46E-42
NELFA,55465;4.57E-56,55466;3.60E-51,55468;6.32E-50,55467;4.82E-39,43451;6.47E-35
TAF1,46077;4.51E-54,46162;2.03E-48,46320;1.55E-46,46154;3.01E-44,46106;3.01E-43
E2F4,45752;8.25E-53,3225;2.11E-41,45951;1.14E-39,46000;2.89E-38,45617;4.03E-31
NEUROD1,74347;4.60E-52,74346;2.96E-43,74348;1.73E-39,74342;8.53E-29,74357;1.08E-28
GTF2B,56961;4.10E-51,36362;4.67E-47,56978;2.17E-44,56958;1.10E-41,45932;1.06E-32
TP53,69456;1.60E-50,52092;4.49E-49,52091;5.79E-49,69457;3.47E-36,52090;6.43E-29
PAF1,55666;2.59E-50,55665;3.00E-40,55664;2.93E-39,55669;1.19E-35,55682;1.09E-31
AFF4,69872;5.85E-50,69873;1.03E-47,48998;5.19E-32,48996;3.80E-28,48995;1.37E-27
MYC,71936;3.37E-49,71934;1.68E-47,70964;3.43E-47,45857;3.61E-47,8112;3.61E-47
CDK9,53346;3.66E-49,53347;1.15E-48,43081;2.38E-42,33888;1.06E-37,43083;1.52E-36
E2F1,41481;3.75E-49,44329;7.32E-48,56252;6.04E-47,67456;3.43E-46,1212;5.10E-46
MYH11,37623;2.46E-47,37589;2.56E-25,37608;1.18E-11,37625;2.34E-09,
KDM1A,75942;3.02E-47,53469;5.03E-24,53468;5.26E-24,53467;2.34E-16,55324;1.92E-13
PHF8,2684;5.24E-47,93;6.76E-41,1312;9.14E-41,8818;3.63E-37,45239;3.63E-37
TAL1,72356;8.35E-47,4611;1.77E-20,4610;3.32E-19,42788;3.70E-16,43447;6.06E-16
JMJD6,74838;1.15E-46,74836;9.92E-10,74844;5.58E-07,74843;2.44E-06,43064;2.44E-02
POLR2B,9216;1.46E-46,36356;2.15E-46,,,
WDR5,49852;1.58E-46,49877;1.23E-43,52436;2.66E-39,52432;1.65E-28,58506;4.33E-28
BCL3,62933;2.55E-46,63885;4.99E-46,62533;2.01E-45,64102;6.37E-45,62535;3.17E-43
