,0,TF
MS00402|ALX3,0.19383837188861613,ALX3
MC00348|STAT1,0.1945392252619373,STAT1
MS00603|PRRX2,0.1954783727316742,PRRX2
MC00186|Nr1d2,0.19793446055124778,Nr1d2
MS00717|Tp53,0.20314854078245873,Tp53
UP00261|LHX4,0.2050786686101845,LHX4
MS00201|SNAI2,0.20645663184979587,SNAI2
MS00041|Spic,0.20701230801468676,Spic
MS00653|NR2E1,0.21096540594159757,NR2E1
MS00658|NR2F6,0.21375687079198794,NR2F6
UP00113|HOXC4,0.2146460789560763,HOXC4
UP00033|Zfp410,0.22876708723165182,Zfp410
MS00486|HOXA1,0.23077721635759058,HOXA1
MS00573|NKX3-2,0.23181769502097607,NKX3-2
MS00059|HSF2,0.23255489550803202,HSF2
MS00731|ZNF713,0.23346823492681987,ZNF713
MS00430|DLX4,0.23651674786077245,DLX4
UP00195|SIX3,0.2373833753565,SIX3
MC00524|Nr1d1,0.23999324913728212,Nr1d1
MS00617|UNCX,0.24717664555400679,UNCX
UP00206|Hoxb7,0.2488328866575876,Hoxb7
UP00064|Sox18,0.25022085218644713,Sox18
MC00396|Nr3c1,0.25082072851974496,Nr3c1
MS00454|EVX1,0.2522478483856681,EVX1
M01149|Dmrta1,0.2559630682259527,Dmrta1
MS00537|LHX2,0.2592958694582753,LHX2
MS00439|Dlx1,0.26465393440903545,Dlx1
MS00472|HMBOX1,0.26504567167225346,HMBOX1
MS00168|PRDM1,0.2658111731672694,PRDM1
MS00575|NKX6-1,0.26958707938440946,NKX6-1
MC00414|Atoh1,0.27149015104871754,Atoh1
MS00431|DLX5,0.27249823442226995,DLX5
MC00211|NFATC1,0.282021245525617,NFATC1
MS00557|MNX1,0.2841065669279464,MNX1
M00062|IRF1,0.2885424806132557,IRF1
MS00425|CDX1,0.2936829416401188,CDX1
UP00215|Vax1,0.2984269529705097,Vax1
MS00316|Dbp,0.3061184542617111,Dbp
UP00155|Hmx2,0.31149492147974656,Hmx2
MS00455|EVX2,0.3139177216776314,EVX2
MS00224|TEAD4,0.3195646831193494,TEAD4
MS00473|HMX1,0.32034550897945663,HMX1
MS00087|Meis2,0.3255289794124018,Meis2
MS00441|EMX1,0.3329319270344134,EMX1
MS00618|Uncx,0.3360720099761933,Uncx
UP00263|Hoxb8,0.35195718436043993,Hoxb8
MC00280|NR4A1,0.353155699610821,NR4A1
M01150|Dmrta2,0.3588700032214347,Dmrta2
M01650|NR2E3,0.36553587342532545,NR2E3
M01132|SF1,0.36569360519203126,SF1
M01479|POU6F1,0.36803449757897166,POU6F1
UP00218|Dbx2,0.375970927622638,Dbx2
MC00141|Stat1,0.3810465826937455,Stat1
MC00514|Cbfa2t2,0.38935137486773047,Cbfa2t2
MC00347|STAT4,0.3899849055458755,STAT4
MC00324|Gata4,0.39419982925362207,Gata4
MC00326|Gata3,0.3951711479784143,Gata3
UP00023|Sox30,0.3967873094242738,Sox30
MS00668|Nr2e1,0.40005812068547214,Nr2e1
MS00628|Vsx1,0.4044079696670021,Vsx1
MC00352|Nr5a2,0.41050025509989696,Nr5a2
MC00120|GATA1,0.41398967338434056,GATA1
MS00807|MSC,0.42417007803175466,MSC
MS00599|PRRX1,0.42520813496074594,PRRX1
MS00495|HOXC10,0.42964673961816235,HOXC10
MS00491|HOXB2,0.4329687243465654,HOXB2
UP00187|ALX4,0.4329896675131344,ALX4
MC00508|Batf,0.4331515579700721,Batf
MS00220|TEAD1,0.43755971863276344,TEAD1
UP00241|HOXD3,0.44526335135422,HOXD3
M00405|MEF2A,0.4549797541143501,MEF2A
MS00559|MSX1,0.4549982725443906,MSX1
MS00520|Hoxd13,0.45646415265254947,Hoxd13
MS00315|DBP,0.46134191860992224,DBP
M01483|Dbx1,0.4666711846018421,Dbx1
MC00474|BCL11A,0.46780101613366554,BCL11A
MS00580|Nkx3-1,0.4713257550657015,Nkx3-1
MC00341|Olig2,0.4724634509148806,Olig2
MS00394|Foxj3,0.47877915150897454,Foxj3
MS00614|SHOX,0.4848505775677663,SHOX
M01480|Obox5,0.48584982720137826,Obox5
MC00389|CDX2,0.4922726709838977,CDX2
MS00516|Hoxa2,0.4936144333816256,Hoxa2
MS00147|POU3F4,0.49896586466284176,POU3F4
M01147|DMRT2,0.5019943816883801,DMRT2
MS00728|ZNF232,0.5050683346596128,ZNF232
UP00186|MEIS1,0.5094694748090887,MEIS1
MS00487|HOXA2,0.5112970270145469,HOXA2
MC00309|TCF7L2,0.5122876984072839,TCF7L2
MC00330|FOS,0.5227010131235751,FOS
MC00122|Cebpa,0.523724577555748,Cebpa
UP00120|Lbx2,0.5240177030043995,Lbx2
MC00504|Scx,0.5289356101938398,Scx
MS00604|Prrx2,0.5358748888948057,Prrx2
MC00452|STAT5B,0.5487493087289093,STAT5B
MS00432|DLX6,0.5530526485398597,DLX6
MS00106|NFAT5,0.5536114083682313,NFAT5
MS00254|FIGLA,0.5538099785490189,FIGLA
MC00411|BATF,0.5706029229896801,BATF
MS00613|SHOX2,0.5718346809439242,SHOX2
M01127|ISL1,0.5741381395448693,ISL1
MS00606|RAX,0.5811340230899669,RAX
MS00551|MEOX1,0.5881043209341856,MEOX1
MC00358|Ebf1,0.5917954898569795,Ebf1
MS00811|RARB,0.5986117766860183,RARB
UP00221|PHOX2A,0.5997293726780708,PHOX2A
MS00542|LHX9,0.6000420805260315,LHX9
MS00440|Dlx2,0.610752666733382,Dlx2
UP00138|Bsx,0.6111896451973731,Bsx
UP00140|Hoxd1,0.6161906065801956,Hoxd1
MS00045|GATA5,0.6174663524693442,GATA5
MS00578|NOTO,0.6180653073706079,NOTO
UP00130|LHX3,0.6203534117080834,LHX3
MS00339|TEF,0.6209755663029928,TEF
MC00453|STAT5A,0.6291797437945186,STAT5A
MS00547|Lhx4,0.6337078617950057,Lhx4
MS00539|LHX6,0.636184931817039,LHX6
UP00244|TLX2,0.6394011998436393,TLX2
UP00101|Sox12,0.6395108345703493,Sox12
MC00154|Jund,0.6395210995513414,Jund
MS00093|Pknox2,0.6435016411844539,Pknox2
UP00041|Foxj1,0.6453191802782373,Foxj1
MS00492|HOXB3,0.6453749393570827,HOXB3
MS00561|MSX2,0.6459904013065755,MSX2
MS00627|VSX2,0.6460634504976601,VSX2
MA0041|FOXD3,0.6476966122761033,FOXD3
UP00248|Pax7,0.6485339044373122,Pax7
M01453|ALX1,0.650440204743935,ALX1
MS00543|LMX1A,0.651389775560247,LMX1A
MS00469|Gbx2,0.6615467922885102,Gbx2
M00992|FOXP3,0.6688272253578538,FOXP3
MS00459|GBX1,0.6733291477504928,GBX1
MS00052|SOX9,0.6754875693727953,SOX9
UP00044|Mafk,0.6814365199549075,Mafk
MS00528|ISL2,0.685206083804673,ISL2
MA0030|FOXF2,0.6854429345581835,FOXF2
MS00134|POU2F2,0.6859844083208251,POU2F2
MS00563|Meox2,0.6877730126279495,Meox2
MS00095|TGIF2LX,0.6884813546446298,TGIF2LX
MS00369|FOXJ3,0.6987414030917938,FOXJ3
MS00458|En2,0.700897398354094,En2
MS00460|GBX2,0.7042028484124553,GBX2
MC00327|Gata1,0.7075138078090062,Gata1
MC00455|Cdx2,0.7087931980638991,Cdx2
MS00615|Shox2,0.714732283901567,Shox2
MC00471|Rxra,0.7178959374039646,Rxra
UP00175|Lhx9,0.7199152844868378,Lhx9
UP00139|Nkx1-2,0.7208104597934165,Nkx1-2
MS00564|Msx3,0.7260646957120096,Msx3
MS00532|Irx3,0.7265255845372799,Irx3
UP00262|Lhx1,0.7295093405766242,Lhx1
MC00205|Stat5a,0.7342290244497021,Stat5a
MS00588|PDX1,0.7351605820862825,PDX1
MS00197|TBX1,0.7373628280249438,TBX1
UP00166|BARHL1,0.7385422714892607,BARHL1
MS00531|ISX,0.7396113022164423,ISX
UP00096|SOX13,0.7408470152298521,SOX13
MS00011|BCL6B,0.7464842664128462,BCL6B
MS00427|DLX1,0.755320392741484,DLX1
UP00151|BARX2,0.7610762156680182,BARX2
MC00369|Myod1,0.7669604771410592,Myod1
UP00152|Arx,0.7689954515956787,Arx
UP00121|Hoxd10,0.7694792852362885,Hoxd10
M01262|TBX18,0.7719581889194808,TBX18
MS00620|VAX1,0.775253005431601,VAX1
MS00051|LEF1,0.7759295960297716,LEF1
UP00168|Hoxd8,0.7830613863154432,Hoxd8
UP00211|Pou3f3,0.7837095539116092,Pou3f3
MS00443|EMX2,0.7856469957659314,EMX2
MS00096|TGIF2,0.7946787258820348,TGIF2
UP00129|Pou3f1,0.796439226443127,Pou3f1
MS00438|DUXA,0.8143406599096793,DUXA
UP00196|HOXA4,0.8230102504451815,HOXA4
M01295|ATF5,0.8240739693642615,ATF5
MS00501|Zfp652,0.8269370846903137,Zfp652
MS00349|FOXC1,0.8288986388347537,FOXC1
MS00513|HOXD8,0.832931846279323,HOXD8
MC00378|POU5F1,0.835987753390949,POU5F1
MC00325|Gata2,0.8384198834902148,Gata2
MS00667|ONECUT1,0.8398907020993329,ONECUT1
MS00679|ONECUT2,0.8411036295575314,ONECUT2
MS00092|PKNOX2,0.8422766897453041,PKNOX2
MS00597|PROP1,0.8466157607414435,PROP1
MC00146|Smad2/3,0.849005285889272,Smad2/3
MS00467|Gbx1,0.8503778140859295,Gbx1
M00420|MEIS1::HOXA9,0.852602374398272,MEIS1::HOXA9
UP00051|Sox8,0.8546466165886035,Sox8
MA0125|Nobox,0.8570802045680037,Nobox
MS00373|FOXL1,0.8587904898341489,FOXL1
UP00012|Bbx,0.8593142180956459,Bbx
MC00104|Foxa1,0.8663535983075389,Foxa1
UP00212|LHX5,0.8679366804137199,LHX5
M01148|DMRT3,0.8695654645277091,DMRT3
MS00155|POU6F2,0.870192645147011,POU6F2
MS00634|CUX2,0.8727301470205555,CUX2
UP00158|POU1F1,0.8728853998821519,POU1F1
MC00165|Pdx1,0.8745464824565705,Pdx1
M00294|Foxf1a,0.8767930607863929,Foxf1a
MS00407|Alx1,0.8784455681529296,Alx1
MS00352|FOXC2,0.8787036605129843,FOXC2
MC00507|Meis1,0.881398233607031,Meis1
UP00128|POU3F2,0.8829769379129826,POU3F2
MS00552|MEOX2,0.8924960068007963,MEOX2
MS00621|VAX2,0.893370194664239,VAX2
UP00169|LMX1B,0.8936254442935644,LMX1B
MC00349|Jun,0.8937761775022177,Jun
MC00118|GATA2,0.8961963140545243,GATA2
MS00408|Alx4,0.8970287775164593,Alx4
UP00388|SIX6,0.9042590045438819,SIX6
MC00269|SOX2,0.9118884438076309,SOX2
MA0084|SRY,0.912887176043232,SRY
MS00732|CPEB1,0.9218061699396647,CPEB1
M00987|FOXP1,0.9225536302611027,FOXP1
M01004|IKZF2,0.9255986323596708,IKZF2
MS00405|ARX,0.9259170201212814,ARX
M01399|Hlx,0.9266413502495159,Hlx
MS00800|Sox1,0.930981154367327,Sox1
UP00254|POU2F1,0.9312926724456698,POU2F1
MS00094|TGIF1,0.9346309818048096,TGIF1
MS00437|DRGX,0.9370832304810932,DRGX
MC00351|FOSL1,0.9392939177728984,FOSL1
MS00149|POU4F2,0.9413402421967421,POU4F2
UP00082|Zfp187,0.9413453295252152,Zfp187
MS00774|SOX8,0.9416510208347616,SOX8
MS00665|NR4A2,0.9437193093299926,NR4A2
MC00231|MEF2C,0.9451373716154984,MEF2C
M01268|NR1H4,0.9466345008859793,NR1H4
M00632|GATA4,0.9469613704702406,GATA4
UP00091|SOX5,0.9504091863861398,SOX5
MS00277|OLIG2,0.9512742797918718,OLIG2
MS00388|Foxc1,0.9525389027364921,Foxc1
MC00303|Sox2,0.9527083401945007,Sox2
MS00356|FOXD2,0.9541846847588167,FOXD2
MS00126|PAX7,0.9547200678088021,PAX7
MS00143|POU3F3,0.9568197631508364,POU3F3
MC00233|Pou5f1,0.9579819367746172,Pou5f1
MS00755|SOX21,0.9602338039364918,SOX21
MS00280|OLIG3,0.9625332038546607,OLIG3
MS00091|PKNOX1,0.9655390845427146,PKNOX1
MS00769|SOX7,0.9668343975679968,SOX7
M01694|Yy2,0.9672749252869781,Yy2
MS00269|MYF6,0.9678105800044104,MYF6
MC00105|Foxa2,0.967936991991455,Foxa2
MS00424|CART1,0.9689104123572322,CART1
MS00075|MEF2B,0.9710190724598831,MEF2B
MS00336|NFE2,0.9752543698981818,NFE2
MC00402|Hoxc9,0.9770030531750364,Hoxc9
MC00119|GATA3,0.9771527884007117,GATA3
MS00476|HNF1A,0.9772708663831228,HNF1A
UP00037|Zfp105,0.9777973174380075,Zfp105
MS00191|TBR1,0.9788659780779533,TBR1
MS00083|MEIS2,0.9806475344335518,MEIS2
MC00195|Myf5,0.9808859521358744,Myf5
MS00820|NFIA,0.9820438383471086,NFIA
MS00750|SOX15,0.983840172143644,SOX15
MC00217|FOXA2,0.9851075299130901,FOXA2
MS00053|TCF7L1,0.9865278055401027,TCF7L1
MC00311|FOXA1,0.9882277340857454,FOXA1
MS00470|HESX1,0.990273914380671,HESX1
UP00150|IRX6,0.9913360006084476,IRX6
MS00748|SOX14,0.9914517385432975,SOX14
MC00260|Pax3,0.9916980559183486,Pax3
MS00148|POU4F1,0.9924434433044187,POU4F1
MC00416|Rbfox2,0.9926443216501921,Rbfox2
M01722|RORB,0.9927687209387968,RORB
MS00249|BHLHE22,0.9934399617090818,BHLHE22
MA0103|ZEB1,0.9939643926334992,ZEB1
M00289|FOXI1,0.9950259853233026,FOXI1
MC00204|Stat5b,0.9955564317621411,Stat5b
MS00803|Sox3,0.9959631641651691,Sox3
MS00151|POU4F3,0.9963345210990342,POU4F3
MS00250|BHLHE23,0.9963910833130674,BHLHE23
MC00226|Nanog,0.9965716322969277,Nanog
MS00276|OLIG1,0.9969381967382718,OLIG1
MS00153|POU5F1P1,0.9972077380834482,POU5F1P1
MS00076|MEF2D,0.9974392971601638,MEF2D
UP00194|IRX4,0.9977686663959797,IRX4
MS00690|ONECUT3,0.9978816975267173,ONECUT3
UP00004|Sox14,0.998011375192823,Sox14
MS00794|Sox10,0.9981175879672697,Sox10
MC00371|JUNB,0.9984877080556214,JUNB
MS00593|PHOX2B,0.9985488225609287,PHOX2B
M01723|SATB1,0.9989841953739976,SATB1
MS00797|Sox17,0.9992357664044301,Sox17
UP00170|Isl2,0.9992930060922163,Isl2
MC00354|Neurod1,0.9993202620760778,Neurod1
M01230|ZNF333,0.9995024944380368,ZNF333
MC00117|GATA6,0.9995737220757477,GATA6
MS00054|Tcf7,0.9996894058748341,Tcf7
MA0031|FOXD1,0.9997666922412964,FOXD1
MS00287|TFAP4,0.9998012739411271,TFAP4
M01282|PPARA,0.9998165460523435,PPARA
MA0152|NFATC2,0.9998571274330654,NFATC2
MC00178|Nkx2-5,0.9998691570194926,Nkx2-5
UP00071|Sox21,0.9999073408410254,Sox21
MS00753|SOX18,0.999907926568024,SOX18
MA0040|Foxq1,0.999914189756785,Foxq1
MS00137|POU2F3,0.9999162161660875,POU2F3
MS00412|ZNF410,0.9999385887577508,ZNF410
MS00245|BHLHA15,0.9999474608958006,BHLHA15
MS00366|FOXJ2,0.9999784311724499,FOXJ2
MS00272|NEUROG2,0.9999929755372896,NEUROG2
MC00329|Srf,0.9999963847302076,Srf
