,coefficients,cell_line,cell_type,tissue
44999,-0.807453693135888,,Fibroblast,Periodontal Ligament
41104,0.8002626073113893,,Fibroblast,Periodontal Ligament
44971,0.7852216705694964,HL-60,Myeloblast,Blood
63925,0.5965066114475814,A549,Epithelium,
44972,-0.5848001723009218,HL-60,Myeloblast,Blood
64049,0.15909973138373298,HAP-1,,
64337,0.1484709777937524,K562,Erythroblast,
44909,0.08189873085839255,,T Lymphocyte,Blood
45066,0.07138882401307974,SK-N-MC,Epithelium,Brain
3194,0.006093917955665203,,,Fetal Brain
