,0,TF
MS00246|SP8,0.0018618791609788898,SP8
UP00125|PITX2,0.0019729491370157853,PITX2
MC00170|PGR,0.0020132165937197057,PGR
MC00157|Tead4,0.002049054329240925,Tead4
MS00596|PITX3,0.0020916271734417484,PITX3
M01288|NEUROD1,0.002105765603171239,NEUROD1
MS00050|GCM2,0.002147792353801531,GCM2
M00141|IKZF1,0.002233103488723785,IKZF1
MC00316|HIF1A,0.0022611043370269718,HIF1A
MS00255|HES5,0.0023425091953199425,HES5
M01742|Zscan10,0.00239479408023585,Zscan10
MS00075|MEF2B,0.0023986804650286075,MEF2B
MC00475|Nfic,0.0024226986633838865,Nfic
MS00294|ATF7,0.0024341090720996455,ATF7
MS00105|MYBL2,0.0026672401573793986,MYBL2
MS00323|ZBTB7C,0.002768501842915241,ZBTB7C
MS00125|PAX6,0.002835087085019555,PAX6
MS00718|Tp53,0.002860013736824591,Tp53
M00706|GTF2I,0.002863225646223742,GTF2I
MS00118|PAX2,0.002895194281321095,PAX2
MS00079|HINFP1,0.0029593573720618957,HINFP1
MS00346|ZIC3,0.0029902938073098143,ZIC3
MS00128|PAX9,0.0031061819772268623,PAX9
M00964|NR1I2,0.003168876885109647,NR1I2
MS00221|TEAD3,0.0032836964285597754,TEAD3
MS00304|CREB3L1,0.003597042570671942,CREB3L1
M01733|MZF1,0.0036918847448339925,MZF1
MC00371|JUNB,0.0037707470216547085,JUNB
MS00219|TEAD1,0.0038308720591631235,TEAD1
UP00018|Irf4,0.0038519310653176934,Irf4
MS00046|GLIS3,0.0038749217639669747,GLIS3
MC00321|JUN,0.003954376219582189,JUN
MS00320|JDP2,0.004099214054965094,JDP2
MA0116|Zfp423,0.00418589023085677,Zfp423
M00179|ATF2,0.004233943375071294,ATF2
M00115|CNTN2::CREB1,0.004289013054833929,CNTN2::CREB1
M01596|GLI3,0.004314849269201939,GLI3
MC00295|Esr1,0.004387843754765383,Esr1
MC00203|RFX3,0.004475633191829689,RFX3
MC00254|E2F6,0.004516760468344638,E2F6
MS00065|IRF4,0.004763626354324234,IRF4
MC00411|BATF,0.004853476372175343,BATF
MC00281|PBX3,0.004913578342978059,PBX3
MS00534|CENPB,0.005034192859606192,CENPB
M01783|SP2,0.005474992190844528,SP2
UP00033|Zfp410,0.005598582040363071,Zfp410
M00454|ARID5B,0.005820168879428398,ARID5B
MS00264|MESP1,0.006047642896749242,MESP1
MS00171|Rfx2,0.006119781751231328,Rfx2
MC00335|ESR1,0.006238234411295113,ESR1
MS00638|ESRRG,0.0063052171089519595,ESRRG
MC00456|JUND,0.006383706021127271,JUND
MA0051|IRF2,0.006414550362319341,IRF2
MS00383|FOXO4,0.006536080744999915,FOXO4
M00646|HNF1B,0.006741369998606882,HNF1B
MC00174|REST,0.0067524020679554375,REST
MS00135|KLF14,0.006759602404121919,KLF14
MC00221|Tbx3,0.006808664636911233,Tbx3
M01592|TFCP2L1,0.00685969484638079,TFCP2L1
M01002|DEAF1,0.00686575222245314,DEAF1
MS00157|Klf12,0.007134040165427183,Klf12
MC00158|E2f4,0.007196025437881924,E2f4
MS00274|NHLH1,0.007535372369124603,NHLH1
MS00124|KLF13,0.007785359284695806,KLF13
MS00114|NFIB,0.007913621798644807,NFIB
UP00003|E2F3,0.008198538180435897,E2F3
UP00199|SIX4,0.008252958039331078,SIX4
M00695|TEAD2,0.008487062736473795,TEAD2
MS00311|Creb3l2,0.008520308937002067,Creb3l2
MC00299|BRCA1,0.008886481496302908,BRCA1
MS00076|MEF2D,0.008958248804706267,MEF2D
MC00427|ETV1,0.009017231612318816,ETV1
UP00001|E2F2,0.009320575044142321,E2F2
MC00154|Jund,0.009412541351909715,Jund
MS00709|THRA,0.009698146546874148,THRA
M01248|NR0B1,0.009851366937285784,NR0B1
M00749|SREBF1,0.01015451461877456,SREBF1
UP00237|Otp,0.01109929129836598,Otp
MC00182|E2F1,0.011458084370614139,E2F1
MC00349|Jun,0.011959120500046421,Jun
MS00296|BATF3,0.012319764674519423,BATF3
MS00092|PKNOX2,0.012502597158962576,PKNOX2
M00327|PAX3,0.012919745654964818,PAX3
M01229|GTF2IRD1,0.013144948570208807,GTF2IRD1
MS00327|MAFG,0.013173902740236991,MAFG
M01009|HES1,0.013326869182018017,HES1
MS00308|CREB3,0.013570541710097347,CREB3
MS00191|TBR1,0.014229438705945452,TBR1
MC00160|ETV3,0.014412520611028191,ETV3
MC00439|TP63,0.0144483582779889,TP63
MS00179|SCRT1,0.01449082731909675,SCRT1
MC00357|Crx,0.014552029027273745,Crx
MC00132|TP73,0.01462312039383595,TP73
MS00727|ZBTB49,0.014758867269031615,ZBTB49
MC00207|ELK4,0.015054418988801447,ELK4
MS00207|TBX21,0.015069226952478431,TBX21
MC00183|Snai1,0.015303635190585111,Snai1
M00332|FOXN1,0.01573678797382543,FOXN1
MC00276|EOMES,0.015871186113624723,EOMES
MC00262|ARNT,0.01627304551763216,ARNT
MC00163|Creb1,0.016472802042738953,Creb1
MC00342|YY1,0.016885043110009865,YY1
M00736|E2F1::TFDP1,0.01741793386658567,E2F1::TFDP1
M01305|TEF,0.018516574355884826,TEF
UP00048|RARA,0.01853802471752873,RARA
UP00412|Etv5,0.019072744434227108,Etv5
MC00193|RELA,0.019155010376791813,RELA
UP00095|Zfp691,0.01965517118573833,Zfp691
UP00112|Gsc,0.019854935331085753,Gsc
UP00119|Nkx2-9,0.020171856055245095,Nkx2-9
MS00708|Rxrb,0.02059584949939218,Rxrb
MC00394|MYC,0.02097197686302494,MYC
MS00091|PKNOX1,0.021241308519482055,PKNOX1
M01177|SREBF2,0.021428159215258962,SREBF2
MS00243|Ascl2,0.021510681213937306,Ascl2
