,coefficients,cell_line,cell_type,tissue
3338,-0.39859431024351255,,Stromal Cell,Adipose
62069,0.2197756067845379,IMR90,Fibroblast,Lung
43209,0.16797644977270168,,,Pancreatic Islet
47175,0.16731922443662325,,Cortex,Brain
47198,0.16642107541140838,,Cortex,Brain
53044,0.13291310475859036,IOE11,Epithelium,Ovary
38278,0.12594377915684324,,Mesenchymal Stem Cell,Bone Marrow
61977,0.11514309397889332,IMR90,Fibroblast,Lung
38265,0.10360858840622199,,Mesenchymal Stem Cell,Bone Marrow
47200,-0.01858813733080603,,Cortex,Brain
