Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
VDR,M00444;4.59E-06,MC00412;2.88E-04,M00961;2.90E-03,,
Zbtb3,UP00031;1.04E-05,,,,
PPARG::RXRA,M00518;1.53E-05,M00515;2.72E-01,,,
Zfp281,UP00021;3.93E-05,,,,
SRF,MC00355;4.37E-05,,,,
INSM1,MA0155;5.27E-05,,,,
ATF4,M00514;1.01E-04,MS00293;6.18E-01,,,
ATF1,UP00020;1.03E-04,,,,
PPARG,MC00142;1.45E-04,MA0066;1.62E-01,,,
SMAD3,UP00000;1.53E-04,MS00080;2.97E-02,MC00503;1.29E-01,,
ZNF306,MS00401;2.08E-04,,,,
PAX4,M00378;2.53E-04,M00373;2.19E-02,MS00121;4.52E-01,,
ZNF589,M01109;2.59E-04,,,,
GLIS2,MS00035;2.96E-04,,,,
Tfcp2,MC00518;3.31E-04,,,,
TFAP2C,MC00374;3.82E-04,,,,
Ovol2,M01104;4.86E-04,,,,
OTX2,MS00585;4.88E-04,,,,
Zfp740,MS00512;5.41E-04,,,,
PLAG1,MA0163;5.63E-04,,,,
ZIC2,M00449;5.84E-04,UP00057;7.25E-03,,,
Ppara,MC00134;6.38E-04,,,,
Creb5,MS00313;6.47E-04,,,,
ZNF740,MS00445;6.50E-04,,,,
Pparg,MC00130;6.57E-04,,,,
ZNF219,M01122;7.41E-04,,,,
Egr2,MC00430;7.51E-04,,,,
Stat3,MC00140;7.52E-04,,,,
UBP1,M00644;7.92E-04,,,,
MAF,M00648;9.54E-04,M00983;5.97E-02,,,
MEIS1,UP00186;9.78E-04,MC00520;8.38E-01,,,
Tcfcp2l1,MA0145;1.09E-03,,,,
KLF15,M01714;1.16E-03,,,,
AHR,M00139;1.28E-03,,,,
KLF16,MS00146;1.45E-03,,,,
PAX8,M00717;1.46E-03,,,,
ZNF524,MS00423;1.48E-03,,,,
ZNF711,MC00477;1.52E-03,,,,
PATZ1,M00491;1.56E-03,,,,
MEIS2,MS00083;1.63E-03,,,,
EGR1,MC00320;1.69E-03,,,,
PAX1,M00326;1.83E-03,MS00117;7.28E-02,M00808;2.95E-01,,
Hic1,MS00101;2.03E-03,,,,
Pax5,MC00257;2.04E-03,,,,
ZIC1,M00448;2.04E-03,MS00334;4.07E-03,UP00102;8.57E-03,,
PAX5,MC00332;2.26E-03,M00143;1.13E-02,MA0014;4.87E-02,,
Glis2,UP00024;2.32E-03,,,,
ZBTB7B,M01175;2.38E-03,MS00312;6.20E-03,,,
GLI2,MS00843;2.40E-03,,,,
Rara,MC00252;2.47E-03,MS00698;1.59E-01,,,
RUNX2,MS00173;2.59E-03,MS00174;4.72E-02,MC00215;4.16E-01,,
RXRG,MS00694;2.66E-03,,,,
Klf1,MC00110;2.68E-03,,,,
Rhox11,UP00193;2.80E-03,MS00611;1.21E-01,,,
MYBL1,MS00100;2.91E-03,MS00097;6.12E-02,,,
ZBTB7A,MC00376;2.94E-03,MS00301;4.30E-03,M01100;9.69E-03,,
EGR2,MC00319;3.04E-03,,,,
ETS1,MC00278;3.07E-03,MS00851;5.37E-01,,,
RREB1,MA0073;3.11E-03,,,,
TFAP2B,MS00229;3.39E-03,MS00230;7.55E-03,MS00228;1.28E-02,,
SP3,MS00223;3.47E-03,M00665;6.61E-03,,,
Tcfap2a,MS00241;3.58E-03,MS00240;3.92E-03,MS00239;7.65E-03,,
TAL1,MC00458;3.65E-03,M00993;9.19E-01,,,
PRDM4,MS00726;3.77E-03,,,,
Ebf1,MC00358;3.88E-03,,,,
MAZ,M00649;3.88E-03,,,,
PGR,MC00170;4.09E-03,,,,
SP1,MS00212;4.14E-03,MC00113;3.23E-01,,,
PITX1,MS00595;4.18E-03,,,,
GCM1,MS00047;4.34E-03,MS00048;1.19E-01,,,
TFCP2,M00072;4.43E-03,MS00579;3.82E-02,,,
GMEB2,MS00183;4.67E-03,MS00182;1.16E-01,MS00721;5.92E-01,,
EGR3,MS00567;4.87E-03,,,,
ZNF143,MC00391;4.93E-03,,,,
EGR4,MS00678;5.11E-03,,,,
Rfx1,MC00144;5.17E-03,,,,
Tcfap2c,UP00087;5.18E-03,,,,
BACH1,M00495;5.29E-03,,,,
JDP2,MS00320;5.31E-03,MS00319;7.85E-02,,,
Klf7,UP00093;5.37E-03,,,,
TFAP2A,MC00530;5.40E-03,MS00227;8.60E-03,,,
ZNF263,MC00192;5.48E-03,,,,
GLI1,M01037;5.69E-03,,,,
RXRA,MC00467;5.79E-03,,,,
Zic3,UP00006;5.83E-03,MS00523;1.94E-02,,,
RARG,MS00684;5.84E-03,MS00680;5.87E-03,MS00682;2.89E-01,,
ESR2,MC00333;6.17E-03,,,,
Lhx8,UP00184;6.31E-03,MS00549;7.58E-01,MS00550;8.12E-01,MS00548;9.71E-01,
DMBX1,MS00433;6.49E-03,,,,
FOS,MC00330;6.56E-03,,,,
Meis2,MS00086;6.78E-03,MS00087;7.84E-03,,,
NR2C2,MC00509;7.13E-03,MS00651;2.88E-02,,,
KLF12,M00468;7.25E-03,,,,
TEAD4,MS00224;7.48E-03,,,,
ATF7,MS00294;7.52E-03,,,,
Rest,MC00125;7.65E-03,,,,
Jdp2,MS00325;7.65E-03,MS00324;8.44E-03,,,
GLIS1,MS00024;7.71E-03,,,,
Tcfap2b,UP00010;7.76E-03,,,,
HNF4A,MC00432;7.98E-03,UP00066;1.71E-01,,,
XBP1,UP00330;8.00E-03,MS00342;3.83E-02,,,
ESRRG,MS00638;8.09E-03,,,,
SP4,MS00235;8.39E-03,,,,
Obox5,M01480;8.39E-03,,,,
Hnf4a,MC00344;8.74E-03,,,,
Usf2,MC00169;9.09E-03,,,,
NHLH1,MS00274;9.26E-03,,,,
BCL6,MC00386;9.37E-03,M01171;6.04E-01,,,
HES5,MS00255;9.40E-03,,,,
RFX4,UP00056;9.41E-03,,,,
BACH2,M00490;9.83E-03,,,,
Tcfap2e,UP00028;1.02E-02,,,,
NR1H3,M00647;1.02E-02,,,,
PAX6,MS00125;1.04E-02,M00979;2.35E-01,UP00224;4.21E-01,,
NEUROD1,M01288;1.07E-02,,,,
Zfx,MC00328;1.07E-02,,,,
TBX2,MS00211;1.10E-02,MS00213;8.17E-02,,,
BATF,MC00411;1.16E-02,,,,
Gmeb1,UP00084;1.16E-02,,,,
Rxrg,MC00511;1.17E-02,,,,
Rfx2,MS00171;1.20E-02,MS00170;1.43E-01,,,
MEIS3,MS00085;1.21E-02,MS00084;1.25E-02,,,
ZIC4,MS00357;1.21E-02,,,,
GCM2,MS00050;1.21E-02,,,,
PITX3,MS00596;1.22E-02,,,,
NFIB,MS00114;1.23E-02,,,,
Zscan10,M01742;1.24E-02,,,,
ARID5B,M00454;1.25E-02,,,,
ATF2,M00179;1.27E-02,,,,
ZBTB33,MC00418;1.28E-02,M01119;6.18E-01,,,
E2F4,MC00523;1.28E-02,,,,
MTF1,MS00725;1.28E-02,M01243;4.41E-02,,,
Egr3,MS00789;1.30E-02,,,,
Klf4,MC00109;1.34E-02,,,,
THRB,MS00710;1.35E-02,MS00711;2.20E-02,MS00713;5.78E-02,,
WT1,M01118;1.35E-02,,,,
SP8,MS00246;1.35E-02,,,,
E2f3,MC00510;1.37E-02,,,,
PITX2,UP00125;1.39E-02,,,,
IKZF1,M00141;1.40E-02,M00088;5.95E-01,,,
CNTN2::CREB1,M00115;1.42E-02,,,,
JUN,MC00321;1.43E-02,,,,
Tead4,MC00157;1.44E-02,,,,
NR1I2,M00964;1.47E-02,,,,
RFX3,MC00203;1.48E-02,,,,
MEF2B,MS00075;1.48E-02,,,,
HIF1A,MC00316;1.54E-02,,,,
GLI3,M01596;1.55E-02,,,,
MYBL2,MS00105;1.56E-02,MS00103;6.70E-02,MS00102;1.44E-01,,
HINFP1,MS00079;1.57E-02,MS00090;7.99E-02,,,
CREB3L1,MS00304;1.58E-02,,,,
Nfic,MC00475;1.61E-02,,,,
ZBTB7C,MS00323;1.62E-02,,,,
PAX2,MS00118;1.63E-02,MA0067;2.33E-02,M00486;1.32E-01,,
TEAD3,MS00221;1.66E-02,MS00222;4.01E-02,,,
PAX9,MS00128;1.66E-02,,,,
FOXO4,MS00383;1.68E-02,MS00381;1.27E-01,,,
Tp53,MS00718;1.74E-02,MS00717;8.81E-01,,,
KLF13,MS00124;1.77E-02,,,,
GTF2I,M00706;1.77E-02,,,,
ZIC3,MS00346;1.80E-02,,,,
Esr1,MC00295;1.80E-02,,,,
JUNB,MC00371;1.80E-02,,,,
SREBF1,M00749;1.82E-02,M00220;9.38E-02,,,
TP73,MC00132;1.83E-02,,,,
MZF1,M01733;1.95E-02,,,,
MESP1,MS00264;2.01E-02,,,,
TP63,MC00439;2.06E-02,,,,
REST,MC00174;2.06E-02,,,,
GLIS3,MS00046;2.08E-02,,,,
TEAD1,MS00219;2.09E-02,MS00220;3.72E-01,,,
Irf4,UP00018;2.10E-02,MC00190;2.43E-01,,,
PBX3,MC00281;2.10E-02,,,,
HNF1B,M00646;2.12E-02,M01425;3.57E-01,MS00478;8.09E-01,,
CENPB,MS00534;2.14E-02,,,,
E2F6,MC00254;2.18E-02,M01252;2.51E-01,,,
Zfp423,MA0116;2.20E-02,,,,
JUND,MC00456;2.21E-02,,,,
IRF2,MA0051;2.22E-02,,,,
TFCP2L1,M01592;2.27E-02,,,,
IRF4,MS00065;2.36E-02,MC00227;1.16E-01,,,
FOXD3,MS00359;2.41E-02,MA0041;5.83E-01,MS00358;8.46E-01,,
GTF2IRD1,M01229;2.46E-02,M01241;1.39E-01,,,
SP2,M01783;2.49E-02,,,,
ESR1,MC00335;2.59E-02,,,,
