Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
CEBPB,54126;1.04E-27,54125;1.71E-25,54127;3.44E-24,71242;2.02E-20,71243;3.74E-20
BRD4,68711;7.66E-22,73513;9.87E-19,40217;2.45E-18,40221;4.81E-18,73525;1.50E-17
YAP1,55513;2.02E-21,55512;5.42E-18,54675;1.23E-15,54676;5.77E-15,54609;3.80E-06
FOS,1740;3.78E-21,45853;5.03E-17,46007;8.40E-16,46004;1.55E-15,45999;2.17E-14
FOSL2,54241;9.93E-21,46346;2.45E-19,63080;2.17E-12,62718;3.02E-12,63081;5.79E-12
MAX,33197;8.56E-20,46349;9.82E-13,38119;4.36E-09,45749;4.36E-09,45778;7.35E-09
ZNF202,73970;3.46E-18,62488;2.93E-02,62487;4.67E-01,,
TEAD1,56535;9.74E-18,54612;8.99E-15,54611;6.43E-14,56542;6.34E-13,48240;1.79E-10
FOXO1,54243;1.86E-17,75851;1.72E-02,58300;2.31E-02,58301;2.39E-02,75852;4.19E-01
PBX3,46358;2.20E-17,56901;1.58E-09,46082;6.46E-03,46121;1.67E-02,42859;1.00E+00
BHLHE40,64946;2.89E-17,64945;1.69E-13,45807;8.13E-03,45557;3.14E-02,42813;3.60E-02
SMAD3,39365;3.08E-17,39359;3.92E-11,47577;2.45E-06,276;5.15E-05,47576;1.48E-04
NR2F2,43165;6.74E-17,62909;2.00E-09,62908;2.35E-09,63319;2.53E-07,63318;9.66E-07
TP63,52301;3.81E-16,44759;1.40E-15,5206;8.10E-15,52302;2.91E-14,44767;1.51E-13
JUND,46351;4.69E-16,46036;1.34E-13,52501;1.53E-09,46213;2.01E-08,76277;9.80E-07
DAXX,54104;1.14E-15,54105;6.76E-09,,,
TAL1,44435;1.58E-15,44433;5.61E-15,37596;1.47E-04,72356;4.39E-04,67771;4.63E-04
GATA2,1742;1.98E-15,1743;2.17E-14,45852;6.01E-13,67748;3.73E-05,8412;7.89E-05
OSR2,65108;2.40E-15,63286;2.54E-06,63285;2.89E-06,,
NEUROG2,76818;2.42E-15,76811;6.22E-15,76814;1.59E-13,76817;2.14E-13,76812;1.00E-12
STAT3,45997;4.94E-15,34236;3.79E-13,46002;7.60E-13,46006;8.10E-07,45771;7.79E-06
RPE,49481;5.77E-15,,,,
