,0,TF
MS00423|ZNF524,1.8488325127712794e-05,ZNF524
UP00066|HNF4A,1.8970264792017363e-05,HNF4A
MS00713|THRB,1.9267864698032978e-05,THRB
MS00383|FOXO4,2.0540369863676216e-05,FOXO4
M00518|PPARG::RXRA,2.1814369617608298e-05,PPARG::RXRA
MC00132|TP73,2.2062935808327696e-05,TP73
MS00333|Mafb,2.2758460637340244e-05,Mafb
MS00260|HEY2,2.4572415933904724e-05,HEY2
MC00182|E2F1,2.5061282236038823e-05,E2F1
UP00001|E2F2,2.5261122262360376e-05,E2F2
M00085|ZBTB6,2.7675108980371157e-05,ZBTB6
MC00355|SRF,2.9360402257010843e-05,SRF
MC00252|Rara,2.9755891482078166e-05,Rara
MC00473|ATF3,3.1751515952244316e-05,ATF3
MS00274|NHLH1,3.553195732100153e-05,NHLH1
MC00203|RFX3,3.701005601620609e-05,RFX3
MS00118|PAX2,3.7576231109006174e-05,PAX2
MC00394|MYC,3.80321288594027e-05,MYC
MS00110|NFKB1,3.903862231130293e-05,NFKB1
MC00362|Arntl,3.9113545679945684e-05,Arntl
M01119|ZBTB33,4.485801241231368e-05,ZBTB33
MC00509|NR2C2,4.565210384172302e-05,NR2C2
M00737|E2F1::TFDP2,4.6731471660509576e-05,E2F1::TFDP2
MS00331|MAFK,4.8888017742080507e-05,MAFK
MS00024|GLIS1,5.2826912227644984e-05,GLIS1
MS00035|GLIS2,5.353515842270936e-05,GLIS2
MC00339|NFE2L2,5.619488670767056e-05,NFE2L2
M00514|ATF4,5.916257386965182e-05,ATF4
MS00258|HEY1,6.146037825858218e-05,HEY1
MC00195|Myf5,6.248308512278866e-05,Myf5
MS00323|ZBTB7C,6.444031893005474e-05,ZBTB7C
M01596|GLI3,6.848208782717236e-05,GLI3
MC00257|Pax5,6.897148913675345e-05,Pax5
UP00065|Zfp161,6.982363125512268e-05,Zfp161
M01229|GTF2IRD1,8.040749548348911e-05,GTF2IRD1
MC00427|ETV1,8.468571152590203e-05,ETV1
MC00128|CTCF,8.633461515060838e-05,CTCF
UP00003|E2F3,8.889724705858375e-05,E2F3
MC00439|TP63,9.10983723025667e-05,TP63
M00648|MAF,9.306087712347847e-05,MAF
MS00346|ZIC3,9.563085356617396e-05,ZIC3
MC00477|ZNF711,9.781326749979832e-05,ZNF711
MS00694|RXRG,0.00010068451003820607,RXRG
MS00534|CENPB,0.00010547866421307268,CENPB
MS00726|PRDM4,0.00011943386014712176,PRDM4
MS00268|YY2,0.00012269152398098463,YY2
M00792|SMAD1,0.0001248090519473678,SMAD1
M00341|GABPB1,0.00012617919326920573,GABPB1
MS00057|HIC2,0.00012689886277839857,HIC2
MS00208|TBX21,0.00012944023563087997,TBX21
UP00086|IRF3,0.00013594108334803487,IRF3
MS00157|Klf12,0.0001417914554129441,Klf12
MS00046|GLIS3,0.00014604303457836485,GLIS3
MC00523|E2F4,0.00014713384897052,E2F4
M01067|GFI1,0.00015255733394846529,GFI1
MA0073|RREB1,0.00015714758543481375,RREB1
MS00288|TFE3,0.00016694999026574444,TFE3
MS00808|TFEC,0.00017393912446900164,TFEC
M01742|Zscan10,0.00017438789058063425,Zscan10
M00222|TCF3,0.00018754970949221193,TCF3
M00993|TAL1,0.00018928791406884699,TAL1
MC00475|Nfic,0.0001974224885808508,Nfic
MS00174|RUNX2,0.0002038825435296102,RUNX2
MC00328|Zfx,0.0002074214516542703,Zfx
MC00174|REST,0.0002074421620034736,REST
MS00338|NRL,0.00021004205354996865,NRL
MS00115|NFIX,0.00021133277166965843,NFIX
MC00341|Olig2,0.00021812628154972856,Olig2
MS00386|FOXO6,0.0002267567294968157,FOXO6
MC00305|Sox6,0.00022811839151760837,Sox6
MS00705|Rarg,0.00023407144618840873,Rarg
MC00457|ELF1,0.00024279194373713048,ELF1
MS00285|TCF4,0.0002475032737302774,TCF4
M00072|TFCP2,0.00025854111312022493,TFCP2
MS00019|ETV5,0.00025878871159886813,ETV5
MA0017|NR2F1,0.0002988089238318218,NR2F1
M00179|ATF2,0.00031065831437886485,ATF2
UP00084|Gmeb1,0.00031876293453256884,Gmeb1
MC00278|ETS1,0.0003245601186825684,ETS1
M01248|NR0B1,0.0003262192478244591,NR0B1
MS00050|GCM2,0.0003345931454511149,GCM2
M01105|ZNF350,0.00035214195368397,ZNF350
MS00398|Foxk1,0.00037218871730632693,Foxk1
MS00267|MNT,0.0003747640941740078,MNT
MS00289|TFEB,0.00038791918418056763,TFEB
MS00296|BATF3,0.00039272755400885604,BATF3
MS00251|BHLHE41,0.0003944947657229424,BHLHE41
M01002|DEAF1,0.0004107482567707275,DEAF1
MS00211|TBX2,0.0004110929194399758,TBX2
MC00289|HSF1,0.0004123196705141898,HSF1
MC00140|Stat3,0.0004160526002755281,Stat3
MC00206|ELK1,0.00042683197549987344,ELK1
MS00162|RFX2,0.0004506032094590869,RFX2
M00327|PAX3,0.000450703481973795,PAX3
UP00423|Gm5454,0.0004772939403430989,Gm5454
MC00130|Pparg,0.0004872038014623788,Pparg
MS00490|ZSCAN4,0.0004980270145463011,ZSCAN4
UP00199|SIX4,0.0005050382200611767,SIX4
MC00356|Tbx21,0.0005086118389503544,Tbx21
M00736|E2F1::TFDP1,0.0005281645967848532,E2F1::TFDP1
MC00354|Neurod1,0.0005760259571463709,Neurod1
MS00291|Tcf21,0.0005939822101551272,Tcf21
MC00221|Tbx3,0.0006213618171489958,Tbx3
MS00304|CREB3L1,0.0006281823037659906,CREB3L1
MS00128|PAX9,0.000643191093780874,PAX9
UP00330|XBP1,0.0006474636554519642,XBP1
MS00117|PAX1,0.000668989552219531,PAX1
M00717|PAX8,0.0006765218994564603,PAX8
M00332|FOXN1,0.0007296777605792692,FOXN1
MC00168|ERG,0.0007543314855161117,ERG
MS00247|BHLHB2,0.0007647157895345024,BHLHB2
M01728|NR2F6,0.000775412354561013,NR2F6
MC00372|Yy1,0.0007759303065062764,Yy1
MC00337|Ikzf3,0.000802723445543389,Ikzf3
M01592|TFCP2L1,0.0008226555477133799,TFCP2L1
MS00571|NKX2-8,0.0008598718014883711,NKX2-8
M00155|NR2F2,0.0008711041138761298,NR2F2
MC00377|Trp53,0.0008958250811779818,Trp53
UP00038|Spdef,0.0009029079965602844,Spdef
MC00193|RELA,0.0009326038607920315,RELA
MS00327|MAFG,0.0009377856907419195,MAFG
MS00218|T,0.0009745351376505929,T
MS00216|TBX5,0.00102834534735605,TBX5
MC00299|BRCA1,0.0010692782483035725,BRCA1
UP00404|ELF2,0.0011169642034435674,ELF2
MS00179|SCRT1,0.0011561687828758424,SCRT1
MC00414|Atoh1,0.0011569991739782616,Atoh1
MA0131|HINFP,0.0011940540156233513,HINFP
MC00511|Rxrg,0.0012018720928462846,Rxrg
UP00011|IRF6,0.0012565267018026143,IRF6
MC00125|Rest,0.0012718267241251,Rest
MS00194|TBX19,0.0013217863509228092,TBX19
MS00177|RUNX3,0.0013323839916495575,RUNX3
