,0,TF
MS00061|HSFY2,0.7210597442156128,HSFY2
UP00243|Isx,0.7229944826925553,Isx
MS00422|Barhl1,0.7330288280145433,Barhl1
MC00272|CEBPB,0.7343984107700403,CEBPB
MS00433|DMBX1,0.7347494546533506,DMBX1
MS00621|VAX2,0.7351286167817943,VAX2
MS00302|CEBPG,0.7379659461776448,CEBPG
MS00059|HSF2,0.7381543266737896,HSF2
UP00196|HOXA4,0.7388304213743146,HOXA4
MS00033|SPDEF,0.7390871756873537,SPDEF
MS00096|TGIF2,0.74016059243205,TGIF2
MS00315|DBP,0.7404476970029983,DBP
UP00254|POU2F1,0.741675012187837,POU2F1
MS00269|MYF6,0.7460855094685697,MYF6
MS00106|NFAT5,0.7470936575515148,NFAT5
MC00141|Stat1,0.7503253061762855,Stat1
UP00112|Gsc,0.7542467997123243,Gsc
M01450|Obox1,0.7571025790576729,Obox1
MC00402|Hoxc9,0.7572552606110423,Hoxc9
MC00122|Cebpa,0.759317136058418,Cebpa
MS00497|HOXC11,0.7597630483703315,HOXC11
MS00627|VSX2,0.7613064658620959,VSX2
MS00585|OTX2,0.7637604672150371,OTX2
MC00105|Foxa2,0.7686780808120972,Foxa2
UP00161|Hmbox1,0.7707009976234587,Hmbox1
MC00226|Nanog,0.777162690215988,Nanog
UP00388|SIX6,0.7778643504726652,SIX6
MS00521|Hoxd3,0.780623946293347,Hoxd3
M00632|GATA4,0.7817158906441,GATA4
MC00211|NFATC1,0.7863935805623333,NFATC1
MS00053|TCF7L1,0.7871154818080739,TCF7L1
MS00299|CEBPD,0.7919941850436418,CEBPD
MC00352|Nr5a2,0.7922814049774014,Nr5a2
MS00553|MEOX2,0.7994455518546703,MEOX2
MA0051|IRF2,0.8008322628736637,IRF2
MS00506|HOXD11,0.8063342420588319,HOXD11
MS00446|EN1,0.8066904451842001,EN1
MS00272|NEUROG2,0.8093925532377915,NEUROG2
MS00055|HOMEZ,0.8104374968699288,HOMEZ
UP00044|Mafk,0.8141784823130911,Mafk
MS00537|LHX2,0.8145763430143519,LHX2
MS00441|EMX1,0.8198186237556369,EMX1
UP00158|POU1F1,0.8207112427253813,POU1F1
MS00475|HMX3,0.8301760938381799,HMX3
MS00153|POU5F1P1,0.8308216485715096,POU5F1P1
UP00197|HOXC9,0.8316673401469462,HOXC9
UP00132|Evx2,0.8337789830082264,Evx2
M00478|CDC5L,0.8417261449882318,CDC5L
UP00261|LHX4,0.8425846139663654,LHX4
MS00354|FOXC2,0.844689098976481,FOXC2
MS00487|HOXA2,0.8447608509830566,HOXA2
M01480|Obox5,0.8473221074300413,Obox5
UP00148|Hdx,0.8478183352626101,Hdx
MS00092|PKNOX2,0.8494667235368909,PKNOX2
M00678|ETV7,0.8543320054495915,ETV7
MS00419|BSX,0.8576215359577201,BSX
MC00231|MEF2C,0.8596147722669758,MEF2C
MS00543|LMX1A,0.8623723999343632,LMX1A
MS00595|PITX1,0.862600031790287,PITX1
MS00606|RAX,0.8646416832051917,RAX
MS00597|PROP1,0.8754179916934124,PROP1
MS00514|Hoxa11,0.8761273878789716,Hoxa11
MS00147|POU3F4,0.8789903598666964,POU3F4
MS00466|GSX2,0.8805158814061381,GSX2
UP00164|HOXA7,0.8839979169556453,HOXA7
M00454|ARID5B,0.8853997143447873,ARID5B
UP00391|HOXA3,0.8866153295003865,HOXA3
MS00093|Pknox2,0.8869803307000973,Pknox2
MS00040|SPIC,0.8899114659079564,SPIC
UP00129|Pou3f1,0.890803528659313,Pou3f1
M01195|TBX22,0.8915549250318902,TBX22
MS00563|Meox2,0.8937238060375607,Meox2
MS00496|HOXC10,0.8965270819802131,HOXC10
MS00276|OLIG1,0.8985844710953353,OLIG1
MS00452|ESX1,0.9030266822105608,ESX1
UP00151|BARX2,0.9049628840056715,BARX2
MC00233|Pou5f1,0.9052792344095157,Pou5f1
UP00071|Sox21,0.9091755859309245,Sox21
UP00221|PHOX2A,0.9114094829096279,PHOX2A
MS00757|SOX21,0.9129099909294223,SOX21
MS00095|TGIF2LX,0.9132334393651518,TGIF2LX
M00999|AIRE,0.9137394443121946,AIRE
MS00527|IRX5,0.9146769088420684,IRX5
MS00437|DRGX,0.9154873354814308,DRGX
MS00148|POU4F1,0.9170198124726561,POU4F1
MS00438|DUXA,0.9173202816714654,DUXA
MS00794|Sox10,0.9196735111999834,Sox10
UP00147|Nkx2-6,0.9199814291763234,Nkx2-6
MS00517|Hoxc10,0.9212765193007967,Hoxc10
MS00476|HNF1A,0.9223891691918911,HNF1A
UP00185|PBX1,0.9233893153349668,PBX1
MS00408|Alx4,0.9235016104701803,Alx4
UP00260|Hoxc6,0.9271341978117118,Hoxc6
M00294|Foxf1a,0.9276372114347307,Foxf1a
MS00539|LHX6,0.9279755819599306,LHX6
MS00602|PRRX1,0.9283044668276244,PRRX1
MC00507|Meis1,0.9286867264074309,Meis1
UP00140|Hoxd1,0.9288357311209517,Hoxd1
MS00143|POU3F3,0.9317852491300805,POU3F3
MS00797|Sox17,0.9326259427500962,Sox17
UP00125|PITX2,0.9332075315602779,PITX2
UP00218|Dbx2,0.9334393975630589,Dbx2
MS00559|MSX1,0.9344771410595943,MSX1
M01148|DMRT3,0.9353046552957092,DMRT3
MS00578|NOTO,0.9364546639469642,NOTO
UP00114|Homez,0.9366120810741243,Homez
MS00316|Dbp,0.936841174613575,Dbp
MS00403|ALX3,0.9375686394308261,ALX3
UP00214|HOXB5,0.938702931160662,HOXB5
UP00004|Sox14,0.9388898320738548,Sox14
UP00237|Otp,0.939472501244885,Otp
MC00389|CDX2,0.9399585760586653,CDX2
MS00366|FOXJ2,0.9402554810301647,FOXJ2
UP00186|MEIS1,0.9415057815416902,MEIS1
MS00407|Alx1,0.9418430692307802,Alx1
MS00489|HOXB13,0.9421097241803771,HOXB13
MC00119|GATA3,0.9424568426050418,GATA3
UP00126|DLX2,0.942611376589894,DLX2
MS00603|PRRX2,0.9428738822462953,PRRX2
MS00149|POU4F2,0.9431902280663923,POU4F2
UP00211|Pou3f3,0.9435802587518551,Pou3f3
UP00238|Nkx6-3,0.9437641005844466,Nkx6-3
UP00030|Sox11,0.9440005217655996,Sox11
MS00134|POU2F2,0.9441937294435685,POU2F2
MS00505|HOXC13,0.9460574416925679,HOXC13
MS00197|TBX1,0.9466678676580117,TBX1
MS00405|ARX,0.9482004226876368,ARX
MC00154|Jund,0.949445651177679,Jund
MC00378|POU5F1,0.950805183605966,POU5F1
MS00427|DLX1,0.9516824715229812,DLX1
MS00731|ZNF713,0.9519150912444966,ZNF713
MS00492|HOXB3,0.9523011904884033,HOXB3
MS00616|UNCX,0.9547612068840143,UNCX
MS00245|BHLHA15,0.9555872080454002,BHLHA15
UP00215|Vax1,0.9559048972444563,Vax1
MC00269|SOX2,0.9617762117941437,SOX2
MS00526|IRX2,0.962836816698623,IRX2
M01650|NR2E3,0.9630439717278836,NR2E3
MS00459|GBX1,0.9632561246587777,GBX1
MS00412|ZNF410,0.9634234403600292,ZNF410
MS00126|PAX7,0.9641574974139724,PAX7
MS00516|Hoxa2,0.9642688317886882,Hoxa2
UP00128|POU3F2,0.9645215795489533,POU3F2
M01435|Rhox6,0.9654097412467676,Rhox6
MS00450|EN2,0.9658696213730353,EN2
UP00244|TLX2,0.9682964153704359,TLX2
UP00119|Nkx2-9,0.9683012270641654,Nkx2-9
MS00458|En2,0.9688664475093056,En2
MS00589|PDX1,0.9688953220412233,PDX1
MC00178|Nkx2-5,0.9703176480681706,Nkx2-5
MS00155|POU6F2,0.9704580515044603,POU6F2
MS00511|HOXD13,0.9732886275966142,HOXD13
MS00151|POU4F3,0.9746721779744502,POU4F3
MS00075|MEF2B,0.974745167937066,MEF2B
MC00303|Sox2,0.9748103423755877,Sox2
MS00464|GSC,0.9753663678128434,GSC
MS00547|Lhx4,0.9754376855564002,Lhx4
MS00581|Nkx6-1,0.9755453382857378,Nkx6-1
MS00467|Gbx1,0.9764247634029848,Gbx1
MS00280|OLIG3,0.9764725125231413,OLIG3
MS00473|HMX1,0.9773749911494467,HMX1
MS00575|NKX6-1,0.977684406344307,NKX6-1
MS00586|Otx1,0.9783075613793877,Otx1
MS00564|Msx3,0.978472136249313,Msx3
MC00505|POLR2B,0.9787030267164124,POLR2B
M00465|POU6F1,0.9797061637534182,POU6F1
MS00318|Hlf,0.9810739192063367,Hlf
MS00439|Dlx1,0.9811593015429685,Dlx1
MS00249|BHLHE22,0.9816772922215371,BHLHE22
MC00146|Smad2/3,0.9823706598387113,Smad2/3
MA0084|SRY,0.9824560565198375,SRY
MS00513|HOXD8,0.983139460107539,HOXD8
UP00206|Hoxb7,0.9832066184857376,Hoxb7
UP00138|Bsx,0.9839165962198854,Bsx
MS00732|CPEB1,0.9845194622567458,CPEB1
MS00076|MEF2D,0.9845902430737271,MEF2D
UP00120|Lbx2,0.9845961054225637,Lbx2
MS00770|SOX7,0.9850715567261092,SOX7
MS00531|ISX,0.9854391025014375,ISX
MS00577|NKX6-2,0.9855251240093404,NKX6-2
UP00189|HOXA5,0.986997991124978,HOXA5
UP00166|BARHL1,0.9874531189492163,BARHL1
MS00486|HOXA1,0.9876058425681173,HOXA1
UP00263|Hoxb8,0.9876659202715612,Hoxb8
MS00430|DLX4,0.9879561436517321,DLX4
M01723|SATB1,0.988252042605039,SATB1
M01300|HMGA2,0.9884017092271324,HMGA2
UP00170|Isl2,0.9887097690785203,Isl2
UP00248|Pax7,0.9891341364393068,Pax7
UP00121|Hoxd10,0.9891548301652642,Hoxd10
MS00800|Sox1,0.9892458773827284,Sox1
MS00474|HMX2,0.9899591889713802,HMX2
MS00250|BHLHE23,0.9899835628927246,BHLHE23
MS00541|LHX9,0.9900210616041133,LHX9
M01147|DMRT2,0.990101108762492,DMRT2
MS00613|SHOX2,0.9901327597404329,SHOX2
MS00615|Shox2,0.9903763336107279,Shox2
UP00213|HOXA9,0.9905872426139627,HOXA9
UP00168|Hoxd8,0.9909241500288978,Hoxd8
MS00470|HESX1,0.9911619407110408,HESX1
MS00432|DLX6,0.9916855202041951,DLX6
MA0040|Foxq1,0.9919206980967733,Foxq1
UP00259|HOXB6,0.9920471212813319,HOXB6
MS00593|PHOX2B,0.9920836894389216,PHOX2B
MC00162|LMO2,0.9921575294099286,LMO2
UP00155|Hmx2,0.9922443115970699,Hmx2
MC00120|GATA1,0.9925343058741221,GATA1
M01149|Dmrta1,0.9925436725633653,Dmrta1
MS00136|POU2F3,0.9927715630021113,POU2F3
MC00504|Scx,0.9929697671371028,Scx
MS00041|Spic,0.9931481449133437,Spic
UP00207|HOXB9,0.993161147624942,HOXB9
MC00455|Cdx2,0.9932434287171034,Cdx2
MS00748|SOX14,0.9935348106688795,SOX14
UP00078|ARID3A,0.9936891538231631,ARID3A
MS00460|GBX2,0.9949584256934758,GBX2
M01230|ZNF333,0.9949889800588637,ZNF333
MA0125|Nobox,0.9950861172235823,Nobox
MC00276|EOMES,0.995379403645374,EOMES
UP00107|Nkx2-4,0.9954463056045727,Nkx2-4
MS00431|DLX5,0.9955488028991266,DLX5
UP00182|HOXA6,0.99560678103332,HOXA6
M00420|MEIS1::HOXA9,0.9958655457396604,MEIS1::HOXA9
MS00604|Prrx2,0.9960970529552594,Prrx2
UP00051|Sox8,0.9961190982228024,Sox8
MS00582|OTX1,0.9961669707064268,OTX1
MS00191|TBR1,0.9962849302782659,TBR1
MS00628|Vsx1,0.996335372906937,Vsx1
MS00605|RAXL1,0.996488615988885,RAXL1
UP00223|Irx3,0.9965531352930427,Irx3
MC00327|Gata1,0.9966979703656452,Gata1
MS00614|SHOX,0.9967772649842219,SHOX
M01151|Dmrtc2,0.9969376560647459,Dmrtc2
MC00514|Cbfa2t2,0.9970856978587842,Cbfa2t2
MS00429|DLX3,0.9973537977909087,DLX3
MS00805|Sox3,0.9974976520948469,Sox3
MS00491|HOXB2,0.9977384149461651,HOXB2
MS00561|MSX2,0.997786557542519,MSX2
MC00474|BCL11A,0.9978089798598527,BCL11A
MS00277|OLIG2,0.998022552280176,OLIG2
MC00117|GATA6,0.9980597253291651,GATA6
MS00690|ONECUT3,0.9981674334350201,ONECUT3
UP00023|Sox30,0.9981766810762608,Sox30
MS00469|Gbx2,0.9981904963932515,Gbx2
MS00750|SOX15,0.9982365665149745,SOX15
MS00667|ONECUT1,0.9983947159639651,ONECUT1
MS00454|EVX1,0.9986941833087951,EVX1
MC00411|BATF,0.9987957315587596,BATF
M01004|IKZF2,0.998840291875197,IKZF2
MC00118|GATA2,0.9988610402445449,GATA2
MC00324|Gata4,0.9989263342342017,Gata4
MS00634|CUX2,0.9990136557069849,CUX2
MC00165|Pdx1,0.9991479461974235,Pdx1
MS00424|CART1,0.9991526311116106,CART1
UP00150|IRX6,0.999314672374733,IRX6
MS00455|EVX2,0.9993493527995266,EVX2
MS00501|Zfp652,0.9993746480580598,Zfp652
M01150|Dmrta2,0.9993842763972818,Dmrta2
UP00055|HBP1,0.9994464064050903,HBP1
UP00242|HOXC8,0.9994940825227387,HOXC8
UP00075|Sox15,0.999605385678664,Sox15
MS00679|ONECUT2,0.999626750935601,ONECUT2
UP00241|HOXD3,0.9997132549124838,HOXD3
M01075|ZBTB16,0.9997320780967458,ZBTB16
UP00091|SOX5,0.999738401416761,SOX5
MS00440|Dlx2,0.9997499571268714,Dlx2
UP00101|Sox12,0.9997696749301169,Sox12
MC00326|Gata3,0.9997946840843821,Gata3
MC00325|Gata2,0.9998142359999488,Gata2
MS00551|MEOX1,0.9998595029961731,MEOX1
M01146|DMRT1,0.9998598887557282,DMRT1
M01483|Dbx1,0.999869447737561,Dbx1
MC00260|Pax3,0.9999017827182437,Pax3
UP00194|IRX4,0.9999112762766651,IRX4
MS00624|VENTX,0.9999167899490787,VENTX
UP00080|Gata5,0.9999325855121862,Gata5
UP00064|Sox18,0.9999377569218594,Sox18
UP00082|Zfp187,0.9999484933433406,Zfp187
MS00753|SOX18,0.9999491497036865,SOX18
MS00425|CDX1,0.9999591603969701,CDX1
UP00034|Sox7,0.9999605140554737,Sox7
MS00555|MIXL1,0.9999745488031931,MIXL1
UP00096|SOX13,0.9999871068433243,SOX13
UP00012|Bbx,0.9999887895318581,Bbx
UP00037|Zfp105,0.9999973391007463,Zfp105
MS00045|GATA5,0.9999986658720567,GATA5
