,coefficients,cell_line,cell_type,tissue
40897,0.4936510184331138,,Myoblast,Skeletal Muscle
40886,0.4526030902473016,NHDF-neo,Fibroblast,Skin
5021,-0.20507847750986763,BJ,Fibroblast,Skin
40694,0.20266289266114124,H1,Embryonic Stem Cell,Embryo
40748,0.13107216016945847,,Epithelium,Fetal Heart
3176,-0.07742009846788847,,Epithelium,Fetal Heart
40885,-0.0670814909887587,LHCN-M2,Myoblast,Skeletal Muscle
40695,0.0662941301831327,,Fibroblast,Foreskin
45008,0.0348540647328078,,Epithelium,
40598,0.005900645670294161,,Epithelium,
