Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
SMAD4,M00733;4.81E-07,MC00392;4.28E-04,,,
ZNF263,MC00192;6.28E-06,,,,
KLF15,M01714;6.46E-06,,,,
MAZ,M00649;6.57E-06,,,,
Esr1,MC00295;6.86E-06,,,,
NFKB2,MS00111;7.51E-06,,,,
Zfp423,MA0116;8.81E-06,,,,
PLAG1,MA0163;1.36E-05,,,,
MZF1,M01733;1.40E-05,,,,
ESR1,MC00335;1.89E-05,,,,
TFAP2B,MS00229;2.27E-05,MS00230;2.97E-04,MS00228;3.37E-04,,
Zfp281,UP00021;2.43E-05,,,,
EGR2,MC00319;2.64E-05,,,,
ZBTB7B,M01175;2.82E-05,MS00312;1.00E-03,,,
AR,MC00468;3.21E-05,,,,
NR1H3,M00647;3.39E-05,,,,
ZFP42,M01744;3.55E-05,,,,
Ebf1,MC00358;3.56E-05,,,,
ZNF589,M01109;3.80E-05,,,,
PAX4,M00378;4.24E-05,M00373;3.05E-03,MS00121;7.81E-01,,
ZNF219,M01122;4.50E-05,,,,
PLAGL1,UP00088;4.63E-05,,,,
ESR2,MC00333;4.77E-05,,,,
Egr2,MC00430;5.17E-05,,,,
Tcfap2a,MS00240;5.24E-05,MS00239;1.69E-04,MS00241;1.89E-04,,
HIC1,UP00035;5.69E-05,,,,
KLF12,M00468;5.69E-05,,,,
SP8,MS00246;5.79E-05,,,,
ZBTB49,MS00727;6.04E-05,,,,
PATZ1,M00491;6.68E-05,,,,
INSM1,MA0155;6.93E-05,,,,
Foxg1,MS00392;7.15E-05,MS00393;2.55E-01,,,
Rela,MC00135;7.66E-05,,,,
EGR3,MS00567;8.02E-05,,,,
ZIC1,UP00102;8.12E-05,M00448;6.12E-04,MS00334;4.29E-03,,
ZBTB7A,MC00376;8.25E-05,M01100;9.70E-05,MS00301;2.13E-04,,
GTF2I,M00706;8.63E-05,,,,
Mxi1,MC00373;9.08E-05,,,,
HMGN1,MC00502;1.03E-04,,,,
KLF16,MS00146;1.04E-04,,,,
E2F6,MC00254;1.09E-04,M01252;3.24E-01,,,
Klf1,MC00110;1.12E-04,,,,
Egr3,MS00789;1.15E-04,,,,
Zic3,UP00006;1.16E-04,MS00523;1.59E-03,,,
Etv6,UP00418;1.22E-04,,,,
Zfp740,MS00512;1.23E-04,,,,
SP3,MS00223;1.28E-04,M00665;4.06E-04,,,
MTF1,M01243;1.47E-04,MS00725;2.03E-03,,,
MAX,MC00124;1.47E-04,,,,
Tcfap2e,UP00028;1.66E-04,,,,
TFAP2C,MC00374;1.67E-04,,,,
REL,MA0101;1.75E-04,,,,
Rfx1,MC00144;1.81E-04,,,,
TFAP2A,MC00530;1.81E-04,MS00227;1.90E-04,,,
KLF13,MS00124;1.86E-04,,,,
EGR1,MC00320;1.88E-04,,,,
Klf4,MC00109;1.90E-04,,,,
KLF14,MS00135;1.91E-04,,,,
HES1,M01009;2.03E-04,,,,
EGR4,MS00678;2.03E-04,,,,
Irf4,UP00018;2.06E-04,MC00190;7.57E-01,,,
Ovol2,M01104;2.07E-04,,,,
Tcfap2b,UP00010;2.16E-04,,,,
Mycn,MC00532;2.17E-04,,,,
HES5,MS00255;2.33E-04,,,,
