Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
YAP1,55513;2.77E-18,55512;1.46E-16,54676;1.05E-12,54675;3.26E-10,55292;5.41E-08
TEAD1,56535;7.69E-18,54611;1.88E-16,56542;6.83E-14,48240;1.45E-08,54612;2.24E-07
CEBPB,71242;2.26E-16,45861;2.07E-14,71243;4.46E-14,73535;1.35E-13,54126;2.05E-13
BRD4,68711;3.30E-16,73525;6.32E-12,73510;2.37E-11,73526;2.97E-11,68715;4.83E-10
GLIS1,65214;1.16E-15,63689;2.89E-10,63690;2.18E-06,38673;5.02E-01,
TFAP2C,39978;3.44E-15,9508;6.14E-10,49630;1.12E-08,45770;1.22E-08,9510;1.35E-07
FOSL2,54241;5.16E-15,46346;2.15E-10,62753;1.10E-09,62718;1.34E-09,63298;2.33E-09
KLF11,50412;1.68E-14,50413;9.95E-11,50414;6.43E-10,50415;1.30E-07,42728;7.10E-01
EGR2,65147;2.10E-14,65179;4.28E-10,64860;3.32E-07,64861;4.31E-05,34563;7.57E-04
MAZ,45867;3.16E-14,65115;1.10E-11,45788;1.51E-04,45661;4.01E-04,45761;9.56E-04
TCF21,52495;7.11E-14,52496;2.79E-11,52498;1.79E-08,52497;3.15E-05,
AR,56670;7.49E-14,56669;1.87E-12,48086;1.85E-09,48085;2.44E-09,48096;1.20E-07
TAL1,44433;9.70E-14,44435;2.24E-13,37596;7.45E-06,50576;1.81E-04,43447;3.44E-04
SP1,65151;2.98E-13,70815;1.52E-06,46060;8.28E-06,70811;3.22E-05,46234;4.66E-05
NEUROG2,76812;3.32E-13,76811;6.88E-12,76817;1.19E-11,76818;1.24E-10,76814;2.23E-09
SMAD3,39365;3.37E-13,39359;5.59E-10,276;6.16E-04,47577;1.27E-03,47584;1.95E-03
TFAP2A,56820;3.72E-13,56821;6.24E-12,2402;1.55E-11,2401;2.30E-11,56819;3.10E-10
DAXX,54104;4.61E-13,54105;8.53E-07,,,
TEAD4,55297;7.59E-13,46348;2.60E-08,41391;5.07E-08,56543;6.39E-08,46107;8.65E-05
NR2F1,56817;8.98E-13,56818;1.70E-03,38640;1.41E-02,64996;2.73E-02,64997;1.46E-01
JUN,45744;1.33E-12,45848;1.13E-11,55299;5.15E-11,56633;1.13E-08,56632;1.43E-08
NR2F2,43165;1.73E-12,62908;1.17E-05,62909;4.33E-05,46309;5.67E-04,63318;1.93E-03
SPI1,55393;2.14E-12,55390;5.01E-08,53298;1.23E-05,55394;1.45E-05,55397;2.37E-05
MXI1,45866;2.42E-12,46038;6.11E-08,45810;2.40E-03,45774;6.45E-02,45879;4.97E-01
MYC,70810;2.78E-12,70561;1.52E-10,46008;2.44E-08,76149;3.90E-07,45745;8.15E-07
PR,33569;4.22E-12,33571;2.00E-10,39770;1.26E-09,39767;5.80E-07,53983;7.06E-07
MAX,33197;7.24E-12,46349;3.76E-11,37173;8.21E-07,38119;5.04E-06,45749;5.04E-06
BHLHE40,64946;1.30E-11,64945;3.03E-11,7302;2.67E-05,45632;3.63E-04,45557;6.18E-03
ZFP64,65123;1.35E-11,65122;9.48E-10,65130;1.48E-02,63982;4.05E-02,63981;1.09E-01
TCF12,46362;1.53E-11,37602;1.65E-04,46085;4.16E-03,40162;4.44E-03,9198;1.66E-02
MED1,49484;2.50E-11,53592;3.52E-09,53593;7.48E-08,53594;1.08E-06,53595;1.83E-06
EGR3,65186;2.93E-11,,,,
ZNF467,65062;3.54E-11,,,,
SP2,65084;4.90E-11,64559;9.50E-05,64560;2.45E-03,46287;6.41E-01,38843;6.46E-01
HES2,62645;6.52E-11,64961;2.39E-08,63552;2.92E-08,64217;8.33E-08,64118;1.44E-07
ZBTB7A,46102;9.40E-11,46224;5.95E-07,67683;5.64E-04,46295;2.63E-03,67686;3.36E-03
FOXO1,54243;9.55E-11,75851;3.79E-02,58301;1.16E-01,58300;4.13E-01,75852;7.22E-01
PPARG,4495;1.48E-10,50409;1.46E-09,50408;3.77E-09,50411;1.38E-08,4494;5.78E-07
FOS,1740;1.61E-10,46007;2.27E-10,46005;3.30E-09,45853;5.51E-09,1741;7.45E-09
ZBTB14,65146;2.33E-10,,,,
MEF2B,53874;4.04E-10,53873;2.25E-08,53877;5.46E-05,53878;3.82E-02,55548;1.56E-01
SP4,65111;4.22E-10,65110;7.28E-10,65112;1.56E-01,46179;9.86E-01,
NR3C1,63196;4.51E-10,64862;5.43E-10,64333;1.08E-09,64331;1.29E-09,64864;2.81E-09
IKZF2,64556;5.29E-10,64555;1.22E-07,,,
E2F7,38591;5.77E-10,38589;8.18E-10,38586;1.11E-08,38590;3.40E-05,38588;1.34E-02
KLF9,49949;6.16E-10,62800;1.07E-05,62799;1.02E-04,62637;1.45E-03,62636;2.24E-03
ZNF341,65129;6.36E-10,62931;3.01E-07,62930;6.37E-06,,
KLF15,65197;6.88E-10,65072;2.03E-09,65198;5.43E-05,42729;6.57E-01,
RELA,53598;6.94E-10,53596;1.46E-09,32899;5.17E-08,53597;2.24E-07,5389;2.44E-07
NFIC,46343;7.03E-10,46101;1.08E-05,46111;1.42E-01,46240;5.77E-01,
SNAI2,48334;7.45E-10,48337;3.52E-07,48340;5.06E-07,48339;1.03E-06,48343;6.08E-06
JUND,46351;7.58E-10,45743;7.05E-09,52501;1.16E-08,46036;2.46E-07,5925;7.74E-06
EBF3,76849;8.97E-10,76847;6.43E-04,76846;5.95E-03,76848;1.23E-01,76844;4.05E-01
PBX3,46358;9.02E-10,56901;2.51E-04,46121;1.99E-01,46082;3.86E-01,42859;1.00E+00
KDM2B,58062;9.03E-10,58086;1.45E-09,58079;3.20E-09,58083;1.11E-05,58081;1.27E-05
ZNF202,73970;9.52E-10,62488;1.20E-02,62487;5.38E-01,,
PGR,54240;1.02E-09,,,,
ZNF92,49482;1.49E-09,,,,
ZNF770,65164;1.90E-09,,,,
ZBTB42,65139;2.09E-09,,,,
ESR1,33135;2.49E-09,53963;9.26E-08,33491;2.34E-07,33520;2.39E-07,33127;2.75E-07
FOXA1,67596;2.56E-09,67614;9.93E-09,71807;4.74E-08,67598;1.56E-07,73187;1.62E-06
MYOD1,36077;3.72E-09,36075;3.32E-08,75839;1.34E-05,42734;7.93E-01,
ATF3,32784;5.21E-09,68464;2.31E-06,64077;2.54E-05,63683;1.09E-04,64076;2.48E-04
