,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
55513|YAP1,3.314669231221492e-09,Homo sapiens,YAP1,other,IMR90,Fibroblast,Lung,1,YAP1
56535|TEAD1,1.4938966572497504e-08,Homo sapiens,TEAD1,tf,None,None,None,1,TEAD1
65214|GLIS1,3.9290389939170754e-08,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1,GLIS1
48334|SNAI2,1.0710205563120807e-07,Homo sapiens,SNAI2,tf,None,Keratinocyte,None,0,SNAI2
45567|CTCF,3.7999154778888223e-07,Homo sapiens,CTCF,tf,AG09319,Fibroblast,Gingiva,1,CTCF
33135|ESR1,3.8503790785271023e-07,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1,ESR1
45744|JUN,5.715330605227889e-07,Homo sapiens,JUN,tf,HeLa-S3,Epithelium,Cervix,1,JUN
4495|PPARG,5.827805181524164e-07,Homo sapiens,PPARG,tf,None,Stromal Cell,Adipose,0,PPARG
46351|JUND,6.749183358612844e-07,Homo sapiens,JUND,tf,SK-N-SH,Neuroblastoma cell,Brain,1,JUND
65151|SP1,8.116370473752837e-07,Homo sapiens,SP1,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP1
62940|CEBPB,8.634707710856697e-07,Homo sapiens,CEBPB,tf,A549,Epithelium,Lung,1,CEBPB
76849|EBF3,1.2771398258317645e-06,Homo sapiens,EBF3,tf,SK-N-SH,Neuroblastoma cell,Brain,1,EBF3
39978|TFAP2C,1.4602720591613553e-06,Homo sapiens,TFAP2C,predicted transcription factor,A375,None,Skin,1,TFAP2C
65062|ZNF467,1.564291964603619e-06,Homo sapiens,ZNF467,,HEK293,Epithelium,Embryonic Kidney,1,ZNF467
65186|EGR3,2.8517048146461638e-06,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
65123|ZFP64,3.6339725227707254e-06,Homo sapiens,ZFP64,,HEK293,Epithelium,Embryonic Kidney,1,ZFP64
54241|FOSL2,4.711802592730092e-06,Homo sapiens,FOSL2,tf,None,Stromal Cell,Endometrium,1,FOSL2
52495|TCF21,8.177154292796973e-06,Homo sapiens,TCF21,tf,None,None,Coronary artery smooth muscle,1,TCF21
68711|BRD4,8.93757769013385e-06,Homo sapiens,BRD4,cr,IMR90,None,None,1,BRD4
