,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
48334|SNAI2,2.50100825648639e-10,Homo sapiens,SNAI2,tf,None,Keratinocyte,None,0
55513|YAP1,5.968313817238861e-10,Homo sapiens,YAP1,other,IMR90,Fibroblast,Lung,1
56535|TEAD1,2.749389927768728e-09,Homo sapiens,TEAD1,tf,None,None,None,1
54611|TEAD1,1.8336855514324253e-08,Homo sapiens,TEAD1,tf,SF268,None,None,1
70810|MYC,5.599913374771442e-08,Homo sapiens,MYC,tf,HCT-116,Colon cancer cell,Colon,1
65151|SP1,5.814254450799005e-08,Homo sapiens,SP1,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1
56542|TEAD1,2.986785588875861e-07,Homo sapiens,TEAD1,tf,HuCCT1,None,None,1
46351|JUND,3.329092265391357e-07,Homo sapiens,JUND,tf,SK-N-SH,Neuroblastoma cell,Brain,1
4495|PPARG,3.961940990577219e-07,Homo sapiens,PPARG,tf,None,Stromal Cell,Adipose,0
55512|YAP1,4.930512718435274e-07,Homo sapiens,YAP1,other,IMR90,Fibroblast,Lung,1
62940|CEBPB,6.436746413510224e-07,Homo sapiens,CEBPB,tf,A549,Epithelium,Lung,1
71242|CEBPB,6.478517181713128e-07,Homo sapiens,CEBPB,tf,None,Osteoblast,None,1
33127|ESR1,9.087596348448994e-07,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
39365|SMAD3,1.3572104327862882e-06,Homo sapiens,SMAD3,tf,LX2,Hepatic Stellate Cell,None,1
45848|JUN,1.8429719214793748e-06,Homo sapiens,JUN,tf,None,Endothelial Cell,Umbilical Vein,1
33135|ESR1,2.098726590060347e-06,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
71243|CEBPB,2.2413295896600455e-06,Homo sapiens,CEBPB,tf,None,Osteoblast,None,1
37635|ERG,2.4476307876404484e-06,Homo sapiens,ERG,other,K562,Erythroblast,Bone Marrow,0
48240|TEAD1,2.7548697509594684e-06,Homo sapiens,TEAD1,tf,RD,None,Muscle,1
62718|FOSL2,2.8749585274026583e-06,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
62753|FOSL2,2.9879144497436064e-06,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
63665|CEBPB,3.239758327476345e-06,Homo sapiens,CEBPB,tf,A549,Epithelium,Lung,1
63919|FOSL2,3.798068237388079e-06,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
55297|TEAD4,4.081972742927684e-06,Homo sapiens,TEAD4,tf,MDA-MB-231,Epithelium,Breast,1
49630|TFAP2C,5.131152556553988e-06,Homo sapiens,TFAP2C,predicted transcription factor,MCF-7,Epithelium,Breast,1
49482|ZNF92,6.007966533107454e-06,Homo sapiens,ZNF92,tf,None,Retinal pigment cell,None,1
45744|JUN,6.079196957535601e-06,Homo sapiens,JUN,tf,HeLa-S3,Epithelium,Cervix,1
41391|TEAD4,6.472909043696343e-06,Homo sapiens,TEAD4,tf,SNU216,Epithelium,None,1
63828|FOSL2,6.890877077831235e-06,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
58079|KDM2B,7.655169764982781e-06,Homo sapiens,KDM2B,cr,None,Myeloid Cell,None,1
52495|TCF21,7.820468247727535e-06,Homo sapiens,TCF21,tf,None,None,Coronary artery smooth muscle,1
