,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
1740|FOS,1.4340828276805148e-12,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1,FOS
37635|ERG,4.519648716997982e-10,Homo sapiens,ERG,other,K562,Erythroblast,Bone Marrow,0,ERG
70810|MYC,4.20307006860679e-09,Homo sapiens,MYC,tf,HCT-116,Colon cancer cell,Colon,1,MYC
55393|SPI1,1.5171757462423364e-08,Homo sapiens,SPI1,predicted transcription factor,786-O,Epithelium,Kidney,0,SPI1
37608|MYH11,9.77939877232618e-08,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
55512|YAP1,1.715233413341479e-07,Homo sapiens,YAP1,other,IMR90,Fibroblast,Lung,1,YAP1
1375|CEBPA,2.7957772890766355e-07,Homo sapiens,CEBPA,tf,HepG2,Epithelium,Liver,1,CEBPA
65120|ZBTB26,2.88995173988648e-07,Homo sapiens,ZBTB26,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB26
54125|CEBPB,3.0649753976695754e-07,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1,CEBPB
63081|FOSL2,3.5743947502067756e-07,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1,FOSL2
74117|RUNX2,3.66018888356214e-07,Homo sapiens,RUNX2,tf,MCF-7,None,None,1,RUNX2
36141|TP63,3.775378865956578e-07,Homo sapiens,TP63,predicted transcription factor,None,Keratinocyte,None,0,TP63
33569|PR,4.753455925967864e-07,Homo sapiens,PR,predicted transcription factor,AB32,Epithelium,Mammary Gland,1,PR
65146|ZBTB14,5.16460967285294e-07,Homo sapiens,ZBTB14,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB14
51591|SRF,7.598342937053701e-07,Homo sapiens,SRF,tf,HUES64,Embryonic Stem Cell,Embryo,1,SRF
70947|NR3C1,9.132221142412635e-07,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,0,NR3C1
48085|AR,9.3108543578027e-07,Homo sapiens,AR,tf,HEK293,Epithelium,Embryonic Kidney,1,AR
37596|TAL1,1.5065888585441532e-06,Homo sapiens,TAL1,tf,ME-1,Leukemia Cell,None,1,TAL1
