,0,TF
MC00518|Tfcp2,3.581503136491454e-13,Tfcp2
MS00183|GMEB2,2.6236528286429802e-12,GMEB2
UP00021|Zfp281,7.442998100507832e-12,Zfp281
M00792|SMAD1,1.480398465252644e-11,SMAD1
MC00461|Max,3.179988451895256e-11,Max
MC00187|Ctcf,3.1829544715163546e-11,Ctcf
M01592|TFCP2L1,5.009695037898964e-11,TFCP2L1
MC00374|TFAP2C,5.300907226963115e-11,TFAP2C
M01122|ZNF219,7.509352772100385e-11,ZNF219
MC00192|ZNF263,8.614615508678082e-11,ZNF263
UP00031|Zbtb3,1.2227572191519167e-10,Zbtb3
MS00843|GLI2,1.232005745620328e-10,GLI2
MC00252|Rara,1.8330156351343647e-10,Rara
MC00295|Esr1,3.531016694390488e-10,Esr1
MC00439|TP63,3.6127242549434043e-10,TP63
MS00229|TFAP2B,3.616942485700082e-10,TFAP2B
M01175|ZBTB7B,3.6373654230114654e-10,ZBTB7B
UP00102|ZIC1,5.04694646036038e-10,ZIC1
MC00335|ESR1,9.468991314313574e-10,ESR1
MA0014|PAX5,1.1556500439188862e-09,PAX5
MC00333|ESR2,1.1594846505132923e-09,ESR2
MS00117|PAX1,1.2052689180793758e-09,PAX1
M01104|Ovol2,1.2105071245762067e-09,Ovol2
MS00255|HES5,1.6010790912714892e-09,HES5
UP00006|Zic3,1.6211753008603836e-09,Zic3
UP00057|ZIC2,1.9189939759746047e-09,ZIC2
M00733|SMAD4,2.114859793420764e-09,SMAD4
M00444|VDR,2.2006306486741265e-09,VDR
MC00319|EGR2,2.3205015437687915e-09,EGR2
MA0145|Tcfcp2l1,2.4580686578705945e-09,Tcfcp2l1
MS00638|ESRRG,2.6635753454375317e-09,ESRRG
UP00066|HNF4A,2.8792718987347126e-09,HNF4A
MS00111|NFKB2,3.188682899025737e-09,NFKB2
M01002|DEAF1,4.434083359653329e-09,DEAF1
M01744|ZFP42,4.5112040628304675e-09,ZFP42
M00139|AHR,4.97417936997333e-09,AHR
MC00207|ELK4,5.3751709516695094e-09,ELK4
MS00258|HEY1,5.982443377021422e-09,HEY1
MC00477|ZNF711,6.0044521414396035e-09,ZNF711
MC00254|E2F6,6.074466359369783e-09,E2F6
MS00252|Bhlhb2,6.105495557162377e-09,Bhlhb2
M00665|SP3,6.351294572300688e-09,SP3
UP00028|Tcfap2e,6.713403310427895e-09,Tcfap2e
UP00000|SMAD3,6.95212096382151e-09,SMAD3
M00468|KLF12,7.61118423382704e-09,KLF12
MC00158|E2f4,8.356051603848926e-09,E2f4
MS00260|HEY2,9.677723340004283e-09,HEY2
MC00530|TFAP2A,1.0166861672147676e-08,TFAP2A
MS00118|PAX2,1.0885534122864815e-08,PAX2
MC00413|Runx1,1.2357622171030033e-08,Runx1
MC00467|RXRA,1.379030293192927e-08,RXRA
MS00048|GCM1,1.530759200010101e-08,GCM1
MS00079|HINFP1,1.5794698872350993e-08,HINFP1
MS00304|CREB3L1,1.60050674543692e-08,CREB3L1
MC00475|Nfic,1.6807964958353788e-08,Nfic
MA0155|INSM1,1.765619620049586e-08,INSM1
MC00394|MYC,1.9012914059649766e-08,MYC
M01109|ZNF589,1.904048581351502e-08,ZNF589
MS00678|EGR4,2.157645609882979e-08,EGR4
UP00024|Glis2,2.3339047907541123e-08,Glis2
M00179|ATF2,2.3389050688102588e-08,ATF2
MS00247|BHLHB2,2.3643951774989408e-08,BHLHB2
MC00532|Mycn,2.7082480872740766e-08,Mycn
MC00377|Trp53,2.9918079462552555e-08,Trp53
UP00330|XBP1,3.0936983768519034e-08,XBP1
M00644|UBP1,3.181329514134913e-08,UBP1
M01714|KLF15,3.6311397355935246e-08,KLF15
MS00274|NHLH1,3.687460205609156e-08,NHLH1
M01009|HES1,4.457109397783575e-08,HES1
MC00386|BCL6,4.861383765283255e-08,BCL6
MS00240|Tcfap2a,5.189133642123194e-08,Tcfap2a
MS00301|ZBTB7A,5.3246860458791176e-08,ZBTB7A
MC00502|HMGN1,5.560928581292756e-08,HMGN1
MS00789|Egr3,5.954038094106493e-08,Egr3
UP00412|Etv5,5.98415954393628e-08,Etv5
MC00182|E2F1,6.088338399598896e-08,E2F1
MS00323|ZBTB7C,6.975139708421602e-08,ZBTB7C
MC00132|TP73,7.33645002332349e-08,TP73
MC00510|E2f3,8.04932967523657e-08,E2f3
UP00095|Zfp691,8.12021830463175e-08,Zfp691
UP00084|Gmeb1,8.57502928950353e-08,Gmeb1
M01243|MTF1,8.677004740178385e-08,MTF1
MS00808|TFEC,8.832418674894139e-08,TFEC
UP00423|Gm5454,8.878707674377398e-08,Gm5454
M00491|PATZ1,8.94092784390565e-08,PATZ1
MS00729|ZNF282,9.66620326121747e-08,ZNF282
M01742|Zscan10,9.716817560469265e-08,Zscan10
UP00010|Tcfap2b,1.024512883247359e-07,Tcfap2b
MA0163|PLAG1,1.0592425373274697e-07,PLAG1
MS00308|CREB3,1.1030803627897502e-07,CREB3
UP00087|Tcfap2c,1.1896467016414367e-07,Tcfap2c
M00456|BPTF,1.2277637528784075e-07,BPTF
M00433|Hmx3,1.5354813358678117e-07,Hmx3
MC00203|RFX3,1.5410147509381603e-07,RFX3
MS00256|HES7,1.631445857605467e-07,HES7
MS00333|Mafb,1.8084346102700545e-07,Mafb
MS00105|MYBL2,1.8300803758373868e-07,MYBL2
MS00727|ZBTB49,1.909933077111652e-07,ZBTB49
MC00278|ETS1,2.0452741280247044e-07,ETS1
MS00251|BHLHE41,2.247109776460275e-07,BHLHE41
MS00115|NFIX,2.2980707792794297e-07,NFIX
MC00372|Yy1,2.397810262447723e-07,Yy1
MC00430|Egr2,2.4584098305242065e-07,Egr2
M00736|E2F1::TFDP1,3.200489069743969e-07,E2F1::TFDP1
MC00183|Snai1,3.2871932746333686e-07,Snai1
MC00262|ARNT,3.5299857188313826e-07,ARNT
M01288|NEUROD1,3.5653701577147095e-07,NEUROD1
M00378|PAX4,3.654660431113319e-07,PAX4
MC00359|TP53,4.2729127105396274e-07,TP53
MS00246|SP8,4.3992710532735206e-07,SP8
MS00128|PAX9,4.788367706972008e-07,PAX9
MS00124|KLF13,4.868422312946087e-07,KLF13
MC00128|CTCF,5.030163483007747e-07,CTCF
MC00342|YY1,5.298562533760354e-07,YY1
MC00316|HIF1A,5.475497118909288e-07,HIF1A
MC00473|ATF3,5.762224938747335e-07,ATF3
M00649|MAZ,6.552686415297145e-07,MAZ
MS00288|TFE3,6.732097379296624e-07,TFE3
M01118|WT1,7.117835841356464e-07,WT1
UP00052|Osr2,7.388060474817431e-07,Osr2
M00518|PPARG::RXRA,7.475662213655606e-07,PPARG::RXRA
UP00094|Zfp128,8.284130115372257e-07,Zfp128
MC00142|PPARG,8.414239992385126e-07,PPARG
M01248|NR0B1,8.485961769303861e-07,NR0B1
MC00257|Pax5,8.499510973569612e-07,Pax5
MC00125|Rest,8.77359400273671e-07,Rest
MC00130|Pparg,1.0056377577432441e-06,Pparg
UP00011|IRF6,1.1797219521904983e-06,IRF6
MS00211|TBX2,1.1871648073142968e-06,TBX2
MC00223|SMAD2/3,1.2476832754253422e-06,SMAD2/3
MS00110|NFKB1,1.3348223105633791e-06,NFKB1
MS00694|RXRG,1.432533893855812e-06,RXRG
MS00027|FLI1,1.6821328735916598e-06,FLI1
MS00357|ZIC4,1.7364338957565133e-06,ZIC4
MC00468|AR,1.948500600392318e-06,AR
MS00834|ELF4,1.9989729296943406e-06,ELF4
MS00035|GLIS2,2.1067531036315326e-06,GLIS2
M00341|GABPB1,2.3274831172177694e-06,GABPB1
