Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
AR,48085;1.70E-24,48086;1.11E-20,48089;1.23E-20,48088;6.76E-18,56669;4.31E-14
FOS,1740;3.30E-22,45853;2.33E-18,46005;8.08E-17,46004;1.41E-13,46007;3.98E-13
CEBPB,54126;8.12E-22,54125;3.67E-21,54127;2.59E-20,71242;1.33E-19,45861;1.78E-19
FOSL2,54241;5.29E-20,46346;1.79E-12,63081;4.29E-12,63080;1.71E-11,64790;3.99E-11
PR,33571;8.68E-20,33569;6.87E-19,53983;3.63E-16,53984;1.21E-13,53982;6.69E-12
SPI1,55393;2.04E-19,50879;4.72E-10,50878;6.47E-10,55389;1.55E-09,50876;7.81E-09
BHLHE40,64946;6.78E-18,64945;2.91E-14,7302;9.74E-05,45632;4.86E-03,45807;1.02E-02
BRD4,40217;2.55E-17,68711;5.64E-16,73510;9.31E-16,73509;6.88E-15,73524;1.79E-14
TAL1,44435;7.42E-17,44433;1.51E-13,37596;2.85E-10,72356;2.81E-05,50382;3.08E-05
YAP1,55512;1.50E-16,55513;1.85E-15,54676;9.89E-11,54675;4.99E-09,54608;3.01E-07
FOXO1,54243;1.62E-16,75851;4.69E-06,58301;2.21E-02,58300;4.10E-02,75853;7.61E-02
NR3C1,64333;3.82E-16,70947;3.66E-15,46052;1.48E-12,64331;4.68E-12,64862;5.48E-12
ZNF202,73970;4.67E-16,62487;6.37E-02,62488;1.74E-01,,
NEUROG2,76818;1.12E-15,76810;1.60E-15,76814;3.08E-14,76812;3.70E-14,76817;3.19E-13
ZBTB14,65146;8.77E-15,,,,
JUN,45848;1.04E-14,56634;1.14E-10,45744;1.16E-10,55300;3.40E-10,55299;4.64E-10
MEF2B,53874;1.24E-14,53873;2.52E-12,53877;5.69E-11,55563;3.38E-08,53878;9.25E-08
ERCC6,49036;1.62E-14,49027;2.88E-03,49030;2.59E-02,49033;3.51E-02,44356;7.61E-02
TP63,36141;2.91E-14,52300;1.81E-13,52301;1.13E-12,52302;4.52E-12,58190;1.32E-11
MYC,70810;4.40E-14,76149;5.48E-11,46008;1.18E-10,70808;2.19E-10,70805;8.32E-10
TP53,52091;7.19E-14,52092;6.15E-12,6548;5.23E-06,69456;1.08E-05,44770;4.75E-05
FOXA1,6570;1.44E-13,71807;8.82E-13,67614;9.40E-13,67598;1.34E-12,56665;4.23E-12
ATF3,32784;1.68E-13,68464;1.41E-08,68460;4.19E-07,63683;3.84E-05,62975;5.91E-05
MITF,42176;1.89E-13,42179;9.47E-11,50897;4.11E-05,52548;1.38E-04,42177;7.39E-04
RUNX1,72358;3.06E-13,72352;1.09E-09,49536;2.59E-07,55493;2.59E-07,53418;6.86E-07
ZBTB26,65120;3.81E-13,65121;1.08E-01,,,
HES2,64216;4.20E-13,64962;6.29E-13,63552;5.18E-11,65023;6.07E-11,64961;7.95E-11
PBX3,46358;4.33E-13,56901;6.43E-11,46082;5.13E-02,46121;5.88E-01,42859;1.00E+00
ESR1,68970;9.54E-13,74000;6.22E-10,68859;8.77E-10,46374;3.78E-09,36104;7.74E-09
NKX2-1,74052;1.63E-12,35474;1.29E-06,35471;6.73E-04,35475;2.74E-03,74050;2.92E-03
GATA2,1743;1.75E-12,45852;5.01E-10,37587;2.70E-09,67748;1.41E-08,1742;1.42E-08
MAX,33197;1.82E-12,45778;1.97E-11,46349;2.91E-08,45749;4.57E-08,38119;4.57E-08
TEAD1,56535;1.84E-12,54611;1.67E-11,54612;4.36E-11,48240;3.65E-09,56542;2.03E-08
CEBPA,3006;1.85E-12,1374;4.19E-12,1375;2.26E-11,8446;3.48E-07,8444;1.02E-06
HOXB13,56666;1.96E-12,56668;4.99E-12,56667;1.76E-11,56664;2.69E-06,56663;1.81E-03
TCF21,52496;1.97E-12,52495;4.13E-11,52497;1.31E-05,52498;2.30E-04,
MAZ,74571;2.05E-12,65115;9.15E-09,45867;2.87E-08,45761;8.26E-06,63210;1.03E-03
E2F7,38589;2.11E-12,38591;1.35E-08,38590;3.31E-04,38586;1.24E-02,58173;7.12E-02
