Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Tfcp2,MC00518;2.51E-08,,,,
GMEB2,MS00183;1.37E-07,MS00182;1.87E-03,MS00721;6.99E-01,,
SMAD1,M00792;2.08E-07,M01590;1.16E-01,,,
Ctcf,MC00187;3.85E-07,,,,
Zfp281,UP00021;4.47E-07,,,,
ZNF219,M01122;4.82E-07,,,,
TFAP2C,MC00374;6.24E-07,,,,
TFCP2L1,M01592;7.17E-07,,,,
ZBTB7B,M01175;7.34E-07,MS00312;3.14E-06,,,
ZNF263,MC00192;8.19E-07,,,,
Max,MC00461;8.80E-07,,,,
Rara,MC00252;1.16E-06,MS00698;6.31E-01,,,
GLI2,MS00843;1.41E-06,,,,
TFAP2B,MS00229;1.88E-06,MS00228;1.22E-05,MS00230;1.26E-04,,
Zic3,UP00006;2.02E-06,MS00523;9.47E-05,,,
Zbtb3,UP00031;2.09E-06,,,,
ZIC1,UP00102;2.14E-06,M00448;4.02E-06,MS00334;5.89E-05,,
HES5,MS00255;2.23E-06,,,,
EGR2,MC00319;2.39E-06,,,,
ZIC2,UP00057;2.60E-06,M00449;2.48E-05,,,
Ovol2,M01104;2.63E-06,,,,
PAX5,MA0014;2.75E-06,M00143;1.09E-05,MC00332;6.65E-04,,
TP63,MC00439;2.79E-06,,,,
Esr1,MC00295;3.68E-06,,,,
E2f4,MC00158;4.02E-06,,,,
ZNF711,MC00477;4.04E-06,,,,
EGR4,MS00678;4.78E-06,,,,
ESRRG,MS00638;5.00E-06,,,,
VDR,M00961;5.18E-06,M00444;9.21E-06,MC00412;2.20E-04,,
ESR1,MC00335;5.32E-06,,,,
Tcfcp2l1,MA0145;5.52E-06,,,,
PAX1,MS00117;5.87E-06,M00326;1.11E-01,M00808;8.05E-01,,
DEAF1,M01002;5.87E-06,,,,
ESR2,MC00333;6.13E-06,,,,
Tcfap2e,UP00028;7.15E-06,,,,
HEY2,MS00260;7.78E-06,,,,
ZFP42,M01744;7.86E-06,,,,
SMAD4,M00733;8.32E-06,MC00392;7.03E-04,,,
HEY1,MS00258;8.57E-06,,,,
Egr3,MS00789;8.66E-06,,,,
NFKB2,MS00111;9.24E-06,,,,
HNF4A,UP00066;9.62E-06,MC00432;1.76E-01,,,
SMAD3,UP00000;1.07E-05,MC00503;1.77E-04,MS00080;8.77E-02,,
KLF15,M01714;1.08E-05,,,,
KLF12,M00468;1.10E-05,,,,
Bhlhb2,MS00252;1.11E-05,,,,
E2F6,MC00254;1.14E-05,M01252;2.92E-02,,,
MYC,MC00394;1.16E-05,,,,
AHR,M00139;1.17E-05,,,,
ZBTB7C,MS00323;1.19E-05,,,,
TFAP2A,MC00530;1.20E-05,MS00227;7.89E-05,,,
HINFP1,MS00079;1.20E-05,MS00090;3.57E-03,,,
ZBTB7A,MS00301;1.21E-05,M01100;2.90E-05,MC00376;1.96E-04,,
E2F1,MC00182;1.26E-05,MS00815;4.55E-05,,,
Gmeb1,UP00084;1.29E-05,,,,
SP3,M00665;1.36E-05,MS00223;7.56E-05,,,
XBP1,UP00330;1.43E-05,MS00342;1.09E-03,,,
ELK4,MC00207;1.43E-05,,,,
Etv5,UP00412;1.58E-05,,,,
Trp53,MC00377;1.64E-05,,,,
RXRA,MC00467;1.82E-05,,,,
PAX2,MS00118;1.83E-05,M00486;3.87E-04,MA0067;7.50E-04,,
CREB3L1,MS00304;1.89E-05,,,,
ZNF589,M01109;1.89E-05,,,,
GCM1,MS00048;1.93E-05,MS00047;1.30E-04,,,
Mycn,MC00532;2.03E-05,,,,
Tcfap2a,MS00240;2.07E-05,MS00239;4.09E-05,MS00241;1.36E-04,,
Runx1,MC00413;2.09E-05,,,,
BHLHB2,MS00247;2.16E-05,,,,
Glis2,UP00024;2.37E-05,,,,
MTF1,M01243;2.38E-05,MS00725;6.22E-03,,,
ATF2,M00179;2.39E-05,,,,
NHLH1,MS00274;2.60E-05,,,,
Nfic,MC00475;2.76E-05,,,,
INSM1,MA0155;2.76E-05,,,,
Egr2,MC00430;2.96E-05,,,,
BCL6,MC00386;3.10E-05,M01171;1.70E-01,,,
HES1,M01009;3.13E-05,,,,
CREB3,MS00308;3.18E-05,,,,
UBP1,M00644;3.19E-05,,,,
HES7,MS00256;3.25E-05,,,,
Tcfap2b,UP00010;3.48E-05,,,,
ZBTB49,MS00727;3.49E-05,,,,
E2f3,MC00510;3.50E-05,,,,
HMGN1,MC00502;3.53E-05,,,,
PATZ1,M00491;3.65E-05,,,,
Gm5454,UP00423;3.93E-05,,,,
Tcfap2c,UP00087;3.95E-05,,,,
Hmx3,M00433;4.77E-05,,,,
Yy1,MC00372;4.83E-05,,,,
NR0B1,M01248;4.91E-05,,,,
BHLHE41,MS00251;4.91E-05,,,,
BPTF,M00456;5.17E-05,,,,
RFX3,MC00203;5.22E-05,,,,
Zfp691,UP00095;5.22E-05,,,,
E2F1::TFDP1,M00736;5.25E-05,,,,
Mafb,MS00333;5.33E-05,MS00335;2.54E-03,,,
Zscan10,M01742;5.35E-05,,,,
TP73,MC00132;5.99E-05,,,,
PAX4,M00378;6.37E-05,M00373;3.19E-04,MS00121;4.15E-01,,
TFEC,MS00808;6.54E-05,,,,
ETS1,MC00278;6.55E-05,MS00851;5.80E-03,,,
YY1,MC00342;6.59E-05,,,,
ZNF282,MS00729;6.61E-05,,,,
NFIX,MS00115;6.87E-05,MS00822;1.04E-02,,,
PLAG1,MA0163;7.21E-05,,,,
MAZ,M00649;7.85E-05,,,,
ARNT,MC00262;7.88E-05,,,,
KLF13,MS00124;7.92E-05,,,,
MYBL2,MS00105;8.06E-05,MS00103;3.36E-02,MS00102;6.01E-02,,
WT1,M01118;8.71E-05,,,,
Snai1,MC00183;8.78E-05,,,,
TBX2,MS00211;9.44E-05,MS00213;2.80E-01,,,
SP8,MS00246;9.85E-05,,,,
Pax5,MC00257;1.01E-04,,,,
Zfp128,UP00094;1.03E-04,,,,
TP53,MC00359;1.08E-04,,,,
TFE3,MS00288;1.09E-04,,,,
CTCF,MC00128;1.19E-04,,,,
GLIS2,MS00035;1.20E-04,,,,
PAX9,MS00128;1.21E-04,,,,
HIF1A,MC00316;1.23E-04,,,,
AR,MC00468;1.25E-04,,,,
NEUROD1,M01288;1.28E-04,,,,
Zfx,MC00328;1.29E-04,,,,
Osr2,UP00052;1.30E-04,,,,
FLI1,MS00027;1.33E-04,MC00398;1.70E-01,,,
ATF3,MC00473;1.48E-04,,,,
NFKB1,MS00110;1.57E-04,,,,
Pparg,MC00130;1.60E-04,,,,
IRF6,UP00011;1.64E-04,,,,
SREBF2,M01177;1.64E-04,MS00281;7.84E-02,,,
EGR3,MS00567;1.65E-04,,,,
TEAD2,M00695;1.74E-04,,,,
SMAD2/3,MC00223;1.77E-04,,,,
PPARG::RXRA,M00518;1.89E-04,M00515;5.31E-01,,,
PAX8,M00717;1.92E-04,,,,
BRCA1,MC00299;2.06E-04,,,,
PPARG,MC00142;2.11E-04,MA0066;7.46E-03,,,
ZIC4,MS00357;2.14E-04,,,,
Rest,MC00125;2.18E-04,,,,
Elf4,UP00413;2.32E-04,,,,
ETV1,MC00427;2.49E-04,,,,
ETV6,MS00021;2.53E-04,,,,
ZNF143,MC00391;2.59E-04,,,,
ELF4,MS00834;2.66E-04,,,,
RXRG,MS00694;2.77E-04,,,,
RUNX3,MS00177;2.83E-04,,,,
SP1,MS00212;2.88E-04,MC00113;1.54E-03,,,
KLF14,MS00135;2.95E-04,,,,
E2F4,MC00523;2.95E-04,,,,
ZIC3,MS00346;3.02E-04,,,,
MGA,MS00188;3.11E-04,MS00186;4.61E-02,,,
GCM2,MS00050;3.16E-04,,,,
GABPB1,M00341;3.32E-04,,,,
NFE2L2,MC00339;3.37E-04,,,,
CNTN2::CREB1,M00115;3.41E-04,,,,
Tbx3,MC00221;3.42E-04,,,,
