,0,TF
M00085|ZBTB6,6.87304335698596e-10,ZBTB6
UP00010|Tcfap2b,8.080232678348104e-10,Tcfap2b
MS00128|PAX9,8.264708286683533e-10,PAX9
MC00391|ZNF143,8.763142269894001e-10,ZNF143
MS00090|HINFP1,8.797913972067095e-10,HINFP1
MS00115|NFIX,1.1869489936262603e-09,NFIX
UP00052|Osr2,1.273477397765695e-09,Osr2
MC00128|CTCF,1.5272449066672872e-09,CTCF
M01112|RBPJ,1.650557305683329e-09,RBPJ
MS00256|HES7,1.6598471867339424e-09,HES7
M01744|ZFP42,2.0110384842456165e-09,ZFP42
MC00281|PBX3,2.181708119706984e-09,PBX3
MC00192|ZNF263,2.2361185342384865e-09,ZNF263
M01592|TFCP2L1,2.5571834395826374e-09,TFCP2L1
MC00377|Trp53,2.620102420843736e-09,Trp53
MS00035|GLIS2,4.719118002532193e-09,GLIS2
UP00038|Spdef,4.786157656105734e-09,Spdef
MS00274|NHLH1,5.0406971057104816e-09,NHLH1
M01104|Ovol2,5.265466502045576e-09,Ovol2
MS00331|MAFK,5.4686052476387475e-09,MAFK
MS00027|FLI1,5.516479945028642e-09,FLI1
MS00445|ZNF740,5.570506271597071e-09,ZNF740
MA0163|PLAG1,5.631986571838554e-09,PLAG1
MS00346|ZIC3,6.471948915223431e-09,ZIC3
MS00251|BHLHE41,6.748511715493953e-09,BHLHE41
MC00142|PPARG,7.588240232102663e-09,PPARG
MS00357|ZIC4,7.670112625812811e-09,ZIC4
M00222|TCF3,8.24773275065195e-09,TCF3
MS00694|RXRG,1.0435526188547317e-08,RXRG
UP00418|Etv6,1.737341961106003e-08,Etv6
M01656|Trp63,1.7489680370882717e-08,Trp63
MC00191|Nfya,1.7877128436536508e-08,Nfya
MA0073|RREB1,1.9828889506924846e-08,RREB1
MA0145|Tcfcp2l1,2.0552787911634556e-08,Tcfcp2l1
MS00638|ESRRG,2.1049975449599432e-08,ESRRG
UP00000|SMAD3,2.370018656378461e-08,SMAD3
MC00316|HIF1A,2.5831980031652152e-08,HIF1A
UP00024|Glis2,2.6596273889619173e-08,Glis2
MS00111|NFKB2,2.7206158549378465e-08,NFKB2
MS00268|YY2,3.362602784412934e-08,YY2
MS00335|Mafb,3.416820896145905e-08,Mafb
MC00374|TFAP2C,3.5195313118230165e-08,TFAP2C
M01122|ZNF219,3.6803443247707335e-08,ZNF219
MC00359|TP53,4.865602137033472e-08,TP53
M00792|SMAD1,5.6665576118620125e-08,SMAD1
MS00308|CREB3,6.47645686655096e-08,CREB3
MS00267|MNT,8.753911005907225e-08,MNT
MS00157|Klf12,9.120653596205793e-08,Klf12
MC00160|ETV3,9.724920511958335e-08,ETV3
MC00109|Klf4,1.225864244777268e-07,Klf4
MS00188|MGA,1.3387471578456088e-07,MGA
MS00304|CREB3L1,1.411934945695162e-07,CREB3L1
MS00311|Creb3l2,1.4729719908630165e-07,Creb3l2
MC00344|Hnf4a,1.6627757637079923e-07,Hnf4a
MC00475|Nfic,1.8115541086607627e-07,Nfic
MS00211|TBX2,1.8694911096992535e-07,TBX2
MC00203|RFX3,2.1762291789746863e-07,RFX3
MC00518|Tfcp2,2.3300051197627528e-07,Tfcp2
MC00207|ELK4,2.4775876531583017e-07,ELK4
MS00125|PAX6,2.6687097013486276e-07,PAX6
M01596|GLI3,2.905895007566411e-07,GLI3
MS00057|HIC2,3.056172539157122e-07,HIC2
MS00046|GLIS3,3.0800045258300897e-07,GLIS3
MC00110|Klf1,4.802323060749634e-07,Klf1
MA0155|INSM1,4.844038565762815e-07,INSM1
MC00386|BCL6,4.923635059129566e-07,BCL6
MS00808|TFEC,5.212656985834754e-07,TFEC
M01037|GLI1,6.51305568191739e-07,GLI1
M01714|KLF15,6.700563059772334e-07,KLF15
MC00169|Usf2,6.721518218174437e-07,Usf2
UP00035|HIC1,7.92510665409895e-07,HIC1
MC00335|ESR1,8.170578510112803e-07,ESR1
MC00295|Esr1,8.993501826680188e-07,Esr1
