,0,TF
MS00667|ONECUT1,0.21010553740500243,ONECUT1
MS00679|ONECUT2,0.21148158114097831,ONECUT2
MS00126|PAX7,0.21514808929411203,PAX7
MS00053|TCF7L1,0.21867639421116083,TCF7L1
MS00388|Foxc1,0.22831982695781933,Foxc1
MS00414|BARHL2,0.23047175574046327,BARHL2
MS00280|OLIG3,0.23358182384281667,OLIG3
UP00241|HOXD3,0.23958027871453683,HOXD3
MS00542|LHX9,0.23972358096560306,LHX9
MC00507|Meis1,0.24095524750618763,Meis1
M00632|GATA4,0.2453072813706411,GATA4
UP00080|Gata5,0.2473187253988281,Gata5
MC00378|POU5F1,0.24878319474875518,POU5F1
MS00717|Tp53,0.25059383012448244,Tp53
MA0442|SOX10,0.25312362679166434,SOX10
MC00204|Stat5b,0.25907294052183716,Stat5b
MS00202|TBX20,0.259131026542198,TBX20
UP00140|Hoxd1,0.26417488489601276,Hoxd1
MS00390|ZNF238,0.2642160803311907,ZNF238
MC00321|JUN,0.2645395641952861,JUN
MS00437|DRGX,0.26554276422586953,DRGX
M00478|CDC5L,0.26603962641582934,CDC5L
MS00628|Vsx1,0.2733644140295868,Vsx1
MC00351|FOSL1,0.2793982473074811,FOSL1
MS00394|Foxj3,0.2874203852981809,Foxj3
UP00195|SIX3,0.2904828247574517,SIX3
UP00023|Sox30,0.2938417187808354,Sox30
MC00357|Crx,0.2976246704372124,Crx
UP00242|HOXC8,0.29878583424468985,HOXC8
MC00305|Sox6,0.3026393946004513,Sox6
M00294|Foxf1a,0.30491528382811467,Foxf1a
MS00543|LMX1A,0.3102935985667854,LMX1A
MS00575|NKX6-1,0.3105113312189173,NKX6-1
MS00513|HOXD8,0.31118997801422926,HOXD8
MS00461|GBX2,0.312145083209878,GBX2
MC00146|Smad2/3,0.31429955049259495,Smad2/3
UP00207|HOXB9,0.3162397190846073,HOXB9
MS00294|ATF7,0.3167412897149369,ATF7
MS00243|Ascl2,0.3193912592734416,Ascl2
MS00525|Hoxd9,0.3206957409890836,Hoxd9
UP00092|MYB,0.3223122717648559,MYB
M01733|MZF1,0.3236001116224814,MZF1
MS00224|TEAD4,0.3240900453146033,TEAD4
MS00011|BCL6B,0.3280555397602197,BCL6B
MC00136|Hoxb4,0.3314707823871555,Hoxb4
MS00582|OTX1,0.33511325943174297,OTX1
MS00521|Hoxd3,0.335455166164272,Hoxd3
MS00604|Prrx2,0.34293272780347367,Prrx2
MS00408|Alx4,0.343131501732825,Alx4
MS00729|ZNF282,0.35516765580309945,ZNF282
UP00182|HOXA6,0.36034096090765966,HOXA6
UP00262|Lhx1,0.3629742416581045,Lhx1
MS00829|ESRRA,0.3659271507392057,ESRRA
MC00120|GATA1,0.36877332712034644,GATA1
MS00668|Nr2e1,0.37239628567762245,Nr2e1
MC00512|Esrrb,0.37878997622425553,Esrrb
MS00596|PITX3,0.3804228286657224,PITX3
UP00197|HOXC9,0.3813324415201073,HOXC9
MC00260|Pax3,0.3874682564517327,Pax3
MC00269|SOX2,0.39189960493573084,SOX2
MS00481|HOXA10,0.392726061358481,HOXA10
M00678|ETV7,0.3930691671725148,ETV7
M00964|NR1I2,0.3936259529718619,NR1I2
MC00309|TCF7L2,0.39474184468781837,TCF7L2
MC00389|CDX2,0.3961801292956937,CDX2
MS00726|PRDM4,0.3969421317399035,PRDM4
UP00117|Hoxd11,0.4003973683000939,Hoxd11
MS00616|UNCX,0.4023121847658839,UNCX
MS00805|Sox3,0.4026948772257535,Sox3
MC00416|Rbfox2,0.40758344983538775,Rbfox2
MC00135|Rela,0.409754466370558,Rela
MS00580|Nkx3-1,0.41052016317641216,Nkx3-1
MS00296|BATF3,0.4106141788105734,BATF3
MC00233|Pou5f1,0.4153271632964455,Pou5f1
MS00277|OLIG2,0.4170216926946648,OLIG2
MS00605|RAXL1,0.4209590195793025,RAXL1
MS00690|ONECUT3,0.42253815041891896,ONECUT3
UP00260|Hoxc6,0.42334382683641736,Hoxc6
MS00417|BARX1,0.4237426593132262,BARX1
MS00282|Srebf1,0.4257432007838121,Srebf1
MS00627|VSX2,0.4293140895667652,VSX2
MC00474|BCL11A,0.43253200646632994,BCL11A
MS00750|SOX15,0.4326932139264289,SOX15
MS00169|RFX5,0.4331744831197649,RFX5
M00526|NR6A1,0.43431790740969023,NR6A1
MS00429|DLX3,0.4357083528854464,DLX3
MC00165|Pdx1,0.43596406140951494,Pdx1
MS00144|POU3F3,0.4409999244368107,POU3F3
MS00320|JDP2,0.4424213480547996,JDP2
MS00788|SRY,0.45894621568465654,SRY
MA0103|ZEB1,0.4589677396414329,ZEB1
MC00505|POLR2B,0.4592977914547782,POLR2B
UP00132|Evx2,0.4606625443162258,Evx2
MS00685|RORA,0.46106852363313766,RORA
MS00486|HOXA1,0.4711835554568764,HOXA1
MC00414|Atoh1,0.472614451127085,Atoh1
MC00226|Nanog,0.47330563211902277,Nanog
MS00428|DLX2,0.47706238552743085,DLX2
MS00475|HMX3,0.48251840506323707,HMX3
MS00603|PRRX2,0.48641384916389685,PRRX2
M00241|NKX2-5,0.48964540821153735,NKX2-5
UP00096|SOX13,0.49548596833446834,SOX13
UP00177|Hoxd12,0.4966825150139287,Hoxd12
MC00211|NFATC1,0.49788677353329136,NFATC1
UP00206|Hoxb7,0.4980945915066327,Hoxb7
M01127|ISL1,0.5078440570615659,ISL1
MS00250|BHLHE23,0.5098559716381788,BHLHE23
UP00075|Sox15,0.5105595916112212,Sox15
UP00113|HOXC4,0.5117511282561378,HOXC4
MS00427|DLX1,0.5153783754986229,DLX1
MS00614|SHOX,0.5162272581369186,SHOX
MS00438|DUXA,0.5205117455816793,DUXA
M00420|MEIS1::HOXA9,0.5222787928589998,MEIS1::HOXA9
MS00051|LEF1,0.5250654144563625,LEF1
MC00118|GATA2,0.5307382724077825,GATA2
MS00222|TEAD3,0.5327581801196385,TEAD3
UP00004|Sox14,0.5330512404913628,Sox14
MC00456|JUND,0.5364187605097576,JUND
UP00189|HOXA5,0.5390244998217011,HOXA5
UP00192|SIX1,0.5399284194037333,SIX1
MC00119|GATA3,0.541064188367135,GATA3
MS00609|RHOXF1,0.5425994164821295,RHOXF1
UP00064|Sox18,0.543888555942192,Sox18
MS00421|Barhl1,0.5450467820154045,Barhl1
UP00185|PBX1,0.5472949737734316,PBX1
MC00104|Foxa1,0.551044209739296,Foxa1
UP00071|Sox21,0.5515594711657045,Sox21
MS00502|HOXC12,0.5533165543810772,HOXC12
MS00756|E2F7,0.5541222723310156,E2F7
MS00276|OLIG1,0.5552242863176002,OLIG1
MS00531|ISX,0.5581650709369314,ISX
MS00658|NR2F6,0.5592346462124621,NR2F6
MS00794|Sox10,0.5598346976087745,Sox10
M01081|ZNF628,0.5610745100083914,ZNF628
MS00179|SCRT1,0.5634322613580018,SCRT1
MC00326|Gata3,0.5656541138420352,Gata3
MS00497|HOXC11,0.5779956805755904,HOXC11
MS00201|SNAI2,0.5782275232691263,SNAI2
M00041|ATF2::JUN,0.5822941864303215,ATF2::JUN
MC00511|Rxrg,0.5856012438133338,Rxrg
MS00295|Atf4,0.5862920694690028,Atf4
MS00770|SOX7,0.587292170602997,SOX7
MS00820|NFIA,0.5924400412520607,NFIA
MC00117|GATA6,0.6055609961343457,GATA6
MS00465|GSX1,0.6072024250904304,GSX1
MS00589|PDX1,0.6086876250450459,PDX1
M01734|NFATC4,0.6090390298377042,NFATC4
M01326|GSX2,0.6109475438000109,GSX2
MS00059|HSF2,0.612659406059171,HSF2
M01132|SF1,0.6138398088798376,SF1
UP00164|HOXA7,0.6162262548729276,HOXA7
MS00547|Lhx4,0.6199683417837853,Lhx4
MS00432|DLX6,0.6254153217386047,DLX6
MS00168|PRDM1,0.6287294841947222,PRDM1
MS00615|Shox2,0.6328471113773574,Shox2
MS00449|EN1,0.6330849276139247,EN1
MS00245|BHLHA15,0.6334763628625235,BHLHA15
MC00205|Stat5a,0.6370275432299604,Stat5a
MS00463|GSC2,0.6389769092893494,GSC2
MS00287|TFAP4,0.6420997814342075,TFAP4
MS00613|SHOX2,0.6423882299331178,SHOX2
UP00120|Lbx2,0.6430129720847567,Lbx2
UP00138|Bsx,0.6436509117715385,Bsx
MS00045|GATA5,0.6479470579291642,GATA5
MA0130|ZNF354C,0.6513998291601707,ZNF354C
MC00352|Nr5a2,0.6528659709922261,Nr5a2
UP00261|LHX4,0.6575005792326908,LHX4
MS00759|SOX21,0.658304002848773,SOX21
UP00114|Homez,0.6587146727488988,Homez
MS00561|MSX2,0.6598445445502217,MSX2
UP00112|Gsc,0.664899444264101,Gsc
MS00272|NEUROG2,0.671749460830924,NEUROG2
MS00430|DLX4,0.672176927197792,DLX4
MA0365|RFX1,0.6765349961323817,RFX1
MC00311|FOXA1,0.6776985768849892,FOXA1
UP00051|Sox8,0.6837305424329753,Sox8
UP00161|Hmbox1,0.686520982461784,Hmbox1
MS00439|Dlx1,0.6881376213185482,Dlx1
MS00492|HOXB3,0.689019727858897,HOXB3
MS00249|BHLHE22,0.6963367184247871,BHLHE22
MS00075|MEF2B,0.7049743299356988,MEF2B
M00712|MYOG,0.7129545881595881,MYOG
UP00166|BARHL1,0.7232142394373426,BARHL1
MS00556|GRHL1,0.7241717729893438,GRHL1
MS00491|HOXB2,0.7278038371130888,HOXB2
MC00129|Fli1,0.7381654267176693,Fli1
MS00016|ETV2,0.7391413824665526,ETV2
MS00586|Otx1,0.741290726158768,Otx1
MS00324|Jdp2,0.7471150215739562,Jdp2
MS00454|EVX1,0.749770757555031,EVX1
MS00419|BSX,0.765912800785241,BSX
UP00037|Zfp105,0.7677959436264941,Zfp105
M00454|ARID5B,0.769059229768202,ARID5B
MC00324|Gata4,0.7740403845467709,Gata4
MC00217|FOXA2,0.7742436414237983,FOXA2
MS00624|VENTX,0.7792469609870003,VENTX
UP00125|PITX2,0.7808937255150258,PITX2
MC00325|Gata2,0.7811777854121521,Gata2
MS00450|EN2,0.7836516141935639,EN2
MS00431|DLX5,0.7916692828847521,DLX5
UP00151|BARX2,0.7987000074226618,BARX2
MC00231|MEF2C,0.8005456871996662,MEF2C
UP00012|Bbx,0.8048101775341012,Bbx
UP00215|Vax1,0.8075216785029533,Vax1
MC00105|Foxa2,0.8123288098276796,Foxa2
UP00101|Sox12,0.8223605121937996,Sox12
M01268|NR1H4,0.8278415058284297,NR1H4
MS00528|ISL2,0.8344184768634382,ISL2
MS00578|NOTO,0.8344969542021127,NOTO
M01151|Dmrtc2,0.8405456706805557,Dmrtc2
MS00606|RAX,0.8412745715838809,RAX
M01312|NKX2-1,0.8418678683513678,NKX2-1
M01195|TBX22,0.8420018416434032,TBX22
UP00147|Nkx2-6,0.8431265688443046,Nkx2-6
MS00360|FOXG1,0.8442724850577005,FOXG1
MS00487|HOXA2,0.846194509833907,HOXA2
M01262|TBX18,0.8522532441918875,TBX18
MS00708|Rxrb,0.852916779599018,Rxrb
MS00192|TBX15,0.856566683639454,TBX15
MC00276|EOMES,0.8593431309176202,EOMES
MS00558|MSX1,0.8613606248825044,MSX1
MS00516|Hoxa2,0.8613829303948722,Hoxa2
UP00107|Nkx2-4,0.8621093377057782,Nkx2-4
MC00514|Cbfa2t2,0.8633378587492563,Cbfa2t2
MS00753|SOX18,0.8687435559544138,SOX18
MS00564|Msx3,0.869720674455582,Msx3
MS00634|CUX2,0.8732434357768,CUX2
MS00595|PITX1,0.87709706090076,PITX1
MS00040|SPIC,0.8785545409099125,SPIC
UP00159|SIX2,0.8793777338608225,SIX2
MS00474|HMX2,0.8801479409108407,HMX2
MC00162|LMO2,0.8811219022962886,LMO2
MS00470|HESX1,0.8811359955062467,HESX1
MC00504|Scx,0.8823214220162118,Scx
MS00452|ESX1,0.8853240197630526,ESX1
MS00669|Nr2f6,0.8861092311047132,Nr2f6
MS00811|RARB,0.8862617684949324,RARB
MS00455|EVX2,0.8884948741417381,EVX2
MC00265|Tcf3,0.8899866885538392,Tcf3
MC00327|Gata1,0.8904617791798971,Gata1
UP00155|Hmx2,0.8978279000831899,Hmx2
UP00211|Pou3f3,0.9016017770734999,Pou3f3
UP00045|MAFB,0.9025350986346743,MAFB
M01230|ZNF333,0.9025740926876372,ZNF333
UP00044|Mafk,0.9028569105885128,Mafk
MS00469|Gbx2,0.9043931855724581,Gbx2
MS00692|RXRB,0.9087189265442329,RXRB
M01295|ATF5,0.9128221081952296,ATF5
MS00440|Dlx2,0.9155506077141441,Dlx2
MS00641|Esrra,0.9170351712509682,Esrra
MS00336|NFE2,0.9174566748323544,NFE2
M01480|Obox5,0.9197380026286237,Obox5
MC00471|Rxra,0.9237408470227106,Rxra
MS00033|SPDEF,0.9245929465925934,SPDEF
MC00369|Myod1,0.926758396885599,Myod1
MS00620|VAX1,0.9277838637157451,VAX1
MS00433|DMBX1,0.9354608715517049,DMBX1
MC00349|Jun,0.9363272788395722,Jun
MS00106|NFAT5,0.9407639465095815,NFAT5
MS00041|Spic,0.9426181894807807,Spic
MS00076|MEF2D,0.9453106665174018,MEF2D
MS00573|NKX3-2,0.9487818994695603,NKX3-2
MS00458|En2,0.9507396545734594,En2
M01306|ZNF217,0.9519785752740795,ZNF217
MS00254|FIGLA,0.9529764151698016,FIGLA
MS00197|TBX1,0.9530897303636375,TBX1
MS00467|Gbx1,0.9532783794524198,Gbx1
M01364|Obox2,0.9534672142615355,Obox2
MS00621|VAX2,0.9540718001511647,VAX2
M01466|Obox3,0.954323005647116,Obox3
MS00459|GBX1,0.9563412610695697,GBX1
MC00157|Tead4,0.957058758244187,Tead4
MS00190|SCRT2,0.960793626049436,SCRT2
MA0152|NFATC2,0.9621319076972616,NFATC2
MC00186|Nr1d2,0.9625627730094596,Nr1d2
MS00555|MIXL1,0.9655964212881758,MIXL1
MS00731|ZNF713,0.9678023597041173,ZNF713
MS00436|DPRX,0.9683762092267576,DPRX
MC00280|NR4A1,0.9689495670767987,NR4A1
MS00700|Rarb,0.9692893143946323,Rarb
MS00473|HMX1,0.969383203424967,HMX1
MS00585|OTX2,0.9709014776632449,OTX2
M01282|PPARA,0.975648748755623,PPARA
UP00055|HBP1,0.9867489770343201,HBP1
MC00354|Neurod1,0.9937992283879411,Neurod1
M01450|Obox1,0.9939455862448383,Obox1
M01722|RORB,0.9942193761073437,RORB
MC00195|Myf5,0.9942404606297334,Myf5
MS00464|GSC,0.9945856650187461,GSC
MA0125|Nobox,0.9955117517249938,Nobox
MS00191|TBR1,0.9967097961569725,TBR1
MC00178|Nkx2-5,0.9991935791770147,Nkx2-5
MS00501|Zfp652,0.9999893864637124,Zfp652
