,coefficients,cell_line,cell_type,tissue
45085,1.0799340862555786,WI-38,Fibroblast,Embryonic Lung
40784,-1.0760517377193544,H1,Embryonic Stem Cell,Embryo
40884,0.7506100234936893,,Fibroblast,Connective Tissue
64142,0.5603757489094038,,,Thyroid
41028,-0.44206014969736596,,Epithelium,Fetal Muscle Lower Limb
44961,0.44179190785438127,HepG2,Epithelium,Liver
64252,0.4121030514764868,EL,,
44987,-0.3256879263873044,,Endothelial Cell,Umbilical Vein
44948,0.12726558945432673,,Embryonic Fibroblast,Heart
64337,0.11087820290746736,K562,Erythroblast,
