Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
ZBTB14,65146;1.98E-13,,,,
ERG,37635;2.37E-12,37633;2.59E-09,33459;1.98E-08,37639;4.59E-08,37583;1.29E-07
MYC,70810;2.86E-12,76149;9.41E-09,36844;7.25E-08,70805;1.13E-07,38183;3.14E-07
ZNF282,77149;3.16E-12,77148;1.77E-07,,,
ZBTB26,65120;5.71E-12,65121;6.12E-02,,,
ZNF202,73970;3.19E-11,62488;7.34E-02,62487;1.50E-01,,
E2F1,44332;9.87E-11,45754;1.38E-09,45750;2.51E-09,44325;7.27E-09,44321;3.10E-08
RARA,53300;1.82E-09,49614;1.07E-02,67426;2.41E-02,67429;3.50E-02,2811;4.12E-02
TET3,39719;2.28E-09,43669;3.27E-04,33988;5.42E-02,,
ZNF519,77103;2.59E-09,,,,
SP1,70815;3.19E-09,5395;5.81E-07,70812;1.03E-05,65151;1.26E-05,70816;7.77E-05
BRD4,75559;3.42E-09,75562;1.28E-07,67532;4.16E-07,75561;3.96E-06,39002;1.00E-05
GRHL3,74688;4.25E-09,74687;5.03E-02,33916;1.51E-01,,
AR,40350;7.13E-09,36845;3.78E-06,51748;1.95E-05,56265;3.32E-05,56264;3.94E-05
IRX5,42682;7.13E-09,,,,
MEF2B,55553;8.77E-09,55563;2.59E-04,53877;9.14E-04,53874;2.40E-03,53878;2.40E-02
CBFB,37604;9.99E-09,37607;2.42E-06,37640;1.87E-04,37621;8.72E-04,37606;9.04E-03
FLI1,37057;1.24E-08,37056;2.70E-08,37579;1.44E-06,49882;8.76E-05,72360;3.44E-04
MYH11,37608;1.36E-08,37589;2.50E-04,37623;1.52E-02,37625;1.87E-01,
TRIM28,57090;1.51E-08,49606;1.43E-04,52087;1.34E-03,70926;1.38E-02,49609;6.70E-02
KDM2B,58086;1.51E-08,58079;3.00E-08,58083;3.08E-08,58074;4.10E-08,58081;1.13E-06
CDK9,53347;1.69E-08,57093;1.06E-06,43081;8.59E-06,43083;1.08E-05,40227;5.00E-05
TCF7L1,70803;2.09E-08,70804;2.21E-05,40166;2.52E-03,70802;1.82E-02,46140;2.04E-02
SPI1,55393;2.14E-08,37588;2.99E-08,50877;3.60E-06,50878;1.29E-05,50876;1.73E-05
TET2,70093;2.53E-08,70095;7.19E-08,33992;4.34E-02,67858;7.12E-02,70094;1.10E-01
NFE2,67768;2.60E-08,39357;1.10E-05,50381;1.11E-05,45906;3.64E-02,33294;1.27E-01
SP2,65084;3.26E-08,64559;2.36E-03,64560;9.30E-03,38843;1.93E-02,46287;4.90E-02
TRIM24,69203;4.31E-08,69202;1.12E-07,69201;5.56E-07,2404;4.26E-02,2405;9.15E-02
GATA2,37587;4.99E-08,67746;1.93E-04,72357;5.10E-04,46032;1.94E-03,69925;2.40E-03
KDM4C,43684;5.10E-08,58138;2.44E-02,58137;1.20E-01,43685;1.21E-01,
NRF1,58940;5.88E-08,58939;1.30E-06,58937;1.33E-06,58936;5.57E-06,64621;2.94E-05
RUNX1,37619;6.12E-08,72352;7.42E-07,72358;1.08E-05,59416;2.77E-05,54234;2.77E-05
BRD1,41574;6.57E-08,56282;1.05E-01,56280;1.14E-01,56281;1.27E-01,56279;2.34E-01
WDR5,58506;7.94E-08,52436;6.13E-06,52432;1.07E-04,33917;1.11E-04,49852;9.67E-03
KDM5B,47276;8.53E-08,47267;3.30E-06,47283;5.32E-06,47273;2.14E-05,47266;2.87E-05
TBP,37584;9.28E-08,45881;4.84E-04,45781;7.05E-03,45791;7.45E-03,45684;9.21E-03
PRDM6,65125;9.57E-08,,,,
KLF5,47601;1.26E-07,47593;2.14E-03,38831;3.84E-02,42949;8.50E-02,47597;9.26E-02
TP53,52092;1.39E-07,52091;3.38E-06,291;2.34E-03,41496;9.43E-03,69668;1.59E-02
CEBPB,71243;1.57E-07,45861;5.10E-07,54126;7.68E-07,64669;1.16E-06,54125;1.45E-06
BRPF3,76496;1.80E-07,76494;2.39E-05,76495;8.81E-05,,
KMT2A,73716;1.81E-07,73715;2.90E-06,77486;2.98E-05,73707;2.14E-04,73708;4.51E-04
TAL1,37596;1.85E-07,47079;2.21E-06,72356;5.13E-05,47078;1.08E-03,73728;1.78E-03
E2F4,3225;2.11E-07,45951;1.78E-05,46000;1.04E-04,45752;2.34E-03,542;1.33E-02
EGR3,65186;2.20E-07,,,,
NR3C1,46052;2.40E-07,41736;3.15E-07,63196;4.32E-05,63442;2.33E-04,64471;3.02E-04
ZFP64,65123;2.45E-07,65122;3.99E-03,63981;4.99E-02,63982;6.33E-02,65130;1.18E-01
KAT7,8482;2.54E-07,,,,
RBBP5,8820;2.58E-07,8795;6.20E-04,8819;1.99E-03,45421;6.40E-03,45232;1.28E-02
KDM6B,48576;2.83E-07,48577;6.82E-02,48443;1.45E-01,48442;2.64E-01,
SRF,51591;2.84E-07,46223;4.27E-02,46211;1.81E-01,46092;2.29E-01,51596;2.77E-01
TP63,36141;3.13E-07,52300;1.05E-03,44767;1.07E-03,44759;1.20E-03,5206;2.25E-03
MAZ,45867;3.35E-07,74571;1.68E-06,65115;3.81E-06,45788;7.22E-06,45924;6.77E-04
AFF4,48994;4.61E-07,69873;1.17E-03,55639;5.81E-03,48999;6.11E-03,69872;1.00E-02
