Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
GCM1,MS00048;1.99E-12,MS00047;1.73E-05,,,
Pax5,MC00257;1.02E-10,,,,
CENPB,MS00534;1.02E-10,,,,
XBP1,UP00330;1.91E-10,MS00342;3.98E-04,,,
RUNX2,MS00173;3.50E-10,MS00174;2.52E-08,MC00215;5.62E-01,,
Mycn,MC00532;5.65E-10,,,,
E2F4,MC00523;5.89E-10,,,,
E2F3,UP00003;7.75E-10,MS00734;7.70E-04,,,
SREBF2,M01177;1.28E-09,MS00281;3.19E-01,,,
KLF12,M00468;1.43E-09,,,,
Gmeb1,UP00084;1.53E-09,,,,
E2F1,MS00815;1.87E-09,MC00182;5.87E-09,,,
HMGN1,MC00502;1.99E-09,,,,
MYC,MC00394;2.04E-09,,,,
HEY1,MS00258;3.09E-09,,,,
Zscan10,M01742;3.22E-09,,,,
SMAD4,M00733;3.30E-09,MC00392;1.42E-02,,,
PAX2,MS00118;3.50E-09,MA0067;2.38E-05,M00486;5.58E-05,,
KLF16,MS00146;3.57E-09,,,,
Zfp161,UP00065;4.10E-09,,,,
Tcfap2a,MS00240;4.24E-09,MS00241;5.80E-09,MS00239;4.30E-07,,
Rara,MC00252;4.48E-09,MS00698;6.65E-01,,,
PAX4,M00373;4.50E-09,M00378;1.50E-06,MS00121;7.07E-02,,
E2F6,MC00254;4.56E-09,M01252;1.38E-02,,,
E2f4,MC00158;4.90E-09,,,,
ARNT,MC00262;5.53E-09,,,,
TFAP2A,MS00227;5.54E-09,MC00530;9.81E-08,,,
Egr2,MC00430;5.73E-09,,,,
GABPB1,M00341;5.88E-09,,,,
E2f3,MC00510;6.03E-09,,,,
Tcfap2c,UP00087;6.23E-09,,,,
Mxi1,MC00373;7.20E-09,,,,
VDR,M00961;7.56E-09,MC00412;4.91E-08,M00444;1.03E-07,,
HES1,M01009;7.77E-09,,,,
EGR2,MC00319;8.31E-09,,,,
KLF13,MS00124;8.73E-09,,,,
BHLHB2,MS00247;9.14E-09,,,,
Stat3,MC00140;9.36E-09,,,,
HES5,MS00255;1.05E-08,,,,
SP3,MS00223;1.07E-08,M00665;5.44E-07,,,
ZBTB7B,MS00312;1.17E-08,M01175;1.27E-07,,,
SP8,MS00246;1.24E-08,,,,
SP2,M01783;1.38E-08,,,,
PAX8,M00717;1.54E-08,,,,
SP1,MS00212;1.55E-08,MC00113;5.81E-05,,,
EGR3,MS00567;1.63E-08,,,,
ATF3,MC00473;1.65E-08,,,,
Myc,MC00407;1.66E-08,,,,
Max,MC00461;1.69E-08,,,,
E2F2,UP00001;1.79E-08,MS00712;2.20E-02,,,
REST,MC00174;2.02E-08,,,,
ZIC1,M00448;2.11E-08,MS00334;3.96E-08,UP00102;1.37E-07,,
ZIC2,UP00057;2.24E-08,M00449;7.65E-07,,,
PAX5,MC00332;2.57E-08,M00143;5.76E-08,MA0014;1.24E-07,,
EGR4,MS00678;2.77E-08,,,,
Rest,MC00125;2.99E-08,,,,
Rfx1,MC00144;3.07E-08,,,,
Zfx,MC00328;3.13E-08,,,,
Egr3,MS00789;3.17E-08,,,,
Zic3,UP00006;3.17E-08,MS00523;1.01E-07,,,
FOXN1,M00332;3.88E-08,,,,
HEY2,MS00260;3.93E-08,,,,
ZBTB33,MC00418;3.94E-08,M01119;1.24E-03,,,
Tcfap2e,UP00028;3.99E-08,,,,
BRCA1,MC00299;4.16E-08,,,,
PAX3,M00327;4.26E-08,MS00119;1.48E-01,,,
ZBTB7C,MS00323;4.29E-08,,,,
TFE3,MS00288;4.34E-08,,,,
ZBTB49,MS00727;4.46E-08,,,,
ZNF524,MS00423;4.48E-08,,,,
Zbtb3,UP00031;4.75E-08,,,,
GMEB2,MS00183;4.94E-08,MS00182;1.88E-02,MS00721;5.64E-02,,
ZNF711,MC00477;5.05E-08,,,,
GLI2,MS00843;5.09E-08,,,,
Snai1,MC00183;5.15E-08,,,,
NR0B1,M01248;5.35E-08,,,,
MTF1,M01243;5.35E-08,MS00725;3.53E-06,,,
ESR2,MC00333;5.49E-08,,,,
TFAP2B,MS00230;5.69E-08,MS00229;1.50E-07,MS00228;3.23E-07,,
KLF14,MS00135;5.87E-08,,,,
Ctcf,MC00187;6.70E-08,,,,
Tbx3,MC00221;7.56E-08,,,,
BHLHB3,MS00248;8.33E-08,,,,
Zfp128,UP00094;8.43E-08,,,,
PLAGL1,UP00088;8.51E-08,,,,
NR1H3,M00647;8.98E-08,,,,
EGR1,MC00320;9.62E-08,,,,
TBX21,MS00207;1.08E-07,MS00208;6.71E-01,,,
Klf7,UP00093;1.26E-07,,,,
ZBTB7A,MC00376;1.29E-07,MS00301;1.83E-07,M01100;6.80E-04,,
DEAF1,M01002;1.32E-07,,,,
SP4,MS00235;1.33E-07,,,,
GLIS1,MS00024;1.44E-07,,,,
TP73,MC00132;1.72E-07,,,,
PPARG::RXRA,M00518;1.91E-07,M00515;7.14E-01,,,
TEAD2,M00695;2.21E-07,,,,
Tcfap2b,UP00010;2.44E-07,,,,
PATZ1,M00491;2.47E-07,,,,
NR2C2,MC00509;2.48E-07,MS00651;1.07E-01,,,
AHR,M00139;2.85E-07,,,,
MAZ,M00649;3.08E-07,,,,
Hic1,MS00101;3.50E-07,,,,
PGR,MC00170;3.55E-07,,,,
WT1,M01118;3.64E-07,,,,
ZNF589,M01109;3.81E-07,,,,
Bhlhb2,MS00252;3.96E-07,,,,
Zfp281,UP00021;4.22E-07,,,,
ETV1,MC00427;4.90E-07,,,,
ATF4,M00514;5.22E-07,MS00293;5.23E-02,,,
TP63,MC00439;5.30E-07,,,,
UBP1,M00644;5.44E-07,,,,
Trp53,MC00377;5.88E-07,,,,
HINFP1,MS00079;6.69E-07,MS00090;1.42E-06,,,
ZIC3,MS00346;6.81E-07,,,,
ZIC4,MS00357;6.89E-07,,,,
HINFP,MA0131;7.11E-07,,,,
ZBTB6,M00085;8.42E-07,,,,
ZNF143,MC00391;9.26E-07,,,,
Arntl,MC00362;9.42E-07,,,,
CTCF,MC00128;9.86E-07,,,,
PAX1,MS00117;1.23E-06,M00326;2.04E-03,M00808;1.05E-01,,
E2F1::TFDP2,M00737;1.26E-06,,,,
RARG,MS00684;1.32E-06,MS00682;6.49E-01,MS00680;7.50E-01,,
GCM2,MS00050;1.43E-06,,,,
HES7,MS00256;1.49E-06,,,,
ZFP42,M01744;1.98E-06,,,,
GLIS2,MS00035;2.10E-06,,,,
Zfp740,MS00512;2.29E-06,,,,
NHLH1,MS00274;2.41E-06,,,,
PLAG1,MA0163;2.41E-06,,,,
FLI1,MS00027;2.49E-06,MC00398;2.69E-02,,,
ZNF263,MC00192;2.70E-06,,,,
PBX3,MC00281;2.93E-06,,,,
PPARG,MC00142;3.10E-06,MA0066;7.08E-01,,,
MAFK,MS00331;3.18E-06,MS00330;9.39E-01,,,
ZNF219,M01122;3.28E-06,,,,
TFCP2L1,M01592;3.39E-06,,,,
NFIX,MS00115;3.57E-06,MS00822;1.31E-02,,,
Spdef,UP00038;3.71E-06,,,,
ZNF740,MS00445;3.81E-06,,,,
Osr2,UP00052;3.82E-06,,,,
Tcfcp2l1,MA0145;4.23E-06,,,,
PAX9,MS00128;4.45E-06,,,,
Glis2,UP00024;4.97E-06,,,,
RXRG,MS00694;5.19E-06,,,,
RBPJ,M01112;5.98E-06,,,,
Ovol2,M01104;6.13E-06,,,,
Klf4,MC00109;7.64E-06,,,,
HIF1A,MC00316;8.43E-06,,,,
TCF3,M00222;8.57E-06,UP00058;3.42E-01,,,
Etv6,UP00418;8.62E-06,,,,
TFAP2C,MC00374;9.49E-06,,,,
TP53,MC00359;9.62E-06,,,,
Nfya,MC00191;1.09E-05,,,,
SMAD1,M00792;1.11E-05,M01590;1.98E-01,,,
Trp63,M01656;1.11E-05,,,,
ETV3,MC00160;1.32E-05,,,,
BHLHE41,MS00251;1.34E-05,,,,
ESRRG,MS00638;1.48E-05,,,,
NFKB2,MS00111;1.70E-05,,,,
SMAD3,UP00000;2.07E-05,MC00503;2.79E-02,MS00080;1.13E-01,,
YY2,MS00268;2.07E-05,,,,
RREB1,MA0073;2.32E-05,,,,
Klf12,MS00157;2.58E-05,,,,
ELK4,MC00207;2.64E-05,,,,
TBX2,MS00211;2.92E-05,MS00213;1.40E-01,,,
Nfic,MC00475;2.99E-05,,,,
MNT,MS00267;3.34E-05,,,,
Creb3l2,MS00311;3.51E-05,,,,
Mafb,MS00335;3.87E-05,MS00333;3.92E-05,,,
E2F1::TFDP1,M00736;3.97E-05,,,,
GLIS3,MS00046;3.97E-05,,,,
PAX6,MS00125;4.08E-05,UP00224;2.34E-01,M00979;7.39E-01,,
HIC2,MS00057;4.10E-05,,,,
CREB3,MS00308;4.13E-05,,,,
MGA,MS00188;4.15E-05,MS00186;1.80E-02,,,
Esr1,MC00295;4.27E-05,,,,
BCL6,MC00386;4.35E-05,M01171;2.16E-01,,,
CREB3L1,MS00304;4.48E-05,,,,
ESR1,MC00335;4.80E-05,,,,
Klf1,MC00110;6.02E-05,,,,
RFX3,MC00203;6.58E-05,,,,
Hnf4a,MC00344;7.58E-05,,,,
ERG,MC00168;7.70E-05,MS00848;9.69E-04,,,
KLF15,M01714;7.73E-05,,,,
GLI3,M01596;8.03E-05,,,,
MESP1,MS00264;8.13E-05,,,,
INSM1,MA0155;8.68E-05,,,,
Tfcp2,MC00518;9.00E-05,,,,
GLI1,M01037;9.15E-05,,,,
Etv5,UP00412;9.32E-05,,,,
Gm5454,UP00423;1.15E-04,,,,
GABPA,MC00367;1.39E-04,,,,
HIC1,UP00035;1.51E-04,,,,
Usf2,MC00169;1.52E-04,,,,
ELF1,MC00457;1.60E-04,,,,
TFEC,MS00808;1.68E-04,,,,
HSF1,MC00289;1.81E-04,MA0319;9.98E-01,,,
ZNF306,MS00401;1.82E-04,,,,
TCF4,MS00285;1.99E-04,MC00219;2.27E-01,,,
ZNF423,M00467;2.02E-04,,,,
ELF2,UP00404;2.06E-04,,,,
IRF6,UP00011;2.66E-04,,,,
RFX4,UP00056;2.88E-04,,,,
ETS1,MC00278;2.96E-04,MS00851;5.57E-02,,,
FOXO4,MS00383;2.97E-04,MS00381;1.20E-01,,,
Osr1,UP00027;3.28E-04,,,,
MAX,MC00124;3.72E-04,,,,
NFKB1,MS00110;4.28E-04,,,,
Zfp423,MA0116;4.58E-04,,,,
MAFG,MS00327;4.72E-04,,,,
Rfx2,MS00171;4.83E-04,MS00170;1.06E-01,,,
ZNF350,M01105;5.38E-04,,,,
Zfp691,UP00095;6.55E-04,,,,
ELK1,MC00206;7.18E-04,,,,
HNF4A,UP00066;7.88E-04,MC00432;1.38E-02,,,
Foxg1,MS00392;8.21E-04,MS00393;1.46E-02,,,
TFEB,MS00289;8.31E-04,,,,
IRF3,UP00086;9.88E-04,,,,
MYBL1,MS00100;1.08E-03,MS00097;9.16E-03,,,
Elf4,UP00413;1.08E-03,,,,
HOXA13,MS00485;1.08E-03,MS00484;8.04E-03,,,
NFIB,MS00114;1.09E-03,,,,
Irf5,UP00040;1.10E-03,,,,
YY1,MC00342;1.12E-03,,,,
Nr1h2,MC00448;1.21E-03,,,,
Pparg,MC00130;1.49E-03,,,,
CLOCK,MS00253;1.57E-03,,,,
NEUROD2,MS00271;1.59E-03,,,,
ATF2,M00179;1.65E-03,,,,
THRB,MS00710;1.67E-03,MS00713;3.26E-02,MS00711;2.02E-01,,
THRA,MS00709;1.85E-03,,,,
ETV6,MS00021;1.90E-03,,,,
Dmrta1,M01149;2.01E-03,,,,
STAT1,MC00348;2.01E-03,,,,
EPAS1,MC00224;2.06E-03,,,,
NFIC,MA0161;2.11E-03,,,,
FOXO1,MS00376;2.19E-03,MS00375;2.04E-01,,,
GTF2IRD1,M01241;2.22E-03,M01229;3.92E-01,,,
E4F1,M00694;2.23E-03,,,,
Ets1,MC00385;2.41E-03,,,,
IRF5,MS00067;2.62E-03,,,,
NR2F2,M00155;3.04E-03,,,,
RUNX3,MS00177;3.19E-03,,,,
DBP,MS00315;3.24E-03,M00624;7.78E-01,,,
ETV5,MS00019;3.77E-03,,,,
MAF,M00648;3.92E-03,M00983;7.78E-02,,,
E2F8,MS00739;4.03E-03,,,,
Mlx,MS00270;4.17E-03,,,,
Zfp187,UP00082;4.54E-03,,,,
FOXL1,MS00372;4.54E-03,MS00373;5.14E-02,,,
Rarg,MC00476;4.80E-03,MS00705;5.95E-01,MS00704;7.12E-01,,
NEUROD1,M01288;4.93E-03,,,,
GTF2I,M00706;4.96E-03,,,,
Gfi1b,MC00293;5.56E-03,,,,
ZBED1,MS00290;5.65E-03,,,,
ELF4,MS00834;6.22E-03,,,,
ETS2,M01207;6.25E-03,,,,
NFE2L2,MC00339;6.63E-03,,,,
NFYA,MC00364;6.66E-03,,,,
MYBL2,MS00105;6.66E-03,MS00102;7.78E-03,MS00103;3.93E-02,,
Irf4,UP00018;6.67E-03,MC00190;7.13E-02,,,
TFCP2,M00072;6.97E-03,MS00579;1.20E-01,,,
AR,MC00468;7.34E-03,,,,
Sfpi1,UP00085;7.45E-03,MC00180;1.44E-01,MC00395;1.44E-01,,
Tbx21,MC00356;7.62E-03,,,,
NANOG,M01247;7.65E-03,M01123;1.47E-02,MC00440;1.25E-01,,
TBX19,MS00194;7.73E-03,,,,
SATB1,M01723;7.75E-03,,,,
RXRA,MC00467;7.82E-03,,,,
LBX2,MS00533;8.26E-03,MS00535;9.10E-01,,,
