,coefficients,cell_line,cell_type,tissue
1822,0.6952052553811743,IMR90,Fibroblast,Lung
1821,-0.5611812416276399,IMR90,Fibroblast,Lung
62069,0.44452590892027294,IMR90,Fibroblast,Lung
49477,0.3325287885827842,,Retinal pigment cell,
55768,-0.21957367621893048,ALL-SIL,T Lymphocyte,
42315,-0.12025392538470728,GM12891,Lymphoblastoid,Blood
43743,-0.08228323398275729,KOPT-K1,T Lymphocyte,Blood
38242,0.07629032343515371,,Mesenchymal Stem Cell,Bone Marrow
42487,-0.0720110838109675,GM19240,Lymphoblastoid,Blood
42317,-0.054229433325933864,GM12891,Lymphoblastoid,Blood
