Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Sox3,MS00803;1.20E-01,MS00805;2.19E-01,,,
Foxj3,MS00394;1.20E-01,MS00397;3.17E-01,,,
Cdx2,MC00455;1.21E-01,,,,
Trp53,MC00377;1.25E-01,,,,
RUNX1,M00082;1.26E-01,MC00312;6.85E-01,,,
PITX2,UP00125;1.29E-01,,,,
HNF1A,MS00476;1.29E-01,,,,
FOXB1,MS00348;1.30E-01,MS00343;7.35E-01,,,
Tbx21,MC00356;1.32E-01,,,,
Rxrb,MS00708;1.33E-01,,,,
HOXA10,MS00481;1.35E-01,MS00480;4.74E-01,,,
NR1I2,M00964;1.35E-01,,,,
NKX2-8,MS00571;1.36E-01,,,,
ZBTB7C,MS00323;1.37E-01,,,,
Tfcp2,MC00518;1.38E-01,,,,
RARA,UP00048;1.39E-01,,,,
Bcl6,MC00111;1.45E-01,,,,
FOS,MC00330;1.45E-01,,,,
STAT5B,MC00452;1.45E-01,,,,
PPARG,MA0066;1.48E-01,MC00142;3.60E-01,,,
Tal1,MC00388;1.48E-01,,,,
Pparg,MC00130;1.48E-01,,,,
Ppara,MC00134;1.50E-01,,,,
FOXG1,MS00361;1.50E-01,MS00360;7.85E-01,,,
ALX1,M00416;1.50E-01,M01453;9.85E-01,,,
SP8,MS00246;1.51E-01,,,,
ZNF423,M00467;1.51E-01,,,,
FOXO6,MS00386;1.53E-01,MS00384;3.39E-01,,,
EGR4,MS00678;1.56E-01,,,,
Hic1,MS00101;1.57E-01,,,,
NFATC4,M01734;1.58E-01,,,,
Zfp410,UP00033;1.58E-01,,,,
ZNF589,M01109;1.58E-01,,,,
MESP1,MS00264;1.58E-01,,,,
TGIF2LX,MS00095;1.59E-01,,,,
PRRX1,MS00599;1.59E-01,MS00602;7.04E-01,,,
OTX2,MS00585;1.59E-01,,,,
POU1F1,UP00158;1.61E-01,MS00129;8.46E-01,MS00130;8.77E-01,,
TCF7L2,MC00309;1.61E-01,,,,
Neurod1,MC00354;1.62E-01,,,,
Hsf1,MC00368;1.63E-01,,,,
Obox6,M01445;1.64E-01,,,,
SP1,MS00212;1.66E-01,MC00113;9.38E-01,,,
Rarg,MS00705;1.67E-01,MS00704;2.02E-01,MC00476;2.87E-01,,
GATA5,MS00045;1.71E-01,,,,
HOXC11,MS00498;1.72E-01,MS00497;3.26E-01,,,
TCF4,MC00219;1.72E-01,MS00285;1.83E-01,,,
Obox1,M01450;1.74E-01,,,,
CREB3L1,MS00304;1.75E-01,,,,
NR2F2,M00155;1.76E-01,,,,
AR,MC00468;1.77E-01,,,,
NFKB1,MS00110;1.78E-01,,,,
ZNF350,M01105;1.80E-01,,,,
DEAF1,M01002;1.80E-01,,,,
TBX4,MS00214;1.85E-01,,,,
E2f3,MC00510;1.88E-01,,,,
FOXJ3,MS00369;1.89E-01,MS00367;2.82E-01,MS00370;8.56E-01,,
CUX1,M00105;1.90E-01,MS00612;7.23E-01,MS00601;9.99E-01,,
TBX1,MS00197;1.94E-01,,,,
TFAP2B,MS00230;1.95E-01,MS00228;2.45E-01,MS00229;3.40E-01,,
ZNF524,MS00423;1.96E-01,,,,
HSF1,MA0319;1.96E-01,MC00289;3.33E-01,,,
PPARA,M01282;1.97E-01,,,,
