,0,TF
UP00033|Zfp410,0.118968387585544,Zfp410
MS00101|Hic1,0.11938592504557913,Hic1
MA0066|PPARG,0.12197032044500958,PPARG
MS00481|HOXA10,0.12226556150047088,HOXA10
MS00264|MESP1,0.12321458770288227,MESP1
UP00035|HIC1,0.1260515511915458,HIC1
MS00212|SP1,0.1263371599577498,SP1
MC00134|Ppara,0.1271397313692677,Ppara
MS00802|Sox1,0.12765190484667158,Sox1
MC00231|MEF2C,0.12789704011826908,MEF2C
MS00326|MAFF,0.13092441392121026,MAFF
MS00323|ZBTB7C,0.1327196898145568,ZBTB7C
M01445|Obox6,0.13292882164176786,Obox6
M00646|HNF1B,0.13294822246049467,HNF1B
MS00293|ATF4,0.13452232361508165,ATF4
UP00158|POU1F1,0.1351636231023168,POU1F1
MS00708|Rxrb,0.13685012110847233,Rxrb
MC00111|Bcl6,0.13685470638516653,Bcl6
MS00304|CREB3L1,0.13813372470741878,CREB3L1
MS00110|NFKB1,0.1409268219605239,NFKB1
MS00045|GATA5,0.14106722067958385,GATA5
MC00368|Hsf1,0.14166046603241791,Hsf1
MS00571|NKX2-8,0.14413845462526276,NKX2-8
MC00388|Tal1,0.1467288252966183,Tal1
MC00354|Neurod1,0.14715475831159114,Neurod1
MC00468|AR,0.1491281300308859,AR
MS00476|HNF1A,0.14989720971334947,HNF1A
M01109|ZNF589,0.15167294769737477,ZNF589
M01734|NFATC4,0.15173399471711202,NFATC4
UP00048|RARA,0.15188612178430524,RARA
M00964|NR1I2,0.15350227020628823,NR1I2
MC00510|E2f3,0.15614941027594115,E2f3
MS00214|TBX4,0.1561849439984671,TBX4
M00416|ALX1,0.15870202868926309,ALX1
MS00705|Rarg,0.1594420294073208,Rarg
MS00197|TBX1,0.16215293412437384,TBX1
MS00498|HOXC11,0.1636561476763539,HOXC11
MA0319|HSF1,0.16469536575440502,HSF1
M00155|NR2F2,0.16527409457668324,NR2F2
MS00423|ZNF524,0.16575620709548433,ZNF524
M00105|CUX1,0.16737914795673223,CUX1
M01282|PPARA,0.16885200611921472,PPARA
M01268|NR1H4,0.17085218980058955,NR1H4
MS00285|TCF4,0.17090001539003544,TCF4
MS00599|PRRX1,0.17327434053833068,PRRX1
MS00115|NFIX,0.17540156552551667,NFIX
MS00095|TGIF2LX,0.17563178921957695,TGIF2LX
M01171|BCL6,0.17650818579665017,BCL6
MC00135|Rela,0.17663124902888488,Rela
M01105|ZNF350,0.1773295105929303,ZNF350
MS00501|Zfp652,0.1781599718280582,Zfp652
M01002|DEAF1,0.1789515398904464,DEAF1
M01450|Obox1,0.17940638885480067,Obox1
MS00585|OTX2,0.18382810755036322,OTX2
MS00386|FOXO6,0.1845735684754466,FOXO6
MS00369|FOXJ3,0.18550667214572644,FOXJ3
MC00452|STAT5B,0.1878540370747926,STAT5B
MC00126|TCF12,0.18823547381313582,TCF12
MS00157|Klf12,0.194884857369656,Klf12
MC00334|SIX5,0.1951686320780882,SIX5
MS00686|RORA,0.19531914624897198,RORA
MC00309|TCF7L2,0.19636980496859988,TCF7L2
MS00412|ZNF410,0.19742934038489984,ZNF410
MS00146|KLF16,0.20268359969049846,KLF16
MS00280|OLIG3,0.2033778728382423,OLIG3
MS00807|MSC,0.20625598252941674,MSC
MS00235|SP4,0.20908176339145568,SP4
MS00287|TFAP4,0.21067457280685797,TFAP4
MS00748|SOX14,0.2113412217795041,SOX14
MS00843|GLI2,0.2124679787271129,GLI2
MS00692|RXRB,0.21654734010038643,RXRB
MS00316|Dbp,0.21678529443297365,Dbp
MS00011|BCL6B,0.21680199926653618,BCL6B
UP00020|ATF1,0.21739474109920073,ATF1
MA0116|Zfp423,0.21835955268980803,Zfp423
MC00105|Foxa2,0.21879133823752006,Foxa2
MS00230|TFAP2B,0.220171868926954,TFAP2B
MC00136|Hoxb4,0.2225266634073596,Hoxb4
MC00471|Rxra,0.22371883698814257,Rxra
MS00186|MGA,0.2247591244251384,MGA
M01081|ZNF628,0.22648259537719434,ZNF628
MS00729|ZNF282,0.2289421748088904,ZNF282
MS00586|Otx1,0.2316146733420201,Otx1
MS00135|KLF14,0.23199749052221924,KLF14
