,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
54611|TEAD1,7.538053578656009e-08,Homo sapiens,TEAD1,tf,SF268,None,None,1,TEAD1
71243|CEBPB,1.2093331977717e-07,Homo sapiens,CEBPB,tf,None,Osteoblast,None,1,CEBPB
55512|YAP1,1.511260901285201e-07,Homo sapiens,YAP1,other,IMR90,Fibroblast,Lung,1,YAP1
55297|TEAD4,3.764094181773035e-05,Homo sapiens,TEAD4,tf,MDA-MB-231,Epithelium,Breast,1,TEAD4
5206|TP63,7.223806881628448e-05,Homo sapiens,TP63,predicted transcription factor,None,Keratinocyte,Skin,1,TP63
76814|NEUROG2,8.195619703764453e-05,Homo sapiens,NEUROG2,tf,None,Fibroblast,Fetal Lung,1,NEUROG2
56634|JUN,0.00010029341786978003,Homo sapiens,JUN,tf,MDA-MB-231,Epithelium,Breast,1,JUN
56666|HOXB13,0.00014053426967923832,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
62718|FOSL2,0.00016720335676169686,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1,FOSL2
1740|FOS,0.00022084817246935656,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1,FOS
45864|MAFK,0.0002529540972477236,Homo sapiens,MAFK,tf,IMR90,Fibroblast,Lung,1,MAFK
46081|NR3C1,0.0002583230227569506,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,1,NR3C1
55294|WWTR1,0.00034250707004759314,Homo sapiens,WWTR1,other,MDA-MB-231,Epithelium,Breast,1,WWTR1
46352|MEF2A,0.0003941476899978009,Homo sapiens,MEF2A,tf,SK-N-SH,Neuroblastoma cell,Brain,1,MEF2A
39365|SMAD3,0.0005302457249845744,Homo sapiens,SMAD3,tf,LX2,Hepatic Stellate Cell,None,1,SMAD3
49482|ZNF92,0.0006481038148825778,Homo sapiens,ZNF92,tf,None,Retinal pigment cell,None,1,ZNF92
39770|PR,0.0007008988917259728,Homo sapiens,PR,predicted transcription factor,None,Leiomyoma Cell,None,1,PR
56670|AR,0.0008230954349272676,Homo sapiens,AR,tf,LHSAR,Epithelium,Prostate,1,AR
38589|E2F7,0.0008553911165452479,Homo sapiens,E2F7,tf,IMR90,Fibroblast,Lung,1,E2F7
50896|OTX2,0.0014671384878127026,Homo sapiens,OTX2,tf,6540 cells,Epithelium,None,1,OTX2
4494|PPARG,0.0024993348117804785,Homo sapiens,PPARG,tf,None,Stromal Cell,Adipose,0,PPARG
53878|MEF2B,0.0025118536882777305,Homo sapiens,MEF2B,tf,HEK293A,None,None,1,MEF2B
54240|PGR,0.0027403088097782877,Homo sapiens,PGR,tf,None,Stromal Cell,Endometrium,1,PGR
68224|RELA,0.0029363973883286504,Homo sapiens,RELA,tf,BEAS-2B,Epithelium,Lung,1,RELA
50972|NR2F2,0.0031220691281123127,Homo sapiens,NR2F2,tf,WI-38,Fibroblast,Lung,1,NR2F2
33508|ESR1,0.0036464659706868453,Homo sapiens,ESR1,tf,T47D,Epithelium,Mammary Gland,1,ESR1
47287|FOSL1,0.004350291417286293,Homo sapiens,FOSL1,tf,BT-549,Epithelium,Mammary Gland,1,FOSL1
47582|SMAD4,0.004422781977561253,Homo sapiens,SMAD4,predicted transcription factor,NCI-H441,Epithelium,Lung,1,SMAD4
55290|5HMC,0.004538877339602322,Homo sapiens,5HMC,other,BicR,Epithelium,Prostate,1,5HMC
