,coefficients,cell_line,cell_type,tissue
44612,1.9154771739856742,,Fibroblast,
5021,1.3593735233433237,BJ,Fibroblast,Skin
44611,-1.009441736929905,,Fibroblast,
44884,0.8140134806899078,AG04449,Fibroblast,Skin
44976,-0.6506356943671635,,Epithelium,Mammary Gland
40886,0.5896030822903052,NHDF-neo,Fibroblast,Skin
50400,-0.539268068912792,hMADS-3,Adipocyte,Adipose
45025,-0.43820601054941377,LHCN-M2,Myoblast,Skeletal Muscle
40784,-0.4097440063872297,H1,Embryonic Stem Cell,Embryo
45058,-0.39620985567885986,RPMI-7951,Melanoma Cell,Skin
