Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
YAP1,55512;2.98E-12,55513;1.67E-09,54676;9.78E-09,54675;8.32E-08,55292;1.84E-03
CEBPB,54126;1.66E-11,54127;5.79E-10,71243;4.07E-09,71242;1.41E-08,45861;3.11E-07
FUS,58994;1.11E-10,53304;9.98E-01,53303;1.00E+00,,
TEAD1,54611;8.09E-10,56535;5.29E-09,54612;8.90E-06,56542;1.18E-05,48240;1.09E-03
NEUROG2,76815;1.12E-09,76814;2.04E-09,76817;1.51E-08,76816;1.58E-08,76818;8.61E-08
SMAD3,39365;1.04E-08,39359;9.15E-03,34012;5.49E-02,68573;1.36E-01,47576;2.02E-01
TP63,5206;1.54E-08,52302;7.25E-08,52301;7.70E-08,4719;2.86E-07,58189;2.94E-06
AR,56669;1.66E-08,56670;2.04E-07,48097;1.23E-06,48096;1.72E-06,48092;8.30E-06
PGR,54240;2.98E-08,,,,
FOSL2,54241;6.60E-08,46346;3.38E-06,62718;4.48E-05,63298;1.98E-04,63080;3.06E-04
JUND,46351;8.37E-08,52501;1.13E-05,5925;2.96E-03,76277;4.13E-03,49242;6.06E-02
PR,39770;1.36E-07,53979;2.02E-04,33571;8.67E-04,54021;1.05E-03,33569;1.82E-03
LHX2,50899;4.16E-07,38679;9.23E-01,,,
CTCF,45561;4.61E-07,45570;9.53E-07,45569;4.31E-06,45562;1.27E-05,45567;2.63E-05
HOXB13,56666;7.84E-07,56667;2.10E-04,56668;2.77E-04,56663;3.20E-01,56664;3.60E-01
TCF21,52496;1.16E-06,52497;8.00E-06,52495;3.13E-05,52498;1.73E-04,
MAFK,45864;1.21E-06,45817;6.27E-02,45687;4.88E-01,42854;8.50E-01,45815;9.37E-01
NR3C1,70947;1.24E-06,64156;7.55E-06,70942;9.25E-06,41735;9.58E-06,41737;2.76E-05
E2F7,38589;3.24E-06,38591;3.45E-04,38586;5.31E-03,38590;1.56E-02,38588;1.51E-01
JUN,56634;4.26E-06,56632;2.17E-05,56633;1.58E-04,55299;3.00E-04,55300;3.61E-04
ESR1,41133;5.05E-06,46103;5.20E-05,6587;1.01E-04,33494;1.02E-04,460;1.17E-04
GATA3,46361;5.50E-06,56598;8.03E-04,2325;1.05E-03,46033;2.62E-03,56401;9.09E-03
SMC3,62504;5.75E-06,62505;8.48E-05,46040;8.77E-03,42945;1.68E-01,2898;4.31E-01
RAD21,45862;9.81E-06,46366;4.48E-05,2387;7.13E-04,38691;2.38E-03,2389;7.47E-03
FOXO1,54243;9.99E-06,75851;7.59E-04,75853;2.67E-01,75852;4.68E-01,58301;6.08E-01
NR2F2,43165;1.49E-05,50972;4.11E-04,62908;8.73E-02,50976;3.39E-01,63318;3.49E-01
