Gene,Protein,category_PDL_Time18,category_PDL_Time25,category_PDL_Time32,category_PDL_Time33,category_PDL_Time37,category_PDL_Time46,category_PDL_Time50,category_PDLPval_Time,category_PDLlocalFDR_Time,category_PDLPval_Category,category_PDLlocalFDR_Category,category_hTERT_Time18,category_hTERT_Time25,category_hTERT_Time32,category_hTERT_Time33,category_hTERT_Time37,category_hTERT_Time46,category_hTERT_Time50,category_hTERTPval_Time,category_hTERTlocalFDR_Time,category_hTERTPval_Category,category_hTERTlocalFDR_Category
PHGDH,sp|O43175|SERA-HUMAN,0.461599,0.0425363,-0.376526,-0.436392,-0.675856,-1.21465,-1.45412,0.0000000000355226112194451,0.000000000622726232042781,0.00000000000108934874277692,0.0000000000100650147867194,0.342007,0.352194,0.362381,0.363836,0.369657,0.382754,0.388575,0.820285501812888,0.944216463707238,,
IQSEC2,sp|Q5JU85-2|IQEC2-HUMAN,0.404357,0.1284,-0.147557,-0.186979,-0.344669,-0.69947,-0.85716,0.0174870858068608,0.0288975659901547,0.172844738196906,0.204254944369302,0.196875,0.141165,0.0854551,0.0774966,0.0456624,-0.0259646,-0.0577988,0.619331019928153,0.854194582260486,,
TEX30,sp|Q5JUR7|TEX30-HUMAN,0.440093,0.224011,0.00792851,-0.0229404,-0.146416,-0.424236,-0.547711,0.00445973130874668,0.00838393117185589,0.358612699525756,0.397018573937687,0.362454,0.267586,0.172718,0.159165,0.104954,-0.0170193,-0.0712299,0.30624361938666,0.630610186325234,,
FRMPD3,sp|Q5JV73|FRPD3-HUMAN,0.0314413,0.0341861,0.0369309,0.037323,0.0388914,0.0424204,0.0439889,0.950206905969365,0.959471397820246,0.110237851754125,0.134761133637118,0.0699434,-0.0111581,-0.0922595,-0.103845,-0.150189,-0.254463,-0.300806,0.0727875565267574,0.304387328223687,,
PCID2,sp|Q5JVF3|PCID2-HUMAN,0.108743,0.0176627,-0.073418,-0.0864296,-0.138476,-0.255579,-0.307626,0.000000646416191048636,0.00000273547668547934,0.0000000601641559306544,0.0000001953428457171,0.142657,0.127434,0.112211,0.110036,0.101338,0.0817656,0.0730669,0.3203980206733,0.644641097235108,,
HABP4,sp|Q5JVS0|HABP4-HUMAN,-0.138749,-0.0791548,-0.019561,-0.0110475,0.0230061,0.0996267,0.13368,0.035643191245784,0.0547138116326576,0.336301020792052,0.374973604924246,0.0222072,0.0279987,0.0337901,0.0346175,0.0379269,0.045373,0.0486824,0.833800059548856,0.947671400908471,,
GNAS,sp|Q5JWF2-2|GNAS1-HUMAN,0.198641,0.166776,0.13491,0.130358,0.11215,0.0711799,0.0529711,0.611032378832563,0.664582397406825,0.651927480092019,0.678490213761682,,,,,0.223986,-0.0357464,-0.151183,0.286639899254237,0.613392088889145,,
GNAS,sp|Q5JWF2|GNAS1-HUMAN,0.0821113,0.133321,0.18453,0.191846,0.221108,0.286949,0.316212,0.00427569804740256,0.00806756940763229,0.000000861498395756795,0.00000231397515504614,0.0796649,0.0473174,0.0149698,0.0103487,-0.00813562,-0.0497254,-0.0682097,0.0628450135165743,0.282572314018208,,
SAMD9,sp|Q5K651|SAMD9-HUMAN,0.426778,0.147684,-0.131409,-0.17128,-0.330762,-0.689596,-0.849078,0.0000000000613321795454615,0.00000000099218250454158,0.00000000472333179753532,0.0000000187408960865203,0.216023,0.188837,0.161652,0.157768,0.142234,0.107281,0.091746,0.375533394171693,0.692123155187248,,
COLEC12,sp|Q5KU26|COL12-HUMAN,0.962057,0.510412,0.058766,-0.00575476,-0.263838,-0.844525,-1.10261,0.00000292629459642898,0.0000107161884327528,0.526107656840139,0.559349556522878,0.624475,0.313889,0.00330351,-0.0410659,-0.218544,-0.617868,-0.795346,0.00444296662186963,0.0608914819307803,,
WDR45B,sp|Q5MNZ6|WIPI3-HUMAN,-0.324378,-0.262575,-0.200772,-0.191943,-0.156627,-0.0771664,-0.0418505,0.146492472461148,0.193165606830294,0.474580246215079,0.510690214768263,-0.122187,-0.112899,-0.10361,-0.102284,-0.0969758,-0.0850335,-0.0797259,0.825481853262641,0.94485702196311,,
