Gene,Protein,category_PDL_Time18,category_PDL_Time25,category_PDL_Time32,category_PDL_Time33,category_PDL_Time37,category_PDL_Time46,category_PDL_Time50,category_PDLPval_Time,category_PDLlocalFDR_Time,category_PDLPval_Category,category_PDLlocalFDR_Category,category_hTERT_Time18,category_hTERT_Time25,category_hTERT_Time32,category_hTERT_Time33,category_hTERT_Time37,category_hTERT_Time46,category_hTERT_Time50,category_hTERTPval_Time,category_hTERTlocalFDR_Time,category_hTERTPval_Category,category_hTERTlocalFDR_Category
PIGBOS1,sp|A0A0B4J2F0|PIOS1-HUMAN,0.035038,0.00386818,-0.0273016,-0.0317544,-0.0495657,-0.0896411,-0.107452,0.67548912942363,0.723676689022342,,,-0.135788,0.0155123,0.166813,0.188427,0.274885,0.469414,0.555871,0.0489761604838688,0.247186193662701,0.0709557400134721,0.0899234302727084
TMEM120B,sp|A0PK00|T120B-HUMAN,-0.0950191,0.106234,0.307486,0.336237,0.451238,0.709991,0.824993,0.00000683986698863789,0.0000229681039702221,,,-0.392525,-0.31494,-0.237355,-0.226272,-0.181938,-0.0821859,-0.0378517,0.052169083900292,0.25560633509277,0.0000000718216459593941,0.00000022971467131168
DCTN6,sp|O00399|DCTN6-HUMAN,-0.0167838,0.0993342,0.215452,0.232041,0.298394,0.447688,0.514042,0.00000399180230846612,0.0000141898261705343,,,-0.19892,-0.176293,-0.153666,-0.150434,-0.137504,-0.108412,-0.0954819,0.29691537303548,0.62097854337528,0.000000000381243158262876,0.00000000187091174153378
IDE,sp|P14735|IDE-HUMAN,-0.182673,-0.107669,-0.0326645,-0.0219497,0.0209098,0.117343,0.160203,0.000000000222705896454736,0.000000002852182043346,,,0.12629,0.145752,0.165213,0.167993,0.179114,0.204136,0.215257,0.029498738032462,0.187333239254361,0.0000000000126240842645568,0.0000000000876556332857519
MMP9,sp|P14780|MMP9-HUMAN,-0.361337,-0.638862,-0.916386,-0.956033,-1.11462,-1.47144,-1.63002,0.0000384827896794436,0.000111238182957414,,,0.659712,0.547541,0.43537,0.419346,0.355248,0.211029,0.146931,0.0664226396416293,0.291936682619382,0.00000000000268366525940748,0.0000000000222536666879464
COX6B1,sp|P14854|CX6B1-HUMAN,-0.199363,-0.0592803,0.0808026,0.100814,0.180862,0.360968,0.441016,0.000082770715993764,0.000222191782293595,,,-0.049842,-0.0322064,-0.0145709,-0.0120515,-0.00197404,0.0207003,0.0307777,0.580412615165961,0.834273980965502,0.00618426947993243,0.00938067920290457
POU2F1,sp|P14859-6|PO2F1-HUMAN,0.0968781,-0.0850312,-0.266941,-0.292928,-0.396876,-0.630759,-0.734707,0.404694068721137,0.469926206734367,,,1.05472,0.753874,0.453034,0.410056,0.238147,,,0.427863648681709,0.732969572231522,0.393301749086814,0.431793716910288
HNRNPL,sp|P14866|HNRPL-HUMAN,0.21617,0.0102455,-0.195679,-0.225097,-0.342768,-0.607528,-0.725199,0.000000000994743587638193,0.00000000972696778537835,,,0.236986,0.224796,0.212605,0.210863,0.203897,0.188224,0.181257,0.629712492734838,0.858542307959871,0.0000000000188448192250841,0.000000000125645754211497
DARS,sp|P14868|SYDC-HUMAN,0.176848,0.181743,0.186638,0.187337,0.190134,0.196428,0.199225,0.728289716670919,0.771194244077003,,,0.0316119,-0.0165973,-0.0648066,-0.0716937,-0.0992418,-0.161225,-0.188773,0.00154995369329708,0.0317577290500958,0.000000000334315367778273,0.00000000165737742273304
UQCRB,sp|P14927|QCR7-HUMAN,-0.10359,-0.00750903,0.0885717,0.102297,0.157201,0.280733,0.335636,0.000828668002887719,0.00181499944290443,,,0.130723,0.13558,0.140437,0.141131,0.143906,0.15015,0.152926,0.855024709288996,0.954227241285872,0.0601568291265104,0.0773001841381762
