Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
CDK9,53347;1.38E-11,53346;1.60E-07,43081;3.02E-07,69879;2.83E-06,40226;1.50E-05
NR3C1,46052;2.02E-11,70947;6.82E-07,63444;1.85E-06,64331;1.89E-06,64862;3.13E-06
CEBPB,45861;2.91E-11,54126;4.06E-10,54127;1.66E-09,54125;3.88E-09,45762;8.49E-09
MYC,46008;4.31E-11,70561;1.52E-09,38115;1.33E-08,70808;1.81E-08,70807;6.11E-08
TAF1,46221;6.06E-11,46282;1.69E-07,46345;9.74E-07,46077;1.62E-06,46108;2.53E-05
TP53,69456;6.32E-11,52092;2.96E-10,69457;3.42E-10,52091;1.05E-09,52090;8.68E-07
BCL3,63002;7.55E-11,63884;1.18E-10,64802;1.59E-10,64102;3.20E-10,63602;3.65E-10
REST,46377;1.41E-10,46359;4.29E-06,46257;1.95E-05,46338;4.93E-05,46328;6.05E-04
MYH11,37623;1.89E-10,37589;2.17E-07,37608;2.17E-06,37625;1.22E-01,
E2F1,45750;2.98E-10,45754;1.87E-08,67456;2.27E-08,75043;6.08E-07,44313;8.23E-07
E2F4,46000;3.47E-10,45951;2.38E-07,3225;2.86E-06,45752;2.62E-05,36807;1.15E-02
BRD4,49977;4.97E-10,71137;6.75E-09,49980;2.48E-08,40217;2.94E-07,67532;4.26E-07
TFAP2A,45753;5.28E-10,2402;1.51E-05,2401;1.14E-04,56820;2.98E-04,56819;1.87E-03
GTF2B,56961;7.97E-10,36362;2.11E-07,45932;1.86E-05,56958;2.38E-05,56982;2.64E-05
PR,33569;1.41E-09,33571;2.39E-08,68977;2.99E-06,39767;3.73E-06,68967;3.25E-04
NELFA,55465;1.75E-09,55466;3.25E-08,55468;7.25E-07,55467;1.18E-04,43451;4.75E-03
POLR2B,36356;1.81E-09,9216;1.18E-05,,,
CEBPD,46230;1.89E-09,46294;3.93E-04,,,
NKX2-1,74052;2.17E-09,35474;3.43E-04,35471;7.06E-04,35475;1.41E-03,74051;4.95E-02
FOXA1,47329;2.32E-09,47334;1.33E-07,47330;1.64E-07,47327;2.32E-07,6568;5.34E-07
NFATC1,38654;2.36E-09,38742;4.42E-09,46110;5.44E-01,38701;6.28E-01,
HES2,64242;3.31E-09,64119;1.86E-07,64120;7.38E-07,64216;3.20E-06,64961;3.47E-06
MED1,53593;4.41E-09,53594;3.36E-07,50693;3.68E-07,50690;2.25E-06,49652;7.21E-06
SMAD2/3,1082;5.98E-09,1083;3.52E-03,1080;4.24E-02,51567;5.92E-02,1081;6.10E-02
TBP,37584;6.49E-09,45781;1.71E-07,45791;2.68E-07,50163;7.38E-05,45881;2.97E-04
PHF8,1314;6.97E-09,1309;1.27E-06,8790;2.15E-06,2684;2.94E-06,93;4.02E-06
ESR1,36104;7.31E-09,68970;6.57E-07,33506;6.36E-06,35046;1.01E-04,68976;1.02E-04
TCF7L1,38848;8.46E-09,70802;2.97E-05,40166;5.77E-05,70803;1.28E-04,70804;2.55E-04
FOXP3,38703;8.46E-09,44098;1.58E-02,44099;5.02E-02,44101;6.30E-01,44100;6.74E-01
PPARG,50408;8.76E-09,4495;2.86E-08,50411;1.03E-06,4494;6.97E-06,50409;9.34E-06
ZBTB17,41831;9.31E-09,49276;1.36E-02,64073;5.72E-02,64074;1.37E-01,47490;1.50E-01
BHLHE40,64946;9.73E-09,64945;6.46E-06,45632;2.60E-04,45916;1.31E-03,45557;6.63E-03
MAFB,50112;1.00E-08,42691;6.79E-01,,,
FOXM1,39460;1.02E-08,34997;1.58E-08,34999;2.87E-05,35011;8.34E-05,39495;2.94E-04
FAIRE,52153;1.37E-08,37580;8.00E-05,37605;1.28E-04,35740;7.88E-04,36031;1.98E-03
