,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
53347|CDK9,1.3789913655415376e-11,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
46052|NR3C1,2.0178914095225764e-11,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,0,NR3C1
45861|CEBPB,2.9138746970858165e-11,Homo sapiens,CEBPB,tf,IMR90,Fibroblast,Lung,1,CEBPB
46008|MYC,4.311795365197213e-11,Homo sapiens,MYC,tf,MCF-10A,Epithelium,Breast,1,MYC
46221|TAF1,6.060940638263901e-11,Homo sapiens,TAF1,tf,HeLa-S3,Epithelium,Cervix,1,TAF1
69456|TP53,6.318279233141766e-11,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
63002|BCL3,7.545775115858078e-11,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
46377|REST,1.4057360830932453e-10,Homo sapiens,REST,tf,U87,None,Brain,1,REST
37623|MYH11,1.8931617384865262e-10,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
45750|E2F1,2.97568580887031e-10,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1,E2F1
46000|E2F4,3.4670072368570004e-10,Homo sapiens,E2F4,tf,MCF-10A,Epithelium,Breast,1,E2F4
49977|BRD4,4.966274058659792e-10,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
45753|TFAP2A,5.275852532626857e-10,Homo sapiens,TFAP2A,predicted transcription factor,HeLa-S3,Epithelium,Cervix,1,TFAP2A
56961|GTF2B,7.969480630976022e-10,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
33569|PR,1.411785743865579e-09,Homo sapiens,PR,predicted transcription factor,AB32,Epithelium,Mammary Gland,1,PR
55465|NELFA,1.7525271234219986e-09,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
36356|POLR2B,1.807615723770084e-09,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1,POLR2B
46230|CEBPD,1.8937659218565273e-09,Homo sapiens,CEBPD,tf,HepG2,Epithelium,Liver,1,CEBPD
74052|NKX2-1,2.1743253308947885e-09,Homo sapiens,NKX2-1,tf,A549,Epithelium,Lung,1,NKX2-1
47329|FOXA1,2.318082059638016e-09,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
38654|NFATC1,2.3560646766895843e-09,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1,NFATC1
64242|HES2,3.31329697011995e-09,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1,HES2
53593|MED1,4.410740439553251e-09,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1,MED1
1082|SMAD2/3,5.977110806298924e-09,Homo sapiens,SMAD2/3,tf,H9,Embryonic Stem Cell,Embryo,1,SMAD2/3
37584|TBP,6.494648541188752e-09,Homo sapiens,TBP,tf,ME-1,Leukemia Cell,None,1,TBP
1314|PHF8,6.969260613054473e-09,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,1,PHF8
36104|ESR1,7.313219529958559e-09,Homo sapiens,ESR1,tf,None,Epithelium,Mammary Gland,1,ESR1
38848|TCF7L1,8.462193834546383e-09,Homo sapiens,TCF7L1,tf,LoVo,None,Colon,0,TCF7L1
38703|FOXP3,8.462193834546383e-09,Homo sapiens,FOXP3,tf,LoVo,None,Colon,0,FOXP3
50408|PPARG,8.764288017548694e-09,Homo sapiens,PPARG,tf,hMADS-3,Adipocyte,Adipose,1,PPARG
41831|ZBTB17,9.30731625103931e-09,Homo sapiens,ZBTB17,tf,MDA-MD-231,Epithelium,Mammary Gland,1,ZBTB17
64946|BHLHE40,9.728120531349305e-09,Homo sapiens,BHLHE40,predicted transcription factor,IMR90,Fibroblast,Lung,1,BHLHE40
50112|MAFB,1.0016223961351045e-08,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
39460|FOXM1,1.0249637583115145e-08,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1,FOXM1
52153|FAIRE,1.3749854199662792e-08,Homo sapiens,FAIRE,other,None,Macrophage,None,1,FAIRE
3006|CEBPA,1.4087479516255996e-08,Homo sapiens,CEBPA,tf,None,Adipocyte,Adipose,1,CEBPA
5389|RELA,1.5009640363938814e-08,Homo sapiens,RELA,tf,A549,Epithelium,Lung,1,RELA
46160|PAX5,1.705347540958968e-08,Homo sapiens,PAX5,tf,GM12892,Lymphoblastoid,Blood,1,PAX5
56668|HOXB13,1.9749091140219832e-08,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
55895|T,2.666592502365006e-08,Homo sapiens,T,tf,None,Fibroblast,None,1,T
46007|FOS,2.8919440842045674e-08,Homo sapiens,FOS,tf,MCF-10A,Epithelium,Breast,1,FOS
