,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
53347|CDK9,4.596727975715058e-12,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
46052|NR3C1,6.726272936720279e-12,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,0,NR3C1
45861|CEBPB,9.712943444910316e-12,Homo sapiens,CEBPB,tf,IMR90,Fibroblast,Lung,1,CEBPB
46008|MYC,1.4372621168263536e-11,Homo sapiens,MYC,tf,MCF-10A,Epithelium,Breast,1,MYC
46221|TAF1,2.0203160388579748e-11,Homo sapiens,TAF1,tf,HeLa-S3,Epithelium,Cervix,1,TAF1
69456|TP53,2.1062199488416094e-11,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
63002|BCL3,2.5152600217020004e-11,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
46377|REST,4.685814882297536e-11,Homo sapiens,REST,tf,U87,None,Brain,1,REST
37623|MYH11,6.497814032741692e-11,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
45750|E2F1,9.923433565444313e-11,Homo sapiens,E2F1,tf,HeLa-S3,Epithelium,Cervix,1,E2F1
46000|E2F4,1.1559528365241471e-10,Homo sapiens,E2F4,tf,MCF-10A,Epithelium,Breast,1,E2F4
49977|BRD4,1.655427434716471e-10,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
45753|TFAP2A,1.7586952334553231e-10,Homo sapiens,TFAP2A,predicted transcription factor,HeLa-S3,Epithelium,Cervix,1,TFAP2A
56961|GTF2B,2.656516944750573e-10,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
33569|PR,4.707253629696553e-10,Homo sapiens,PR,predicted transcription factor,AB32,Epithelium,Mammary Gland,1,PR
55465|NELFA,5.842163299177738e-10,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
36356|POLR2B,6.025393034908401e-10,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1,POLR2B
46230|CEBPD,6.312861422656648e-10,Homo sapiens,CEBPD,tf,HepG2,Epithelium,Liver,1,CEBPD
74052|NKX2-1,7.247826115210238e-10,Homo sapiens,NKX2-1,tf,A549,Epithelium,Lung,1,NKX2-1
47329|FOXA1,7.726941220747693e-10,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
38654|NFATC1,7.854052201058119e-10,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1,NFATC1
64242|HES2,1.1044825539934351e-09,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1,HES2
53593|MED1,1.4706298512085825e-09,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1,MED1
1082|SMAD2/3,1.994557059528341e-09,Homo sapiens,SMAD2/3,tf,H9,Embryonic Stem Cell,Embryo,1,SMAD2/3
37584|TBP,2.1782005650681267e-09,Homo sapiens,TBP,tf,ME-1,Leukemia Cell,None,1,TBP
1314|PHF8,2.323575869321306e-09,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,1,PHF8
36104|ESR1,2.4396016760495465e-09,Homo sapiens,ESR1,tf,None,Epithelium,Mammary Gland,1,ESR1
38848|TCF7L1,2.820731257512506e-09,Homo sapiens,TCF7L1,tf,LoVo,None,Colon,0,TCF7L1
38703|FOXP3,2.820731257512506e-09,Homo sapiens,FOXP3,tf,LoVo,None,Colon,0,FOXP3
50408|PPARG,2.944584725971245e-09,Homo sapiens,PPARG,tf,hMADS-3,Adipocyte,Adipose,1,PPARG
41831|ZBTB17,3.10275405247297e-09,Homo sapiens,ZBTB17,tf,MDA-MD-231,Epithelium,Mammary Gland,1,ZBTB17
64946|BHLHE40,3.2436683579902154e-09,Homo sapiens,BHLHE40,predicted transcription factor,IMR90,Fibroblast,Lung,1,BHLHE40
39460|FOXM1,3.417050084004871e-09,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1,FOXM1
50112|MAFB,3.466234171693407e-09,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
52153|FAIRE,4.583358164347229e-09,Homo sapiens,FAIRE,other,None,Macrophage,None,1,FAIRE
3006|CEBPA,4.696098930045358e-09,Homo sapiens,CEBPA,tf,None,Adipocyte,Adipose,1,CEBPA
5389|RELA,5.00501985226922e-09,Homo sapiens,RELA,tf,A549,Epithelium,Lung,1,RELA
46160|PAX5,5.685290995172181e-09,Homo sapiens,PAX5,tf,GM12892,Lymphoblastoid,Blood,1,PAX5
56668|HOXB13,6.5830745311874014e-09,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
55895|T,8.889191211639099e-09,Homo sapiens,T,tf,None,Fibroblast,None,1,T
46007|FOS,9.639879245695826e-09,Homo sapiens,FOS,tf,MCF-10A,Epithelium,Breast,1,FOS
58939|NRF1,1.2349664282584664e-08,Homo sapiens,NRF1,tf,HCC1954,Epithelium,Mammary Gland,1,NRF1
74682|FOXO3,1.6020010203232268e-08,Homo sapiens,FOXO3,tf,HepG2,Epithelium,Liver,1,FOXO3
37366|FOXA2,1.9383827826813246e-08,Homo sapiens,FOXA2,tf,A549,Epithelium,Lung,1,FOXA2
37057|FLI1,1.9456186272569378e-08,Homo sapiens,FLI1,tf,U937,None,Pleura,1,FLI1
45997|STAT3,1.957317949558624e-08,Homo sapiens,STAT3,tf,MCF-10A,Epithelium,Breast,1,STAT3
76682|ASXL1,2.133348616583605e-08,Homo sapiens,ASXL1,tf,HEK293,None,None,1,ASXL1
65115|MAZ,2.2589878511055472e-08,Homo sapiens,MAZ,tf,HEK293,Epithelium,Embryonic Kidney,1,MAZ
73970|ZNF202,2.8576152748722786e-08,Homo sapiens,ZNF202,,293T,None,None,1,ZNF202
50877|SPI1,3.158574726132136e-08,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1,SPI1
43305|CDK6,3.2217162714958364e-08,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
73714|AFF1,3.341352760082017e-08,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
45920|HMGN3,4.269278424489305e-08,Homo sapiens,HMGN3,tf,K562,Erythroblast,Bone Marrow,1,HMGN3
55664|PAF1,4.477366458379809e-08,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
39372|ETV1,6.339526075534668e-08,Homo sapiens,ETV1,tf,LNCaP,Epithelium,Prostate,1,ETV1
53300|RARA,7.546775345112578e-08,Homo sapiens,RARA,tf,TSU-1621-MT,None,None,1,RARA
45625|NFYB,8.395981386818646e-08,Homo sapiens,NFYB,tf,GM12878,B Lymphocyte,Blood,1,NFYB
46127|ELF1,8.542079313552491e-08,Homo sapiens,ELF1,tf,GM12878,B Lymphocyte,Blood,1,ELF1
34392|MECP2,8.589670220412388e-08,Homo sapiens,MECP2,cr,IMR90,Fibroblast,Lung,1,MECP2
68051|NFKB1,8.679975042061315e-08,Homo sapiens,NFKB1,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB1
64317|ETV4,9.112974740227351e-08,Homo sapiens,ETV4,tf,HepG2,Epithelium,Liver,1,ETV4
51864|HSF1,1.0431253447558117e-07,Homo sapiens,HSF1,tf,451Lu,Melanoma Cell,None,1,HSF1
43400|XBP1,1.0638366192900244e-07,Homo sapiens,XBP1,tf,T47D,Epithelium,Mammary Gland,1,XBP1
46237|GABPA,1.2083484392726735e-07,Homo sapiens,GABPA,tf,HepG2,Epithelium,Liver,1,GABPA
45769|NFYA,1.3232340805058662e-07,Homo sapiens,NFYA,tf,HeLa-S3,Epithelium,Cervix,1,NFYA
37587|GATA2,1.3237852299560315e-07,Homo sapiens,GATA2,tf,ME-1,Leukemia Cell,None,0,GATA2
63809|HLF,1.3520376524879612e-07,Homo sapiens,HLF,,HepG2,Epithelium,Liver,1,HLF
73696|LEO1,1.5030200571743925e-07,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1,LEO1
62753|FOSL2,1.5245969762030347e-07,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1,FOSL2
37349|CREB1,1.5742002018961974e-07,Homo sapiens,CREB1,tf,A549,Epithelium,Lung,1,CREB1
65084|SP2,1.6324485054545795e-07,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP2
46208|SIN3A,2.1001462338142786e-07,Homo sapiens,SIN3A,tf,HCT-116,None,Colon,1,SIN3A
67519|GATA3,2.105474431284716e-07,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1,GATA3
2916|ERG,2.4185283951070765e-07,Homo sapiens,ERG,other,VCaP,Epithelium,Prostate,1,ERG
65123|ZFP64,2.5007787187996806e-07,Homo sapiens,ZFP64,,HEK293,Epithelium,Embryonic Kidney,1,ZFP64
64866|ZFX,2.7536640123254e-07,Homo sapiens,ZFX,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZFX
46303|YY1,2.8109189589546325e-07,Homo sapiens,YY1,tf,K562,Erythroblast,Bone Marrow,1,YY1
49536|RUNX1,3.067363416154155e-07,Homo sapiens,RUNX1,tf,None,Leukemic Blast Cell,None,1,RUNX1
58805|MYB,3.2082649724899433e-07,Homo sapiens,MYB,tf,None,Th1,None,1,MYB
49000|AFF4,3.248247440417308e-07,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
45774|MXI1,3.641627938193428e-07,Homo sapiens,MXI1,tf,HeLa-S3,Epithelium,Cervix,1,MXI1
74838|JMJD6,3.7030159951322044e-07,Homo sapiens,JMJD6,cr,None,3565 cells,None,1,JMJD6
45764|CHD2,3.8222637422008757e-07,Homo sapiens,CHD2,cr,HeLa-S3,Epithelium,Cervix,1,CHD2
42179|MITF,3.89725937534844e-07,Homo sapiens,MITF,tf,COLO-829,Fibroblast,Skin,1,MITF
41412|ERCC2,3.91808761889709e-07,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
