,0,TF
MC00206|ELK1,1.7540861477726817e-08,ELK1
MC00109|Klf4,1.8362464252282406e-08,Klf4
UP00038|Spdef,2.0089932532729082e-08,Spdef
MA0145|Tcfcp2l1,2.097665645590916e-08,Tcfcp2l1
MC00278|ETS1,2.2245683972357687e-08,ETS1
M00332|FOXN1,2.49456394535344e-08,FOXN1
MS00246|SP8,2.6605888502179538e-08,SP8
MS00423|ZNF524,3.221451600270675e-08,ZNF524
MC00342|YY1,3.50761264330867e-08,YY1
M00649|MAZ,3.751271154309845e-08,MAZ
MS00157|Klf12,4.710288703135511e-08,Klf12
MS00296|BATF3,5.607583036287329e-08,BATF3
MC00174|REST,5.742678182437393e-08,REST
MC00252|Rara,6.266177556933012e-08,Rara
MC00374|TFAP2C,6.781393451943839e-08,TFAP2C
MC00142|PPARG,7.185654302369898e-08,PPARG
MS00211|TBX2,7.440248685331504e-08,TBX2
UP00018|Irf4,9.286983256632748e-08,Irf4
MS00258|HEY1,9.436512433288594e-08,HEY1
MC00168|ERG,9.704493871539777e-08,ERG
MS00844|ELK3,1.0218190049649043e-07,ELK3
MC00372|Yy1,1.060207893339514e-07,Yy1
M00737|E2F1::TFDP2,1.1279237197154038e-07,E2F1::TFDP2
MS00118|PAX2,1.416411336835299e-07,PAX2
MC00110|Klf1,1.451332628373318e-07,Klf1
M00139|AHR,1.582933891666226e-07,AHR
MC00457|ELF1,1.737819321397192e-07,ELF1
MS00188|MGA,1.7866127124048424e-07,MGA
MS00024|GLIS1,2.090984484275162e-07,GLIS1
MC00461|Max,2.1940303720134214e-07,Max
UP00066|HNF4A,2.1966578122465432e-07,HNF4A
MC00344|Hnf4a,2.3927668774255356e-07,Hnf4a
MS00293|ATF4,2.49276853160406e-07,ATF4
UP00056|RFX4,2.6183455072766207e-07,RFX4
MC00518|Tfcp2,3.014032122055452e-07,Tfcp2
M00646|HNF1B,3.3114696844171e-07,HNF1B
M00456|BPTF,3.679530648084229e-07,BPTF
MS00401|ZNF306,3.686387456501489e-07,ZNF306
M00792|SMAD1,4.388329048307974e-07,SMAD1
MC00386|BCL6,4.540389023493707e-07,BCL6
MS00027|FLI1,4.804618780164819e-07,FLI1
MS00333|Mafb,4.824781596808964e-07,Mafb
MS00252|Bhlhb2,4.826163981375652e-07,Bhlhb2
MS00103|MYBL2,5.6378570455036e-07,MYBL2
MS00025|FEV,6.077120801486973e-07,FEV
M00222|TCF3,6.321376882358985e-07,TCF3
MC00477|ZNF711,7.445841468071614e-07,ZNF711
MS00117|PAX1,8.586829699900461e-07,PAX1
M01248|NR0B1,9.474124331798718e-07,NR0B1
MC00191|Nfya,9.814086005093017e-07,Nfya
